city,population,code
ירושלים,946937.97,3000
בני ברק,207212.33,6100
אשדוד,226230.92,70
תל אביב - יפו,463791.68,5000
מודיעין עילית,78034.16,3797
פתח תקווה,249326.65,7900
נתניה,222575.06,7400
באר שבע,210001.15,9000
בית שמש,129379.2,2610
ראשון לציון,255415.8,8300
חיפה,285165.3,4000
חולון,196518.09,6600
אלעד,49040.29,1309
ביתר עילית,60754.8,3780
רחובות,145472.94,8400
אשקלון,145567.36,7100
בת ים,128107.53,6200
חדרה,98448.73,6500
רמלה,76594.32,8500
רמת גן,165867.88,8600
נתיבות,38790.42,246
לוד,79707.27,7000
קרית גת,58033.54,2630
עפולה,55839.57,7700
ראש העין,65366.59,2640
כפר סבא,101595.68,6900
נצרת,77751.94,7300
אופקים,31850.25,31
אור יהודה,36701.72,2400
מודיעין-מכבים-רעות,94187.12,1200
יבנה,48835.66,2660
רעננה,76479.22,8700
טבריה,45345.74,6700
טמרה,34709.19,8900
הרצליה,98524.76,6400
ערד,26868.23,2560
אום אל-פחם,56494.84,2710
עכו,49445.09,7600
נהריה,58706.34,9100
צפת,36102.3,8000
סח'נין,32046.12,7500
קרית אתא,59107.05,6800
קרית מלאכי,24201.48,1034
גבעת זאב,18899.35,3730
פרדס חנה-כרכור,43322.36,7800
באקה אל-גרביה,30280.09,6000
רכסים,13082.51,922
יהוד,30086.42,9400
באר יעקב,28545.76,2530
שפרעם,42282.03,8800
ירכא,17314.5,502
קרית ים,39544.78,9600
הוד השרון,64388.56,9700
שדרות,28426.12,1031
דייר אל-אסד,12638.47,490
כרמיאל,46217.44,1139
מג'ד אל-כרום,15570.49,516
טייבה,44388.13,2730
רמת השרון,47498.36,2650
נוף הגליל,41893.2,1061
דימונה,34719.93,2200
גבעתיים,60854.02,6300
כפר יונה,25552.66,168
מגדל העמק,25706.52,874
גן יבנה,23863.11,166
קרית שמונה,22418.79,2800
קרית מוצקין,44884.21,8200
נס ציונה,50456.67,7200
מעלה אדומים,37849.6,3616
גדרה,28506.28,2550
ג'דיידה-מכר,21293.58,1292
עראבה,26117.85,531
חצור הגלילית,9394.61,2034
קרית ביאליק,41050.59,9500
גבעת שמואל,27001.78,681
אילת,52226.3,2600
אור עקיבא,19274.67,1020
מעלה עירון,15263.21,1327
בית שאן,18502.84,9200
פוריידיס,13405.05,537
כפר מנדא,20458.9,510
קלנסווה,23336.49,638
מבשרת ציון,24262.45,1015
אבו סנאן,14239.59,473
