Locality Code,Locality Name Hebrew,Population,Locality Name,
472,אבו גוש,"7,811",Abu Ghosh,
473,אבו סנאן,"14,240",Abu Sinan,
1375,אבו תלול,"2,092",Abu Tulul                                         ,
652,אבטין,"2,871",Ibtin,
182,אבן יהודה,"14,013",Even Yehuda,
2710,אום אל-פחם,"56,495",Umm al-Fahm,
1358,אום בטין,"4,428",Umm Batin,
31,אופקים,"31,850",Ofaqim,
2400,אור יהודה,"36,702",Or Yehuda,
1020,אור עקיבא,"19,275",Or Aqiva,
3760,אורנית,"9,023",Oranit,
565,אזור,"13,082",Azor,
1330,אחוזת ברק,"2,367",Ahuzzat Baraq,
2600,אילת,"52,226",Elat,
478,אכסאל,"14,959",Iksal,
1359,אל סייד,"5,986",Al Sayyid,
3604,אלון שבות,"3,115",Allon Shevut,
41,אליכין,"3,454",Elyakhin,
1309,אלעד,"49,040",El'ad,
3618,אלעזר,"2,475",El'azar,
3750,אלפי מנשה,"7,982",Alfe Menashe,
3560,אלקנה,"3,860",Elqana,
529,אעבלין,"13,478",I'billin,
3650,אפרת,"11,226",Efrat,
3570,אריאל,"20,507",Ari'el,
70,אשדוד,"226,231",Ashdod,
7100,אשקלון,"145,567",Ashqelon,
6000,באקה אל-גרביה,"30,280",Baqa Al-Gharbiyye                                 ,
2530,באר יעקב,"28,546",Be'er Ya'aqov,
9000,באר שבע,"210,001",Be'er Sheva,
482,בועיינה-נוג'ידאת,"9,956",Bu'eine-Nujeidat,
4001,בוקעאתא,"6,658",Buq'ata,
998,ביר אל-מכסור,"9,673",Bir El-Maksur,
1348,ביר הדאג',"5,960",Bir Hadage,
3574,בית אל,"5,870",Bet El,
3652,בית אריה-עופרים,"5,303",Bet Arye-Ofarim,
480,בית ג'ן,"12,109",Beit Jann,
466,בית דגן,"7,277",Bet Dagan,
1050,בית חשמונאי,"2,175",Bet Hashmonay,
326,בית יצחק-שער חפר,"2,135",Bet Yizhaq-Sh. Hefer,
9200,בית שאן,"18,503",Bet She'an ,
2610,בית שמש,"129,379",Bet Shemesh,
3780,ביתר עילית,"60,755",Betar Illit,
6100,בני ברק,"207,212",Bene Beraq,
1066,"בני עי""ש","6,932",Bene Ayish,
9800,בנימינה-גבעת עדה*,"15,929",Binyamina-Giv'at Ada,
1326,"בסמ""ה","10,161",Basma,
944,בסמת טבעון,"7,951",Basmat Tab'un,
483,בענה,"8,407",Bi'ne,
3710,ברכה,"2,855",Berakha,
2038,ברקת,"2,093",Bareqet,
1319,בת חפר,"5,310",Bat Hefer,
6200,בת ים,"128,108",Bat Yam,
1292,ג'דיידה-מכר,"21,294",Judeide-Maker,
485,ג'ולס,"6,534",Julis,
627,ג'לג'וליה,"10,220",Jaljulye,
541,ג'סר א-זרקא,"15,048",Jisr Az-Zarqa,
487,ג'ש (גוש חלב),"3,118",Jish(Gush Halav),
628,ג'ת,"12,213",Jatt                                              ,
3763,גבע בנימין,"5,739",Geva Binyamin,
1293,גבעת אבני,"2,071",Giv'at Avni,
147,גבעת ברנר,"2,672",Giv'at Brenner,
3730,גבעת זאב,"18,899",Giv'at Ze'ev,
681,גבעת שמואל,"27,002",Giv'at Shemu'el,
6300,גבעתיים,"60,854",Giv'atayim,
2550,גדרה,"28,506",Gedera,
166,גן יבנה,"23,863",Gan Yavne,
1274,גן נר,"2,691",Gan Ner,
3823,גני מודיעין,"2,670",Ganne Modi'in,
229,גני תקווה,"21,125",Ganne Tiqwa,
494,דאלית אל-כרמל,"17,798",Daliyat Al-Karmel,
489,דבורייה,"10,638",Daburiyya,
490,דייר אל-אסד,"12,638",Deir Al-Asad,
492,דייר חנא,"10,429",Deir Hanna,
2200,דימונה,"34,720",Dimona,
9700,הוד השרון,"64,389",Hod HaSharon,
1186,הושעיה,"2,078",Hosha'aya,
3769,הר אדר,"4,116",Har Adar,
6400,הרצלייה,"98,525",Herzliyya,
9300,זכרון יעקב,"23,359",Zikhron Ya'aqov,
1290,זמר,"7,175",Zemer,
975,זרזיר,"8,223",Zarzir,
6500,חדרה,"98,449",Hadera,
6600,חולון,"196,518",Holon,
1303,חורה,"22,793",Hura,
496,חורפיש,"6,478",Hurfeish,
4000,חיפה,"285,165",Haifa,
4005,חספין,"2,042",Haspin,
2034,חצור הגלילית,"9,395",Hazor HaGelilit,
1247,חריש,"17,491",Harish,
3770,חשמונאים,"2,704",Hashmona'im,
6700,טבריה,"45,346",Tiberias,
962,טובא-זנגרייה,"6,853",Tuba-Zangariyye,
498,טורעאן,"14,359",Tur'an,
2730,טייבה,"44,388",Tayibe,
2720,טירה,"26,874",Tire,
2100,טירת כרמל,"23,892",Tirat Karmel,
3788,טלמון,"4,740",Talmon,
8900,טמרה,"34,709",Tamra,
1295,יאנוח-ג'ת,"6,753",Yanuh-Jat,
