מזהה,SettlementName,SettlementCode,District,SubDistrict,NaturalArea,MunicipalStatus,Metropolin,SettlementReligion,pop2013,JewsAndOthers,Jews,Arabs,FoundationYear,SettlementForm,Organization,AvarageHeight,EnglishName,PlanningCommittee,PoliceZone,X_ITM,Y_ITM,X_GEO,Y_GEO,yesod
1,אחיטוב,850,4,41,412,16,141,1,1031,1,1,,1951,310,1,42,Ahituv,409,5120,199320,699340,34.990436748632,32.3877766590148,-596944800000
2,אחיסמך,804,4,43,432,25,142,1,1342,1.3,1.3,,1950,310,1,69,Ahisamakh,424,5280,191410,649200,34.9078412762424,31.9354563153286,-628480800000
3,אחיעזר,797,4,43,432,40,133,1,1828,1.8,1.8,,1950,310,2,40,Ahi'ezer,425,5280,187960,654400,34.8711879707956,31.9822595025473,-628480800000
4,אטרש (שבט),965,6,62,623,100,,3,,,,,,460,,,,699,3481,194000,575200,34.9371434634514,31.2681438289426,-2206318840000
5,איבים,338,6,61,614,37,,1,348,0.3,,,1991,340,,84,Ibbim,653,3840,162970,604770,34.6096574276764,31.5337291409398,665359200000
6,אייל,716,4,42,421,20,141,1,475,0.5,0.5,,1949,330,15,76,Eyal,417,5150,198210,679810,34.979076322861,32.211642402093,-660016800000
7,איילת השחר,77,2,21,211,1,,1,1674,1.7,1.3,,1918,330,15,173,Ayyelet HaShahar,253,1220,254240,769790,35.5767318024709,33.0226564993278,-1638324000000
8,אילון,294,2,24,244,4,,1,921,0.9,0.9,,1938,330,15,293,Elon,201,1350,220700,774230,35.2177553940819,33.0632448708469,-1007172000000
9,אילון תבור,1716,2,23,234,9,,,,,,,,520,,,,254,1420,234330,726760,35.3629430373652,32.6351142689317,-2206318840000
10,אילות,1126,6,62,625,53,,1,348,0.3,0.3,,1962,330,15,73,Elot,608,3460,196070,388160,34.9630665050171,29.5810449497023,-249789600000
11,אילנייה,49,2,22,222,3,,1,488,0.5,0.5,,1902,310,10,239,Ilaniyya,206,1240,238470,739980,35.4073313280339,32.754256146718,-2143246840000
12,אילת,2600,6,62,625,0,,1,48140,46.3,40.4,,1951,160,,164,Elat,602,3460,194230,385150,34.9441457256336,29.5538547077356,-596944800000
13,אירוס,1336,4,44,442,27,143,,,,,,,510,,46,Irus,456,5210,178960,648430,34.7762145446335,31.9281368872947,-2206318840000
14,איתמר,3762,7,72,,72,,1,1026,1,1,,1984,370,11,613,Itamar,710,4164,229180,675630,35.3075352000989,32.1741066334109,444434400000
15,איתן,37,6,61,612,34,,1,417,0.4,0.4,,1955,310,2,156,Etan,631,3820,176140,608980,34.7481435705405,31.5722663996095,-470714400000
16,איתנים,886,1,11,111,26,444,1,175,0.2,0.2,,1952,340,,765,Etanim,151,7004,209110,631810,35.0952072172239,31.7789274751831,-565408800000
17,אכסאל,478,2,23,237,99,,2,13095,,,13.1,,270,,125,Iksal,257,1420,230740,731960,35.3247481741486,32.6820458420578,-2206318840000
18,אל -עזי,1339,6,61,611,35,,2,183,,,0.2,,450,,93,Al-Azy,632,3830,180920,625520,34.7978462691077,31.7216000233315,-2206318840000
19,אל -עריאן,1316,3,32,323,14,,2,169,,,0.2,,450,,367,Al-Aryan,351,1450,212020,711540,35.1253111986131,32.4979464236051,-2206318840000
20,אל -רום,4003,2,29,292,71,,1,318,0.3,0.3,,1971,330,15,1049,El-Rom,219,1270,272320,787330,35.7712516696921,33.1800711070228,34207200000
21,אל סייד,1359,6,62,623,69,342,2,3282,,,3.3,,290,,376,Al Sayyid,624,3481,191780,577110,34.9137807060478,31.2853195384165,-2206318840000
22,אלומה,1145,6,61,611,34,,1,490,0.5,0.5,,1965,350,,84,Alumma,631,3820,175760,617770,34.743750578134,31.6515233751911,-155095200000
23,אלומות,330,2,22,221,6,,1,253,0.3,0.3,,1941,330,15,30,Alummot,214,1240,251510,734750,35.5462983503152,32.7067952555199,-912481200000
24,אלון הגליל,1182,2,23,237,9,242,1,928,0.9,0.9,,1980,310,1,203,Allon HaGalil,254,1410,220940,740260,35.2202706067746,32.7569441998458,318204000000
25,אלון מורה,3579,7,72,,72,,1,1653,1.7,1.7,,1979,370,11,661,Elon More,710,4164,231750,682120,35.3348676785888,32.2326068919991,286668000000
26,אלון שבות,3604,7,76,,76,445,1,3112,3.1,3.1,,1970,190,,953,Allon Shevut,714,4352,211990,618070,35.1257171840182,31.655035871133,2671200000
27,אלוני אבא,429,2,23,237,9,242,1,976,1,1,,1948,320,6,152,Allone Abba,254,1440,216300,737210,35.1707663495104,32.7294387460082,-691639200000
28,אלוני הבשן,4017,2,29,292,71,,1,365,0.4,0.4,,1981,320,2,958,Allone HaBashan,219,1270,278690,772220,35.8385689374623,33.0435104814879,349826400000
29,אלוני יצחק,868,3,32,324,14,,1,286,0.3,0.2,,1949,340,,71,Allone Yizhaq,351,1181,200620,712950,35.0039811038441,32.5105261448316,-660016800000
30,אלונים,285,2,23,235,9,242,1,477,0.5,0.5,,1938,330,15,105,Allonim,254,1440,213910,736110,35.1452764561514,32.7195105540945,-1007172000000
31,אלי-עד,4002,2,29,294,71,,1,302,0.3,0.3,,1968,310,1,368,Eli-Ad,219,1270,269190,745790,35.7354446763427,32.8056830448995,-60487200000
32,אליאב,1365,6,61,612,50,,1,149,0.1,0.1,,2013,370,,363,Eliav,634,3820,193570,604160,34.9318750104409,31.5293200989983,1359669600000
33,אליכין,41,4,41,411,99,141,1,3364,3.4,3.3,,1950,190,,31,Elyakhin,457,1180,193180,701570,34.9251219126848,32.407757868729,-628480800000
34,אליפז,1248,6,62,625,53,,1,108,0.1,0.1,,1982,330,15,77,Elifaz,608,3460,200950,411960,35.0130262676489,29.7958330602761,381362400000
35,אליפלט,730,2,21,213,55,,1,562,0.6,0.6,,1949,310,1,333,Elifelet,253,1220,251520,761480,35.5473299793138,32.9478126706441,-660016800000
36,אליקים,682,2,23,236,13,,1,824,0.8,0.8,,1949,310,1,229,Elyaqim,254,1420,206580,726420,35.0672226470744,32.6320735873564,-660016800000
37,אלישיב,204,4,41,411,16,141,1,689,0.7,0.7,,1933,310,7,16,Elyashiv,409,5120,191700,698550,34.9094782950326,32.3804894369184,-1164938400000
38,אלישמע,841,4,42,421,20,142,1,1171,1.2,1.2,,1951,310,1,27,Elishama,417,5140,193420,673280,34.9284465630948,32.1526558655831,-596944800000
39,אלמגור,1125,2,22,221,6,,1,350,0.4,0.3,,1961,310,1,-18,Almagor,214,1220,256680,757530,35.6023509474047,32.9120336849289,-281325600000
40,אלמוג,3556,7,75,,74,,1,175,0.2,0.2,,1977,330,15,-278,Almog,713,4355,243750,633050,35.460945355056,31.7898986136425,223596000000
41,אלעד,1309,4,42,422,0,142,1,42561,42.6,42.5,,1998,160,,122,El'ad,422,5160,196050,662000,34.9565997432888,32.0509920579014,886284000000
42,אלעזר,3618,7,76,,76,445,1,2389,2.4,2.4,,1975,190,,919,El'azar,714,4352,213430,618780,35.1408952680019,31.6614475134225,160437600000
43,אלפי מנשה,3750,7,73,,99,145,1,7583,7.6,7.4,,1983,180,,184,Alfe Menashe,703,4164,201400,675590,35.0129923804108,32.1736431842504,412898400000
44,אלקוש,603,2,24,244,52,,1,325,0.3,0.3,,1949,310,1,637,Elqosh,255,1320,230600,770910,35.3237246849013,33.0332534577314,-660016800000
45,אלקנה,3560,7,73,,99,145,1,3871,3.9,3.9,,1977,190,,228,Elqana,702,4164,203560,668330,35.0360144044978,32.1082061275633,223596000000
46,אמונים,772,6,61,611,33,143,1,919,0.9,0.9,,1950,310,1,31,Emunim,616,3830,169400,628010,34.6761769510306,31.7436095453672,-628480800000
47,אמירים,1064,2,21,212,2,,1,727,0.7,0.7,,1950,310,1,546,Amirim,209,1230,242560,760270,35.4514814687583,32.9371287549638,-628480800000
48,אמנון,1253,2,22,221,55,,1,270,0.3,0.3,,1983,310,6,7,Amnun,253,1220,253790,756630,35.5714245682864,32.9040132593339,412898400000
49,אמציה,23,6,61,612,50,,1,545,0.5,0.5,,1955,320,9,358,Amazya,634,3820,191840,604520,34.9136496306007,31.5325267092679,-470714400000
50,אניעם,4012,2,29,293,71,,1,530,0.5,0.5,,1978,310,1,426,Ani'am,219,1270,269540,762600,35.7400924987714,32.9572334687833,255132000000
51,אסד (שבט),960,6,62,623,100,,3,,,,,,460,,,,699,3481,188000,581500,34.8739455717695,31.3248167095208,-2206318840000
52,אספר,3754,7,77,,76,,1,510,0.5,0.5,,1983,370,8,937,Asfar,714,4352,217850,610350,35.1875138585193,31.5854351392487,412898400000
53,אעבלין,529,2,24,241,99,241,2,12276,,,12.3,,270,,87,I'billin,261,1340,217730,747940,35.1860016426954,32.826194118615,-2206318840000
54,אעצם (שבט),963,6,62,623,100,,3,,,,,,460,,,,699,3481,191000,561000,34.906045747023,31.1400032839703,-2206318840000
55,אפיניש (שבט),959,6,62,623,100,,3,,,,,,460,,,,699,3481,199000,580000,34.9895454054977,31.3115336470401,-2206318840000
56,אפיק,4301,2,29,294,71,,1,252,0.3,0.2,,1967,330,15,339,Afiq,219,1270,266060,742750,35.7018741450127,32.7784097802375,-92023200000
57,אפיקים,176,2,22,221,6,,1,1466,1.5,1.4,,1932,330,15,-199,Afiqim,214,1240,254490,731910,35.5779735620485,32.6810965620298,-1196560800000
58,אפק,313,2,24,246,4,241,1,519,0.5,0.5,,1939,330,15,24,Afeq,201,1160,212280,749370,35.1277872047166,32.8390661903929,-975636000000
59,אפרת,3650,7,76,,99,445,1,7912,7.9,7.9,,1980,180,,839,Efrat,704,4352,214850,618890,35.1558673548676,31.6624461259997,318204000000
60,ארבל,701,2,22,222,3,,1,626,0.6,0.6,,1949,310,1,47,Arbel,206,1240,245670,746470,35.4843444782111,32.8126276523048,-660016800000
61,ארגמן,3598,7,75,,75,,1,130,0.1,0.1,,1968,310,9,-181,Argaman,712,4164,249400,675480,35.5219158897395,32.1723975332642,-60487200000
62,ארז,714,6,61,614,37,,1,483,0.5,0.5,,1949,330,15,41,Erez,653,3840,158880,607730,34.5664118887186,31.5602154530294,-660016800000
63,אריאל,3570,7,73,,0,145,1,18089,18,14.7,,1978,170,,521,Ari'el,701,4164,218080,667970,35.1898558209323,32.1050707573523,255132000000
64,ארסוף,1324,4,41,411,19,141,1,164,0.2,0.1,,1995,350,,39,Arsuf,401,5120,182870,680070,34.8163563658412,32.213592302366,791589600000
65,אשבול,71,6,62,621,42,,1,413,0.4,0.4,,1955,310,1,167,Eshbol,653,3482,168390,595040,34.6672274593316,31.4462325464273,-470714400000
66,אשבל,1276,2,24,241,56,241,1,97,0.1,0.1,,1979,330,10,270,Eshbal,205,1360,228890,753540,35.3052421379561,32.8766493292998,286668000000
67,אשדוד,70,6,61,613,0,143,1,216511,216.3,196.3,,1955,130,,23,Ashdod,603,3870,166910,633770,34.6495903130325,31.7954415918244,-470714400000
68,אשדות יעקב (איחוד),199,2,22,221,6,,1,867,0.9,0.9,,1933,330,15,-200,Ashdot Ya'aqov(Ihud),214,1240,254710,729360,35.5802229344237,32.6580963503135,-1164938400000
69,אשדות יעקב (מאוחד),188,2,22,221,6,,1,411,0.4,0.4,,1933,330,15,-200,Ashdot Ya'aqov(Me'uhad),214,1240,254910,729820,35.5823722419255,32.662237748103,-1164938400000
70,אשחר,1188,2,24,241,56,241,1,723,0.7,0.7,,1986,370,13,363,Eshhar,205,1360,228410,754550,35.3001228611042,32.8857603471988,507592800000
71,אשכולות,3722,7,77,,78,,1,491,0.5,0.5,,1982,370,11,589,Eshkolot,715,4352,190970,588830,34.9049396530152,31.3910016229539,381362400000
72,אשל הנשיא,2021,6,62,622,42,344,1,240,0.2,0.2,,1952,340,,192,Eshel HaNasi,653,3430,171190,581670,34.697330243638,31.3257738623292,-565408800000
