----------
lastUpdate
----------
lastUpdate
2020-09-23T06:41:59.770Z


----------------
infectedPerDate1
----------------
date,amount,recovered
2020-02-12T00:00:00.000Z,0,0
2020-02-13T00:00:00.000Z,0,0
2020-02-14T00:00:00.000Z,0,0
2020-02-15T00:00:00.000Z,0,0
2020-02-16T00:00:00.000Z,0,0
2020-02-17T00:00:00.000Z,0,0
2020-02-18T00:00:00.000Z,0,0
2020-02-19T00:00:00.000Z,0,0
2020-02-20T00:00:00.000Z,0,0
2020-02-21T00:00:00.000Z,1,0
2020-02-22T00:00:00.000Z,0,0
2020-02-23T00:00:00.000Z,0,0
2020-02-24T00:00:00.000Z,1,0
2020-02-25T00:00:00.000Z,0,0
2020-02-26T00:00:00.000Z,0,0
2020-02-27T00:00:00.000Z,1,0
2020-02-28T00:00:00.000Z,3,0
2020-02-29T00:00:00.000Z,0,0
2020-03-01T00:00:00.000Z,1,0
2020-03-02T00:00:00.000Z,5,0
2020-03-03T00:00:00.000Z,3,1
2020-03-04T00:00:00.000Z,0,1
2020-03-05T00:00:00.000Z,2,0
2020-03-06T00:00:00.000Z,4,0
2020-03-07T00:00:00.000Z,4,0
2020-03-08T00:00:00.000Z,9,1
2020-03-09T00:00:00.000Z,4,0
2020-03-10T00:00:00.000Z,33,0
2020-03-11T00:00:00.000Z,19,0
2020-03-12T00:00:00.000Z,22,0
2020-03-13T00:00:00.000Z,35,1
2020-03-14T00:00:00.000Z,29,0
2020-03-15T00:00:00.000Z,39,0
2020-03-16T00:00:00.000Z,73,0
2020-03-17T00:00:00.000Z,94,4
2020-03-18T00:00:00.000Z,118,5
2020-03-19T00:00:00.000Z,136,10
2020-03-20T00:00:00.000Z,168,5
2020-03-21T00:00:00.000Z,210,4
2020-03-22T00:00:00.000Z,254,8
2020-03-23T00:00:00.000Z,352,13
2020-03-24T00:00:00.000Z,423,9
2020-03-25T00:00:00.000Z,425,12
2020-03-26T00:00:00.000Z,520,16
2020-03-27T00:00:00.000Z,433,13
2020-03-28T00:00:00.000Z,480,23
2020-03-29T00:00:00.000Z,532,35
2020-03-30T00:00:00.000Z,546,39
2020-03-31T00:00:00.000Z,738,67
2020-04-01T00:00:00.000Z,728,320
2020-04-02T00:00:00.000Z,719,98
2020-04-03T00:00:00.000Z,597,94
2020-04-04T00:00:00.000Z,427,60
2020-04-05T00:00:00.000Z,583,112
2020-04-06T00:00:00.000Z,451,102
2020-04-07T00:00:00.000Z,378,143
2020-04-08T00:00:00.000Z,338,156
2020-04-09T00:00:00.000Z,343,122
2020-04-10T00:00:00.000Z,358,208
2020-04-11T00:00:00.000Z,345,175
2020-04-12T00:00:00.000Z,552,370
2020-04-13T00:00:00.000Z,438,334
2020-04-14T00:00:00.000Z,399,378
2020-04-15T00:00:00.000Z,311,310
2020-04-16T00:00:00.000Z,296,370
2020-04-17T00:00:00.000Z,298,384
2020-04-18T00:00:00.000Z,291,393
2020-04-19T00:00:00.000Z,276,318
2020-04-20T00:00:00.000Z,299,548
2020-04-21T00:00:00.000Z,283,470
2020-04-22T00:00:00.000Z,225,371
2020-04-23T00:00:00.000Z,276,393
2020-04-24T00:00:00.000Z,248,501
2020-04-25T00:00:00.000Z,159,419
2020-04-26T00:00:00.000Z,83,250
2020-04-27T00:00:00.000Z,127,561
2020-04-28T00:00:00.000Z,159,491
2020-04-29T00:00:00.000Z,82,432
2020-04-30T00:00:00.000Z,142,408
2020-05-01T00:00:00.000Z,116,643
2020-05-02T00:00:00.000Z,57,252
2020-05-03T00:00:00.000Z,27,160
2020-05-04T00:00:00.000Z,53,359
2020-05-05T00:00:00.000Z,32,346
2020-05-06T00:00:00.000Z,65,209
2020-05-07T00:00:00.000Z,61,271
2020-05-08T00:00:00.000Z,33,294
2020-05-09T00:00:00.000Z,19,105
2020-05-10T00:00:00.000Z,29,125
2020-05-11T00:00:00.000Z,39,427
2020-05-12T00:00:00.000Z,23,199
2020-05-13T00:00:00.000Z,39,179
2020-05-14T00:00:00.000Z,22,239
2020-05-15T00:00:00.000Z,12,227
2020-05-16T00:00:00.000Z,5,64
2020-05-17T00:00:00.000Z,15,138
2020-05-18T00:00:00.000Z,27,288
2020-05-19T00:00:00.000Z,22,174
2020-05-20T00:00:00.000Z,15,122
2020-05-21T00:00:00.000Z,17,211
2020-05-22T00:00:00.000Z,19,162
2020-05-23T00:00:00.000Z,5,35
2020-05-24T00:00:00.000Z,13,109
2020-05-25T00:00:00.000Z,22,177
2020-05-26T00:00:00.000Z,50,103
2020-05-27T00:00:00.000Z,40,97
2020-05-28T00:00:00.000Z,77,125
2020-05-29T00:00:00.000Z,113,41
2020-05-30T00:00:00.000Z,29,31
2020-05-31T00:00:00.000Z,87,58
2020-06-01T00:00:00.000Z,100,106
2020-06-02T00:00:00.000Z,121,47
2020-06-03T00:00:00.000Z,97,33
2020-06-04T00:00:00.000Z,142,58
2020-06-05T00:00:00.000Z,125,35
2020-06-06T00:00:00.000Z,78,37
2020-06-07T00:00:00.000Z,140,50
2020-06-08T00:00:00.000Z,179,38
2020-06-09T00:00:00.000Z,173,48
2020-06-10T00:00:00.000Z,240,67
2020-06-11T00:00:00.000Z,191,73
2020-06-12T00:00:00.000Z,184,71
2020-06-13T00:00:00.000Z,149,51
2020-06-14T00:00:00.000Z,136,39
2020-06-15T00:00:00.000Z,198,68
2020-06-16T00:00:00.000Z,298,40
2020-06-17T00:00:00.000Z,271,50
2020-06-18T00:00:00.000Z,302,75
2020-06-19T00:00:00.000Z,309,67
2020-06-20T00:00:00.000Z,159,59
2020-06-21T00:00:00.000Z,173,50
2020-06-22T00:00:00.000Z,345,88
2020-06-23T00:00:00.000Z,451,105
2020-06-24T00:00:00.000Z,487,60
2020-06-25T00:00:00.000Z,515,123
2020-06-26T00:00:00.000Z,464,121
2020-06-27T00:00:00.000Z,398,85
2020-06-28T00:00:00.000Z,385,112
2020-06-29T00:00:00.000Z,757,195
2020-06-30T00:00:00.000Z,787,118
2020-07-01T00:00:00.000Z,971,113
2020-07-02T00:00:00.000Z,1145,137
2020-07-03T00:00:00.000Z,939,137
2020-07-04T00:00:00.000Z,821,132
2020-07-05T00:00:00.000Z,831,161
2020-07-06T00:00:00.000Z,1134,150
2020-07-07T00:00:00.000Z,1390,162
2020-07-08T00:00:00.000Z,1327,137
2020-07-09T00:00:00.000Z,1525,208
2020-07-10T00:00:00.000Z,1409,215
2020-07-11T00:00:00.000Z,1168,210
2020-07-12T00:00:00.000Z,1238,302
2020-07-13T00:00:00.000Z,1721,341
2020-07-14T00:00:00.000Z,1604,300
2020-07-15T00:00:00.000Z,1877,384
2020-07-16T00:00:00.000Z,1939,494
2020-07-17T00:00:00.000Z,1604,502
2020-07-18T00:00:00.000Z,1448,520
2020-07-19T00:00:00.000Z,1016,445
2020-07-20T00:00:00.000Z,1886,620
2020-07-21T00:00:00.000Z,2006,647
2020-07-22T00:00:00.000Z,2044,3725
2020-07-23T00:00:00.000Z,1990,7197
2020-07-24T00:00:00.000Z,1830,1894
2020-07-25T00:00:00.000Z,1112,671
2020-07-26T00:00:00.000Z,1042,2979
2020-07-27T00:00:00.000Z,2048,1978
2020-07-28T00:00:00.000Z,2125,1746
2020-07-29T00:00:00.000Z,1954,1520
2020-07-30T00:00:00.000Z,1787,1832
2020-07-31T00:00:00.000Z,1362,1399
2020-08-01T00:00:00.000Z,625,568
2020-08-02T00:00:00.000Z,708,2676
2020-08-03T00:00:00.000Z,1800,1947
2020-08-04T00:00:00.000Z,1729,1824
2020-08-05T00:00:00.000Z,1690,1610
2020-08-06T00:00:00.000Z,1676,1942
2020-08-07T00:00:00.000Z,1764,1358
2020-08-08T00:00:00.000Z,754,652
2020-08-09T00:00:00.000Z,924,2414
2020-08-10T00:00:00.000Z,1703,1383
2020-08-11T00:00:00.000Z,1823,1010
2020-08-12T00:00:00.000Z,1622,1159
2020-08-13T00:00:00.000Z,1642,1346
2020-08-14T00:00:00.000Z,1388,1042
2020-08-15T00:00:00.000Z,757,594
2020-08-16T00:00:00.000Z,1069,2193
2020-08-17T00:00:00.000Z,1649,1231
2020-08-18T00:00:00.000Z,1649,1306
2020-08-19T00:00:00.000Z,1640,1521
2020-08-20T00:00:00.000Z,1487,1390
2020-08-21T00:00:00.000Z,1493,1599
2020-08-22T00:00:00.000Z,711,690
2020-08-23T00:00:00.000Z,965,2156
2020-08-24T00:00:00.000Z,1900,1338
2020-08-25T00:00:00.000Z,1955,2588
2020-08-26T00:00:00.000Z,1956,2433
2020-08-27T00:00:00.000Z,2071,1511
2020-08-28T00:00:00.000Z,1831,1915
2020-08-29T00:00:00.000Z,909,728
2020-08-30T00:00:00.000Z,1103,2337
2020-08-31T00:00:00.000Z,2178,1279
2020-09-01T00:00:00.000Z,2253,1098
2020-09-02T00:00:00.000Z,3193,1521
2020-09-03T00:00:00.000Z,2662,1857
2020-09-04T00:00:00.000Z,2622,1261
2020-09-05T00:00:00.000Z,1506,808
2020-09-06T00:00:00.000Z,2180,2383
2020-09-07T00:00:00.000Z,3390,1519
2020-09-08T00:00:00.000Z,3530,1399
2020-09-09T00:00:00.000Z,3995,1546
2020-09-10T00:00:00.000Z,4164,1877
2020-09-11T00:00:00.000Z,3979,1783
2020-09-12T00:00:00.000Z,2719,1195
2020-09-13T00:00:00.000Z,3175,3246
2020-09-14T00:00:00.000Z,4804,2329
2020-09-15T00:00:00.000Z,5534,2328
2020-09-16T00:00:00.000Z,4577,2439
2020-09-17T00:00:00.000Z,5380,3696
2020-09-18T00:00:00.000Z,5319,2842
2020-09-19T00:00:00.000Z,3797,1441
2020-09-20T00:00:00.000Z,2569,2496
2020-09-21T00:00:00.000Z,3867,4583
2020-09-22T00:00:00.000Z,6923,3387
2020-09-23T00:00:00.000Z,974,672


----------------
infectedPerDate2
----------------
date,amount,recovered
2020-02-12T00:00:00.000Z,0,0
2020-02-13T00:00:00.000Z,0,0
2020-02-14T00:00:00.000Z,0,0
2020-02-15T00:00:00.000Z,0,0
2020-02-16T00:00:00.000Z,0,0
2020-02-17T00:00:00.000Z,0,0
2020-02-18T00:00:00.000Z,0,0
2020-02-19T00:00:00.000Z,0,0
2020-02-20T00:00:00.000Z,0,0
2020-02-21T00:00:00.000Z,1,0
2020-02-22T00:00:00.000Z,0,0
2020-02-23T00:00:00.000Z,0,0
2020-02-24T00:00:00.000Z,1,0
2020-02-25T00:00:00.000Z,0,0
2020-02-26T00:00:00.000Z,0,0
2020-02-27T00:00:00.000Z,1,0
2020-02-28T00:00:00.000Z,3,0
2020-02-29T00:00:00.000Z,0,0
2020-03-01T00:00:00.000Z,1,0
2020-03-02T00:00:00.000Z,5,0
2020-03-03T00:00:00.000Z,3,1
2020-03-04T00:00:00.000Z,0,1
2020-03-05T00:00:00.000Z,2,0
2020-03-06T00:00:00.000Z,4,0
2020-03-07T00:00:00.000Z,4,0
2020-03-08T00:00:00.000Z,9,1
2020-03-09T00:00:00.000Z,4,0
2020-03-10T00:00:00.000Z,33,0
2020-03-11T00:00:00.000Z,19,0
2020-03-12T00:00:00.000Z,22,0
2020-03-13T00:00:00.000Z,35,1
