cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),קטן מ-15,אין מידע,25,53.78,8.49,אדום,4649
אבו גוש,קטן מ-15,אין מידע,45,57.24,7.42,כתום,7862
אבו סנאן,קטן מ-15,אין מידע,45,31.46,7,כתום,14306
אבן יהודה,45,21.43,210,149.62,9.98,אדום,14036
אבני חפץ,קטן מ-15,אין מידע,18,86.58,9.64,אדום,2079
אום אל-פחם,קטן מ-15,אין מידע,61,10.76,4.95,צהוב,56713
אופקים,55,25.46,216,66.71,9.74,אדום,32378
אור יהודה,79,27.15,291,79.54,9.23,אדום,36587
אור עקיבא,57,22.98,248,127.72,10,אדום,19417
אורנית,32,26.67,120,133.19,9.47,אדום,9010
אזור,36,24.16,149,112.64,9.98,אדום,13228
אחוזת ברק,16,37.21,43,179.32,10,אדום,2398
אילת,110,27.64,398,75.80,9.2,אדום,52507
אכסאל,קטן מ-15,אין מידע,29,19.28,5.92,צהוב,15039
אלון שבות,קטן מ-15,אין מידע,26,83.57,8.89,אדום,3111
אליכין,קטן מ-15,אין מידע,44,126.95,10,אדום,3466
אלעד,15,25.00,60,12.20,7.76,אדום,49179
אלעזר,קטן מ-15,אין מידע,25,102.12,9.93,אדום,2448
אלפי מנשה,33,29.20,113,141.06,10,אדום,8011
אלקנה,23,23.96,96,242.49,10,אדום,3959
אעבלין,קטן מ-15,אין מידע,20,14.80,5.28,צהוב,13515
אפרת,55,31.98,172,150.61,10,אדום,11420
אריאל,34,21.66,157,76.63,9.81,אדום,20488
אשדוד,326,20.32,1604,70.87,9.54,אדום,226329
אשקלון,363,23.98,1514,103.39,10,אדום,146442
באקה אל-גרביה,קטן מ-15,אין מידע,49,16.09,4.92,צהוב,30448
באר יעקב,103,33.55,307,106.53,9.99,אדום,28818
באר שבע,544,21.86,2489,118.17,10,אדום,210624
בית אל,קטן מ-15,אין מידע,58,97.87,10,אדום,5926
בית אריה,15,30.61,49,91.73,9.92,אדום,5342
בית ג'ן,קטן מ-15,אין מידע,22,18.08,7.03,כתום,12169
בית דגן,קטן מ-15,אין מידע,80,109.62,9.96,אדום,7298
בית חשמונאי,קטן מ-15,אין מידע,37,169.03,9.98,אדום,2189
בית יצחק-שער חפר,קטן מ-15,אין מידע,41,191.23,10,אדום,2144
בית שאן,61,25.74,237,124.87,9.9,אדום,18980
בית שמש,78,23.71,329,24.88,8.18,אדום,132210
ביתר עילית,קטן מ-15,אין מידע,23,3.75,4.93,צהוב,61297
בני ברק,26,14.69,177,8.51,5.54,צהוב,208031
"בני עי""ש",קטן מ-15,אין מידע,46,66.65,9.55,אדום,6902
בנימינה-גבעת עדה,63,28.64,220,137.75,9.83,אדום,15971
בסמת טבעון,קטן מ-15,אין מידע,32,40.00,5.99,צהוב,8001
בת חפר,30,30.30,99,187.57,10,אדום,5278
בת ים,189,17.23,1097,85.86,9.2,אדום,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,37,17.35,7.21,כתום,21331
ג'לג'וליה,קטן מ-15,אין מידע,22,21.37,6.23,כתום,10295
ג'סר א-זרקא,קטן מ-15,אין מידע,22,14.56,4.69,צהוב,15113
ג'ת,קטן מ-15,אין מידע,16,13.06,5.63,צהוב,12252
גבע בנימין,קטן מ-15,אין מידע,24,41.69,9.17,אדום,5757
גבעת אבני,קטן מ-15,אין מידע,28,134.62,9.79,אדום,2080
גבעת ברנר,19,35.19,54,202.63,10,אדום,2665
גבעת זאב,19,21.59,88,45.82,8.77,אדום,19205
גבעת שמואל,102,25.89,394,144.66,10,אדום,27236
גבעתיים,213,22.81,934,153.44,10,אדום,60872
גדרה,115,29.95,384,133.31,9.92,אדום,28805
גן יבנה,87,31.64,275,115.13,10,אדום,23887
גן נר,קטן מ-15,אין מידע,34,125.93,9.95,אדום,2700
גני תקווה,73,23.78,307,142.74,9.65,אדום,21508
דאלית אל-כרמל,קטן מ-15,אין מידע,34,19.03,6.85,כתום,17862
דייר חנא,קטן מ-15,אין מידע,26,24.86,6.31,כתום,10459
דימונה,89,25.21,353,100.99,9.43,אדום,34954
הוד השרון,286,26.38,1084,167.40,10,אדום,64755
הושעיה,קטן מ-15,אין מידע,36,172.33,10,אדום,2089
הר אדר,קטן מ-15,אין מידע,63,153.77,10,אדום,4097
הרצליה,365,23.12,1579,159.16,10,אדום,99208
זכרון יעקב,92,27.63,333,141.68,10,אדום,23503
זמר,קטן מ-15,אין מידע,18,24.92,6.41,כתום,7223
חדרה,219,23.27,941,95.12,9.84,אדום,98928
חולון,424,21.63,1960,99.74,9.8,אדום,196510
חורה,קטן מ-15,אין מידע,27,11.71,4.15,ירוק,23062
חיפה,613,20.84,2941,103.20,9.72,אדום,284981
חספין,קטן מ-15,אין מידע,28,136.52,8.92,אדום,2051
חצור הגלילית,24,23.76,101,105.89,10,אדום,9538
חריש,54,28.42,190,96.90,10,אדום,19608
חשמונאים,קטן מ-15,אין מידע,27,101.01,9.58,אדום,2673
טבריה,51,20.00,255,55.82,9.46,אדום,45686
טייבה,17,30.91,55,12.34,4.74,צהוב,44582
טירה,קטן מ-15,אין מידע,55,20.39,5.76,צהוב,26972
טירת כרמל,43,18.94,227,93.47,9.68,אדום,24285
טלמון,20,42.55,47,97.59,9.66,אדום,4816
טמרה,קטן מ-15,אין מידע,37,10.61,5.88,צהוב,34859
יבנאל,קטן מ-15,אין מידע,30,68.92,9.6,אדום,4353
יבנה,147,26.06,564,113.35,9.99,אדום,49759
יד בנימין,16,48.48,33,77.67,9.77,אדום,4249
יהוד,75,21.37,351,116.99,9.91,אדום,30003
יפיע,קטן מ-15,אין מידע,31,16.06,6.48,כתום,19298
יקיר,קטן מ-15,אין מידע,28,117.40,10,אדום,2385
יקנעם עילית,101,30.24,334,138.81,10,אדום,24061
ירוחם,49,34.27,143,133.90,10,אדום,10680
ירושלים,716,20.14,3555,37.31,7.78,אדום,952916
ירכא,קטן מ-15,אין מידע,18,10.37,5.16,צהוב,17360
כאבול,קטן מ-15,אין מידע,17,11.94,4.08,ירוק,14234
כוכב יאיר,33,20.37,162,185.40,9.93,אדום,8738
כסיפה,20,50.00,40,17.84,6.48,כתום,22418
כפר אדומים,קטן מ-15,אין מידע,39,82.47,9.99,אדום,4729
כפר האורנים,קטן מ-15,אין מידע,32,121.53,9.81,אדום,2633
כפר ורדים,קטן מ-15,אין מידע,64,116.47,9.4,אדום,5495
"כפר חב""ד",קטן מ-15,אין מידע,21,31.18,8.12,אדום,6735
כפר יאסיף,קטן מ-15,אין מידע,21,20.49,6.92,כתום,10249
כפר יונה,97,25.46,381,145.75,10,אדום,26140
כפר כנא,קטן מ-15,אין מידע,17,7.31,2.91,ירוק,23251
כפר סבא,421,26.85,1568,154.23,9.99,אדום,101664
כפר קאסם,קטן מ-15,אין מידע,43,17.74,5.2,צהוב,24236
כפר קרע,קטן מ-15,אין מידע,44,22.76,5.94,צהוב,19330
כפר תבור,20,32.79,61,138.60,10,אדום,4401
כרמיאל,84,19.44,432,93.53,9.97,אדום,46190
להבים,26,22.22,117,176.18,9.87,אדום,6641
לוד,100,25.51,392,48.52,8.27,אדום,80786
לפיד,קטן מ-15,אין מידע,39,166.31,9.82,אדום,2345
