priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
LastMonth,Germany,כתום,2,31675,313,0.99,2022-08-18T00:00:00.000Z,305,8
LastMonth,Denmark,כתום,2,2037,40,1.96,2022-08-18T00:00:00.000Z,39,1
LastMonth,Maldives,כתום,2,799,3,0.38,2022-08-18T00:00:00.000Z,2,1
LastMonth,Saudi Arabia ,כתום,2,50,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Algeria,כתום,2,3,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Republic Of South Sudan,כתום,2,31,1,3.23,2022-08-18T00:00:00.000Z,1,0
LastMonth,Vanuatu ,כתום,2,2,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Puerto Rico ,כתום,2,14,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,New Guinea,כתום,2,1,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Bhutan ,כתום,2,2,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Romania ,כתום,2,14851,248,1.67,2022-08-18T00:00:00.000Z,247,1
LastMonth,New Zealand ,כתום,2,76,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Zambia ,כתום,2,66,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Uruguay ,כתום,2,211,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Senegal ,כתום,2,22,1,4.55,2022-08-18T00:00:00.000Z,1,0
LastMonth,Nepal ,כתום,2,508,41,8.07,2022-08-18T00:00:00.000Z,0,41
LastMonth,Oman  ,כתום,2,7,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Vatican,כתום,2,2,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Macao,כתום,2,1,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Pakistan ,כתום,2,1,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Montenegro,כתום,2,4544,125,2.75,2022-08-18T00:00:00.000Z,125,0
LastMonth,Czech Republic,כתום,2,14033,231,1.65,2022-08-18T00:00:00.000Z,229,2
LastMonth,Serbia,כתום,2,1895,21,1.11,2022-08-18T00:00:00.000Z,21,0
LastMonth,Vietnam ,כתום,2,138,6,4.35,2022-08-18T00:00:00.000Z,3,3
LastMonth,Ecuador,כתום,2,132,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,China,כתום,2,706,2,0.28,2022-08-18T00:00:00.000Z,0,2
LastMonth,Mali  ,כתום,2,16,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Sri Lanka ,כתום,2,250,3,1.2,2022-08-18T00:00:00.000Z,1,2
LastMonth,Tunisia ,כתום,2,43,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Barbados ,כתום,2,1,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Belarus ,כתום,2,234,1,0.43,2022-08-18T00:00:00.000Z,1,0
LastMonth,Belize ,כתום,2,10,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Antilles,כתום,2,9,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Botswana  ,כתום,2,14,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Mauritania  ,כתום,2,1,0,0,2022-08-18T00:00:00.000Z,0,0
LastMonth,Gibraltar ,כתום,2,2,1,50,2022-08-18T00:00:00.000Z,1,0
LastMonth,Bahrain,כתום,2,161,0,0,2022-08-18T00:00:00.000Z,0,0
