date,visited_country,israeli_incoming_vaccination,israeli_incoming_none_vaccination,israeli_incoming_vaccination_expired,israeli_positive_vaccination,israeli_positive_none_vaccination,israeli_positive_vaccination_expired
2021-09-28T00:00:00.000Z,CAPE VERDE ISLANDS,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,SOUTH AFRICA,22,0,3,0,0,0
2021-09-28T00:00:00.000Z,All Countries,16833,0,1151,26,0,11
2021-09-28T00:00:00.000Z,FINLAND,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,CUBA ,0,0,1,0,0,0
2021-09-28T00:00:00.000Z,KAZAKHSTAN,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,UNITED ARAB EMIRATES,233,0,15,0,0,0
2021-09-28T00:00:00.000Z,Czech Republic,585,0,31,1,0,0
2021-09-28T00:00:00.000Z,MALTA ,3,0,0,0,0,0
2021-09-28T00:00:00.000Z,AZERBAIJAN,101,0,5,0,0,0
2021-09-28T00:00:00.000Z,TOGO ,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,PHILIPPINES,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,EL SALVADOR ,2,0,0,0,0,0
2021-09-28T00:00:00.000Z,SEYCHELLES,109,0,9,0,0,0
2021-09-28T00:00:00.000Z,NAMIBIA  ,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,ANGOLA ,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,ANTILLES,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,EGYPT ,3285,0,382,3,0,0
2021-09-28T00:00:00.000Z,UGANDA ,1,0,2,0,0,0
2021-09-28T00:00:00.000Z,KYRGYZSTAN ,8,0,0,0,0,0
2021-09-28T00:00:00.000Z,PERU ,22,0,4,0,0,0
2021-09-28T00:00:00.000Z,SWITZERLAND  ,282,0,3,0,0,0
2021-09-28T00:00:00.000Z,ITALY,849,0,23,0,0,0
2021-09-28T00:00:00.000Z,BOSNIA AND HERZEGOVINA ,16,0,3,0,0,0
2021-09-28T00:00:00.000Z,GREECE ,2565,0,89,2,0,0
2021-09-28T00:00:00.000Z,CANADA,175,0,11,0,0,0
2021-09-28T00:00:00.000Z,IVORY COAST,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,UNITED STATES ,1466,0,76,1,0,2
2021-09-28T00:00:00.000Z,VIETNAM ,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,MACEDONIA,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,GERMANY,479,0,14,0,0,0
2021-09-28T00:00:00.000Z,ICELAND ,139,0,2,1,0,0
2021-09-28T00:00:00.000Z,RUSSIA,235,0,31,5,0,1
2021-09-28T00:00:00.000Z,ROMANIA ,428,0,30,0,0,1
2021-09-28T00:00:00.000Z,ARGENTINA,12,0,0,0,0,0
2021-09-28T00:00:00.000Z,POLAND,273,0,9,0,0,0
2021-09-28T00:00:00.000Z,RWANDA  ,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,FRANCE,676,0,22,0,0,0
2021-09-28T00:00:00.000Z,PANAMA  ,13,0,5,0,0,0
2021-09-28T00:00:00.000Z,LATVIA ,72,0,4,0,0,0
2021-09-28T00:00:00.000Z,AUSTRIA ,558,0,20,0,0,0
2021-09-28T00:00:00.000Z,SRI LANKA ,8,0,0,0,0,0
2021-09-28T00:00:00.000Z,PARAGUAY ,2,0,0,0,0,0
2021-09-28T00:00:00.000Z,BAHRAIN,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,KENYA ,15,0,1,0,0,0
2021-09-28T00:00:00.000Z,MEXICO,1,0,1,0,0,0
2021-09-28T00:00:00.000Z,NEPAL ,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,THAILAND ,0,0,2,0,0,0
2021-09-28T00:00:00.000Z,BRAZIL,1,0,1,0,0,0
2021-09-28T00:00:00.000Z,BELARUS ,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,UNITED KINGDOM,271,0,7,0,0,0
2021-09-28T00:00:00.000Z,HONG KONG,0,0,1,0,0,0
2021-09-28T00:00:00.000Z,UZBEKISTAN ,5,0,0,0,0,0
2021-09-28T00:00:00.000Z,TUNISIA ,2,0,2,0,0,0
2021-09-28T00:00:00.000Z,NETHERLANDS,147,0,19,0,0,1
2021-09-28T00:00:00.000Z,HUNGARY,682,0,22,0,0,0
2021-09-28T00:00:00.000Z,ECUADOR,3,0,0,1,0,0
2021-09-28T00:00:00.000Z,TURKEY,36,0,10,0,0,0
2021-09-28T00:00:00.000Z,SLOVENIA ,13,0,0,0,0,0
2021-09-28T00:00:00.000Z,SAUDI ARABIA ,2,0,0,0,0,0
2021-09-28T00:00:00.000Z,ARMENIA ,4,0,0,0,0,0
2021-09-28T00:00:00.000Z,INDIA ,2,0,1,0,0,0
2021-09-28T00:00:00.000Z,ESTONIA,6,0,0,0,0,0
2021-09-28T00:00:00.000Z,CROATIA ,16,0,0,0,0,0
2021-09-28T00:00:00.000Z,GEORGIA ,515,0,22,4,0,0
2021-09-28T00:00:00.000Z,MALAYSIA ,0,0,0,0,0,0
2021-09-28T00:00:00.000Z,ZIMBABWE ,3,0,0,0,0,0
2021-09-28T00:00:00.000Z,UKRAINE ,278,0,34,3,0,3
2021-09-28T00:00:00.000Z,JORDAN ,212,0,26,2,0,1
2021-09-28T00:00:00.000Z,IRELAND,19,0,0,0,0,0
2021-09-28T00:00:00.000Z,CAMEROON ,1,0,0,0,0,0
2021-09-28T00:00:00.000Z,North Korea,5,0,0,0,0,0
2021-09-28T00:00:00.000Z,BELGIUM,18,0,1,0,0,0
