section,male,female,period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
0-9,"{'amount': 20, 'percentage': 1}","{'amount': 11, 'percentage': 0.5}",שנה
0-9,"{'amount': 4, 'percentage': 0.6}","{'amount': 2, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 34, 'percentage': 0.5}","{'amount': 18, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 11, 'percentage': 0.5}","{'amount': 9, 'percentage': 0.4}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 25, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",6 חודשים
20-29,"{'amount': 2, 'percentage': 1.3}","{'amount': 2, 'percentage': 1.3}",חודש אחרון
20-29,"{'amount': 17, 'percentage': 0.8}","{'amount': 17, 'percentage': 0.8}",שנה
20-29,"{'amount': 7, 'percentage': 1.1}","{'amount': 8, 'percentage': 1.2}",6 חודשים
20-29,"{'amount': 5, 'percentage': 2}","{'amount': 2, 'percentage': 0.8}",3 חודשים
20-29,"{'amount': 61, 'percentage': 0.9}","{'amount': 64, 'percentage': 1}",מתחילת קורונה
30-39,"{'amount': 5, 'percentage': 0.8}","{'amount': 11, 'percentage': 1.7}",6 חודשים
30-39,"{'amount': 2, 'percentage': 1.3}","{'amount': 2, 'percentage': 1.3}",חודש אחרון
30-39,"{'amount': 34, 'percentage': 1.7}","{'amount': 25, 'percentage': 1.2}",שנה
30-39,"{'amount': 2, 'percentage': 0.8}","{'amount': 2, 'percentage': 0.8}",3 חודשים
30-39,"{'amount': 108, 'percentage': 1.6}","{'amount': 116, 'percentage': 1.7}",מתחילת קורונה
40-49,"{'amount': 1, 'percentage': 0.6}","{'amount': 2, 'percentage': 1.3}",חודש אחרון
40-49,"{'amount': 56, 'percentage': 2.8}","{'amount': 25, 'percentage': 1.2}",שנה
40-49,"{'amount': 11, 'percentage': 1.7}","{'amount': 7, 'percentage': 1.1}",6 חודשים
40-49,"{'amount': 2, 'percentage': 0.8}","{'amount': 3, 'percentage': 1.2}",3 חודשים
40-49,"{'amount': 272, 'percentage': 4.1}","{'amount': 145, 'percentage': 2.2}",מתחילת קורונה
50-59,"{'amount': 31, 'percentage': 4.7}","{'amount': 20, 'percentage': 3.1}",6 חודשים
50-59,"{'amount': 8, 'percentage': 5}","{'amount': 5, 'percentage': 3.1}",חודש אחרון
50-59,"{'amount': 130, 'percentage': 6.5}","{'amount': 73, 'percentage': 3.6}",שנה
50-59,"{'amount': 14, 'percentage': 5.6}","{'amount': 9, 'percentage': 3.6}",3 חודשים
50-59,"{'amount': 574, 'percentage': 8.6}","{'amount': 275, 'percentage': 4.1}",מתחילת קורונה
60-69,"{'amount': 14, 'percentage': 8.8}","{'amount': 10, 'percentage': 6.3}",חודש אחרון
60-69,"{'amount': 243, 'percentage': 12.1}","{'amount': 130, 'percentage': 6.5}",שנה
60-69,"{'amount': 81, 'percentage': 12.4}","{'amount': 41, 'percentage': 6.3}",6 חודשים
60-69,"{'amount': 26, 'percentage': 10.4}","{'amount': 18, 'percentage': 7.2}",3 חודשים
60-69,"{'amount': 1012, 'percentage': 15.1}","{'amount': 542, 'percentage': 8.1}",מתחילת קורונה
70-79,"{'amount': 126, 'percentage': 19.2}","{'amount': 70, 'percentage': 10.7}",6 חודשים
70-79,"{'amount': 35, 'percentage': 22}","{'amount': 18, 'percentage': 11.3}",חודש אחרון
70-79,"{'amount': 353, 'percentage': 17.6}","{'amount': 209, 'percentage': 10.4}",שנה
70-79,"{'amount': 54, 'percentage': 21.6}","{'amount': 21, 'percentage': 8.4}",3 חודשים
70-79,"{'amount': 1154, 'percentage': 17.2}","{'amount': 651, 'percentage': 9.7}",מתחילת קורונה
80-89,"{'amount': 20, 'percentage': 12.6}","{'amount': 20, 'percentage': 12.6}",חודש אחרון
80-89,"{'amount': 268, 'percentage': 13.4}","{'amount': 216, 'percentage': 10.8}",שנה
80-89,"{'amount': 91, 'percentage': 13.9}","{'amount': 76, 'percentage': 11.6}",6 חודשים
80-89,"{'amount': 32, 'percentage': 12.8}","{'amount': 33, 'percentage': 13.2}",3 חודשים
80-89,"{'amount': 732, 'percentage': 10.9}","{'amount': 552, 'percentage': 8.2}",מתחילת קורונה
90+,"{'amount': 9, 'percentage': 5.7}","{'amount': 8, 'percentage': 5}",חודש אחרון
90+,"{'amount': 80, 'percentage': 4}","{'amount': 79, 'percentage': 3.9}",שנה
90+,"{'amount': 14, 'percentage': 5.6}","{'amount': 12, 'percentage': 4.8}",3 חודשים
90+,"{'amount': 175, 'percentage': 2.6}","{'amount': 170, 'percentage': 2.5}",מתחילת קורונה
90+,"{'amount': 31, 'percentage': 4.7}","{'amount': 32, 'percentage': 4.9}",6 חודשים
