city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,128932,3290,1557,44711,35
תל אביב - יפו,25985,961,435,28079,21
נתניה,16610,725,324,14770,33
באר שבע,14661,652,319,15246,33
אשקלון,11657,578,278,10574,40
אשדוד,25336,522,274,14361,23
ראשון לציון,14677,518,237,14624,21
פתח תקווה,21353,515,245,16036,21
רהט,4646,437,228,2232,63
חיפה,16400,428,187,15650,16
בני ברק,48133,419,160,6668,20
חולון,14426,384,176,10781,21
בת ים,9524,347,161,8273,27
רמלה,9423,335,167,5614,44
אום אל-פחם,5932,314,182,1635,55
רחובות,11168,309,150,11323,22
נצרת,8846,295,126,1934,37
חדרה,6702,292,126,6774,30
בית שמש,20106,262,133,4855,20
לוד,8479,260,132,6941,33
נתיבות,6938,203,92,3321,50
רמת גן,7814,183,84,16689,12
קרית גת,7224,180,87,3871,31
אופקים,4253,177,82,2839,53
שדרות,2816,159,72,3043,56
דימונה,2459,159,71,2765,44
צפת,4766,157,87,2042,43
טייבה,4398,153,99,1715,34
ראש העין,5387,152,86,6196,23
מודיעין עילית,25117,143,63,2078,18
קרית מלאכי,4061,142,66,2147,57
טבריה,4461,142,67,2317,31
אילת,2456,142,70,7269,25
אור יהודה,4292,134,62,2805,39
טירה,2632,130,69,1015,48
באקה אל-גרביה,2687,126,60,975,42
כפר סבא,4025,124,79,5829,13
נוף הגליל,2827,121,47,5475,27
שפרעם,4054,121,39,1783,29
מודיעין-מכבים-רעות,4772,119,68,6057,13
מעלות-תרשיחא,1558,117,66,2266,51
כפר קאסם,3257,115,77,720,47
הרצליה,4187,115,50,5726,12
קרית אתא,4629,115,62,3840,20
כפר כנא,2398,115,81,601,49
נס ציונה,2420,113,72,3891,25
עכו,4018,112,57,3293,22
פרדס חנה-כרכור,2299,111,68,3417,26
חריש,1502,108,44,1626,53
כסיפה,850,101,68,435,55
ערערה,1943,99,58,651,49
אלעד,11537,97,38,1659,20
חורה,822,96,62,551,52
