date,amount
,264
2020-02-12T00:00:00.000Z,0
2020-02-13T00:00:00.000Z,0
2020-02-14T00:00:00.000Z,0
2020-02-15T00:00:00.000Z,0
2020-02-16T00:00:00.000Z,0
2020-02-17T00:00:00.000Z,0
2020-02-18T00:00:00.000Z,0
2020-02-19T00:00:00.000Z,0
2020-02-20T00:00:00.000Z,0
2020-02-21T00:00:00.000Z,0
2020-02-22T00:00:00.000Z,0
2020-02-23T00:00:00.000Z,0
2020-02-24T00:00:00.000Z,0
2020-02-25T00:00:00.000Z,0
2020-02-26T00:00:00.000Z,0
2020-02-27T00:00:00.000Z,0
2020-02-28T00:00:00.000Z,0
2020-02-29T00:00:00.000Z,0
2020-03-01T00:00:00.000Z,0
2020-03-02T00:00:00.000Z,0
2020-03-03T00:00:00.000Z,1
2020-03-04T00:00:00.000Z,1
2020-03-05T00:00:00.000Z,0
2020-03-06T00:00:00.000Z,0
2020-03-07T00:00:00.000Z,0
2020-03-08T00:00:00.000Z,1
2020-03-09T00:00:00.000Z,0
2020-03-10T00:00:00.000Z,0
2020-03-11T00:00:00.000Z,0
2020-03-12T00:00:00.000Z,0
2020-03-13T00:00:00.000Z,1
2020-03-14T00:00:00.000Z,0
2020-03-15T00:00:00.000Z,0
2020-03-16T00:00:00.000Z,0
2020-03-17T00:00:00.000Z,4
2020-03-18T00:00:00.000Z,5
2020-03-19T00:00:00.000Z,10
2020-03-20T00:00:00.000Z,5
2020-03-21T00:00:00.000Z,4
2020-03-22T00:00:00.000Z,8
2020-03-23T00:00:00.000Z,13
2020-03-24T00:00:00.000Z,9
2020-03-25T00:00:00.000Z,12
2020-03-26T00:00:00.000Z,16
2020-03-27T00:00:00.000Z,13
2020-03-28T00:00:00.000Z,23
2020-03-29T00:00:00.000Z,35
2020-03-30T00:00:00.000Z,39
2020-03-31T00:00:00.000Z,67
2020-04-01T00:00:00.000Z,58
2020-04-02T00:00:00.000Z,99
2020-04-03T00:00:00.000Z,93
2020-04-04T00:00:00.000Z,60
2020-04-05T00:00:00.000Z,110
2020-04-06T00:00:00.000Z,105
2020-04-07T00:00:00.000Z,143
2020-04-08T00:00:00.000Z,156
2020-04-09T00:00:00.000Z,122
2020-04-10T00:00:00.000Z,206
2020-04-11T00:00:00.000Z,175
2020-04-12T00:00:00.000Z,370
2020-04-13T00:00:00.000Z,334
2020-04-14T00:00:00.000Z,378
2020-04-15T00:00:00.000Z,310
2020-04-16T00:00:00.000Z,370
2020-04-17T00:00:00.000Z,384
2020-04-18T00:00:00.000Z,393
2020-04-19T00:00:00.000Z,318
2020-04-20T00:00:00.000Z,544
2020-04-21T00:00:00.000Z,472
2020-04-22T00:00:00.000Z,371
2020-04-23T00:00:00.000Z,393
2020-04-24T00:00:00.000Z,504
2020-04-25T00:00:00.000Z,419
2020-04-26T00:00:00.000Z,250
2020-04-27T00:00:00.000Z,561
2020-04-28T00:00:00.000Z,488
2020-04-29T00:00:00.000Z,435
2020-04-30T00:00:00.000Z,409
2020-05-01T00:00:00.000Z,639
2020-05-02T00:00:00.000Z,255
2020-05-03T00:00:00.000Z,160
2020-05-04T00:00:00.000Z,360
2020-05-05T00:00:00.000Z,345
2020-05-06T00:00:00.000Z,210
2020-05-07T00:00:00.000Z,270
2020-05-08T00:00:00.000Z,294
2020-05-09T00:00:00.000Z,105
2020-05-10T00:00:00.000Z,122
2020-05-11T00:00:00.000Z,429
2020-05-12T00:00:00.000Z,199
2020-05-13T00:00:00.000Z,181
2020-05-14T00:00:00.000Z,238
2020-05-15T00:00:00.000Z,227
2020-05-16T00:00:00.000Z,65
2020-05-17T00:00:00.000Z,138
2020-05-18T00:00:00.000Z,286
2020-05-19T00:00:00.000Z,174
2020-05-20T00:00:00.000Z,124
2020-05-21T00:00:00.000Z,211
2020-05-22T00:00:00.000Z,162
2020-05-23T00:00:00.000Z,34
2020-05-24T00:00:00.000Z,110
2020-05-25T00:00:00.000Z,176
2020-05-26T00:00:00.000Z,103
2020-05-27T00:00:00.000Z,97
2020-05-28T00:00:00.000Z,127
2020-05-29T00:00:00.000Z,40
2020-05-30T00:00:00.000Z,31
2020-05-31T00:00:00.000Z,58
2020-06-01T00:00:00.000Z,106
2020-06-02T00:00:00.000Z,46
2020-06-03T00:00:00.000Z,33
2020-06-04T00:00:00.000Z,58
2020-06-05T00:00:00.000Z,36
2020-06-06T00:00:00.000Z,37
2020-06-07T00:00:00.000Z,50
2020-06-08T00:00:00.000Z,38
2020-06-09T00:00:00.000Z,47
2020-06-10T00:00:00.000Z,68
2020-06-11T00:00:00.000Z,73
2020-06-12T00:00:00.000Z,71
2020-06-13T00:00:00.000Z,51
2020-06-14T00:00:00.000Z,39
2020-06-15T00:00:00.000Z,68
2020-06-16T00:00:00.000Z,40
2020-06-17T00:00:00.000Z,50
2020-06-18T00:00:00.000Z,75
2020-06-19T00:00:00.000Z,67
2020-06-20T00:00:00.000Z,59
2020-06-21T00:00:00.000Z,51
2020-06-22T00:00:00.000Z,88
2020-06-23T00:00:00.000Z,105
2020-06-24T00:00:00.000Z,58
2020-06-25T00:00:00.000Z,124
2020-06-26T00:00:00.000Z,121
2020-06-27T00:00:00.000Z,85
2020-06-28T00:00:00.000Z,111
2020-06-29T00:00:00.000Z,196
2020-06-30T00:00:00.000Z,118
2020-07-01T00:00:00.000Z,113
2020-07-02T00:00:00.000Z,137
2020-07-03T00:00:00.000Z,137
2020-07-04T00:00:00.000Z,132
2020-07-05T00:00:00.000Z,160
2020-07-06T00:00:00.000Z,150
2020-07-07T00:00:00.000Z,163
2020-07-08T00:00:00.000Z,137
2020-07-09T00:00:00.000Z,208
2020-07-10T00:00:00.000Z,215
2020-07-11T00:00:00.000Z,210
2020-07-12T00:00:00.000Z,301
2020-07-13T00:00:00.000Z,341
2020-07-14T00:00:00.000Z,300
2020-07-15T00:00:00.000Z,382
2020-07-16T00:00:00.000Z,494
2020-07-17T00:00:00.000Z,502
2020-07-18T00:00:00.000Z,522
2020-07-19T00:00:00.000Z,446
2020-07-20T00:00:00.000Z,619
2020-07-21T00:00:00.000Z,646
2020-07-22T00:00:00.000Z,3725
2020-07-23T00:00:00.000Z,7198
2020-07-24T00:00:00.000Z,1895
2020-07-25T00:00:00.000Z,672
