city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,27754,5645,3227,24746,61
בני ברק,14325,2790,1395,7978,139
אשדוד,6953,1902,1139,10395,84
תל אביב - יפו,6831,1469,815,12486,32
פתח תקווה,4557,1363,717,9017,56
נתניה,3741,1213,717,7408,56
באר שבע,3382,1202,687,8367,61
חולון,3478,1197,683,7074,64
מודיעין עילית,5623,1140,667,3646,148
חיפה,3203,1090,603,8169,40
ראשון לציון,3160,1051,631,7955,43
אשקלון,2771,947,441,6213,67
בית שמש,4637,919,494,3262,72
אלעד,3065,752,413,1826,158
רחובות,2313,719,462,4385,52
חדרה,1637,692,372,3921,72
אום אל-פחם,2050,672,307,1834,120
נתיבות,1774,625,328,2517,162
בת ים,2241,596,347,3893,46
נצרת,1368,531,236,1802,68
ביתר עילית,3267,504,366,1508,82
רמת גן,1860,463,271,4020,31
סח'נין,1016,437,258,1993,133
יבנה,1045,432,261,2000,93
רמלה,1848,423,232,2291,56
טמרה,664,400,251,1829,117
לוד,1939,397,217,2078,52
מודיעין-מכבים-רעות,1255,385,242,2976,44
אופקים,838,367,233,1819,115
ראש העין,1131,350,194,1973,59
כפר סבא,992,348,193,3618,36
קרית גת,1338,341,191,1887,59
באקה אל-גרביה,1004,326,183,1080,110
הרצליה,1158,323,176,2861,35
רעננה,1131,321,169,2559,43
עפולה,626,308,168,1578,58
שפרעם,631,293,132,1596,71
שדרות,632,291,134,2144,108
טירה,1441,283,100,778,107
פוריידיס,447,255,136,665,192
טייבה,1461,255,139,1204,58
נהריה,796,242,123,1937,40
טבריה,1231,234,125,1257,52
פרדס חנה-כרכור,549,229,132,1462,55
עכו,669,228,129,2148,45
אור יהודה,1095,228,146,1135,66
רכסים,749,227,109,587,183
קרית אתא,757,223,129,2101,39
מעלה אדומים,675,221,119,1913,59
נס ציונה,627,213,119,1456,46
מגדל העמק,444,211,97,819,81
ג'דיידה-מכר,547,203,62,673,98
כפר מנדא,502,199,107,500,98
הוד השרון,629,197,112,1525,33
מעלה עירון,571,191,69,368,127
מג'ד אל-כרום,444,191,89,718,124
ערערה,610,190,123,779,95
קרית מלאכי,946,190,111,990,78
באר יעקב,495,188,137,1187,73
גבעת זאב,642,188,124,966,99
דייר אל-אסד,495,188,106,515,149
עראבה,338,187,112,1203,71
צפת,652,185,95,591,51
קרית ים,379,183,100,1490,47
קלנסווה,1275,178,67,626,77
קרית ביאליק,473,177,115,1703,45
כפר קרע,641,176,88,791,92
כרמיאל,513,173,93,1519,37
כפר קאסם,1298,170,79,542,71
בענה,307,164,117,621,194
ריינה,346,163,72,409,98
טורעאן,254,162,88,449,111
דבוריה,338,162,70,795,154
עין מאהל,503,162,49,199,119
ירכא,667,161,119,926,103
קרית שמונה,322,160,117,1367,72
כסרא-סמיע,275,153,86,515,176
קרית מוצקין,358,151,87,1515,34
יהוד,481,149,106,918,51
אבו סנאן,395,147,69,519,110
רמת השרון,499,143,102,1551,32
נוף הגליל,379,143,71,1041,32
ג'ולס,271,143,65,426,229
גבעתיים,516,141,98,1464,26
רהט,1377,139,43,723,21
דימונה,558,137,78,1072,38
יפיע,390,136,55,371,71
כפר כנא,380,135,81,638,59
אור עקיבא,346,132,46,653,67
אילת,653,131,73,1083,23
פקיעין (בוקייעה),173,128,96,958,217
גדרה,364,120,61,989,48
גן יבנה,448,117,76,843,52
נשר,219,115,65,791,52
מבשרת ציון,305,115,68,1289,50
אכסאל,282,115,56,513,77
כפר יונה,248,110,71,811,48
"בסמ""ה",232,110,34,256,103
בית שאן,373,110,68,395,57
כאבול,205,109,61,579,88
קרית אונו,449,105,65,933,28
יקנעם עילית,231,104,52,725,45
מגאר,239,101,30,481,44
אריאל,213,100,56,657,55
זכרון יעקב,278,95,51,621,43
שבלי - אום אל-גנם,173,94,33,292,146
ג'ת,444,85,56,370,70
אעבלין,188,84,54,426,64
דאלית אל-כרמל,412,82,31,268,48
טירת כרמל,230,80,49,539,35
כפר יאסיף,178,78,26,498,73
שוהם,316,75,44,945,37
