name,coronaOccupancy,normalOccupancy,isolatedTeam
הדסה עין כרם,143.6781609195402,98.65047454833984,98
שערי צדק,135,88.57493591308594,113
קפלן,121.4285714285714,122.7436828613281,67
שיבא,119.35483870967741,86.13924407958984,82
לניאדו,111.42857142857142,90.80780029296875,45
הסקוטי,108,111.3475189208984,18
הדסה הר הצופים,100,78.125,38
שמיר (אסף הרופא),98.38709677419355,60.71829223632813,79
זיו צפת,97.43589743589743,71.75792694091797,40
אסותא אשדוד,96.29629629629629,,35
המשפחה הקדושה,91.66666666666666,,0
רבין ק. בילינסון,89.28571428571429,77.60478973388672,102
נהריה,78.50467289719626,71.92254638671875,78
הכרמל,75,61.14519500732422,51
מעייני הישועה,73.58490566037736,88.17891693115234,35
פוריה,69.56521739130434,56.90140914916992,34
וולפסון,65.71428571428571,61.20058441162109,29
הלל יפה,63.85542168674698,76.89320373535156,104
"רמב""ם",62.06896551724138,81.75257873535156,138
ברזילי,60,68.33333587646484,55
השרון ק. גולדה,57.49999999999999,55.18672180175781,21
מאיר,56.84210526315789,73.5218505859375,59
בני ציון,55.35714285714286,78.75288391113281,58
סורוקה,51.724137931034484,72.19808959960938,59
סנט ג'וזף,51.35135135135135,,0
המרכזי בעמק,50,81.03448486328125,154
סוראסקי,46.05263157894737,92.9974365234375,103
אל מקאסד,39.130434782608695,,0
שניידר,33.33333333333333,,0
סנט וינסנט,16.66666666666667,64.92537689208984,13
אוגוסטה ויקטוריה,2.3809523809523814,,0
יוספטל,0,50.76922988891602,6
האיטלקי,0,,0
אלישע,0,,0
