section,female,male,period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 4, 'percentage': 0}","{'amount': 8, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.1}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 6, 'percentage': 0}",מתחילת קורונה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.3}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 26, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 8, 'percentage': 0.2}","{'amount': 11, 'percentage': 0.3}",שנה
30-39,"{'amount': 40, 'percentage': 0.3}","{'amount': 53, 'percentage': 0.4}",מתחילת קורונה
30-39,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",6 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 2, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.3}",3 חודשים
40-49,"{'amount': 82, 'percentage': 0.7}","{'amount': 126, 'percentage': 1}",מתחילת קורונה
40-49,"{'amount': 17, 'percentage': 0.4}","{'amount': 22, 'percentage': 0.6}",שנה
40-49,"{'amount': 4, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.4}",6 חודשים
50-59,"{'amount': 10, 'percentage': 1}","{'amount': 12, 'percentage': 1.2}",6 חודשים
50-59,"{'amount': 0, 'percentage': 0}","{'amount': 3, 'percentage': 1.8}",חודש אחרון
50-59,"{'amount': 209, 'percentage': 1.7}","{'amount': 404, 'percentage': 3.4}",מתחילת קורונה
50-59,"{'amount': 48, 'percentage': 1.3}","{'amount': 81, 'percentage': 2.1}",שנה
50-59,"{'amount': 4, 'percentage': 1.2}","{'amount': 4, 'percentage': 1.2}",3 חודשים
60-69,"{'amount': 24, 'percentage': 2.4}","{'amount': 42, 'percentage': 4.3}",6 חודשים
60-69,"{'amount': 10, 'percentage': 3}","{'amount': 9, 'percentage': 2.7}",3 חודשים
60-69,"{'amount': 2, 'percentage': 1.2}","{'amount': 2, 'percentage': 1.2}",חודש אחרון
60-69,"{'amount': 133, 'percentage': 3.5}","{'amount': 229, 'percentage': 6}",שנה
60-69,"{'amount': 584, 'percentage': 4.8}","{'amount': 1054, 'percentage': 8.7}",מתחילת קורונה
70-79,"{'amount': 354, 'percentage': 9.3}","{'amount': 506, 'percentage': 13.4}",שנה
70-79,"{'amount': 17, 'percentage': 10.4}","{'amount': 23, 'percentage': 14.1}",חודש אחרון
70-79,"{'amount': 1149, 'percentage': 9.5}","{'amount': 1803, 'percentage': 15}",מתחילת קורונה
70-79,"{'amount': 94, 'percentage': 9.6}","{'amount': 129, 'percentage': 13.1}",6 חודשים
70-79,"{'amount': 35, 'percentage': 10.4}","{'amount': 45, 'percentage': 13.4}",3 חודשים
80-89,"{'amount': 22, 'percentage': 13.5}","{'amount': 42, 'percentage': 25.8}",חודש אחרון
80-89,"{'amount': 681, 'percentage': 18}","{'amount': 732, 'percentage': 19.3}",שנה
80-89,"{'amount': 1954, 'percentage': 16.2}","{'amount': 2142, 'percentage': 17.8}",מתחילת קורונה
80-89,"{'amount': 171, 'percentage': 17.4}","{'amount': 195, 'percentage': 19.9}",6 חודשים
80-89,"{'amount': 54, 'percentage': 16}","{'amount': 74, 'percentage': 22}",3 חודשים
90+,"{'amount': 27, 'percentage': 16.6}","{'amount': 24, 'percentage': 14.7}",חודש אחרון
90+,"{'amount': 503, 'percentage': 13.3}","{'amount': 444, 'percentage': 11.7}",שנה
90+,"{'amount': 1339, 'percentage': 11.1}","{'amount': 1037, 'percentage': 8.6}",מתחילת קורונה
90+,"{'amount': 162, 'percentage': 16.5}","{'amount': 132, 'percentage': 13.4}",6 חודשים
90+,"{'amount': 49, 'percentage': 14.5}","{'amount': 49, 'percentage': 14.5}",3 חודשים
