day_date,age_group,death_amount_vaccinated,death_amount_expired,death_amount_not_vaccinated,death_vaccinated_normalized,death_expired_normalized,death_not_vaccinated_normalized
2021-01-17T00:00:00.000Z,כלל האוכלוסיה,0,0,30,0,,0.4
2021-01-17T00:00:00.000Z,מעל גיל 60,0,0,25,,,5.4
2021-01-17T00:00:00.000Z,מתחת לגיל 60,0,0,5,0,,0.1
2021-01-18T00:00:00.000Z,כלל האוכלוסיה,0,0,25,0,,0.3
2021-01-18T00:00:00.000Z,מעל גיל 60,0,0,17,0,,3.7
2021-01-18T00:00:00.000Z,מתחת לגיל 60,0,0,8,0,,0.1
2021-01-19T00:00:00.000Z,מעל גיל 60,0,0,21,0,,4.7
2021-01-19T00:00:00.000Z,כלל האוכלוסיה,0,0,22,0,,0.3
2021-01-19T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-01-20T00:00:00.000Z,מעל גיל 60,0,0,34,0,,7.7
2021-01-20T00:00:00.000Z,כלל האוכלוסיה,0,0,36,0,,0.5
2021-01-20T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-01-21T00:00:00.000Z,כלל האוכלוסיה,0,0,29,0,,0.4
2021-01-21T00:00:00.000Z,מעל גיל 60,0,0,27,0,,6.2
2021-01-21T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-01-22T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-01-22T00:00:00.000Z,מעל גיל 60,0,0,37,0,,8.5
2021-01-22T00:00:00.000Z,כלל האוכלוסיה,0,0,39,0,,0.6
2021-01-23T00:00:00.000Z,מעל גיל 60,0,0,26,0,,6
2021-01-23T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-01-23T00:00:00.000Z,כלל האוכלוסיה,0,0,30,0,,0.4
2021-01-24T00:00:00.000Z,מעל גיל 60,0,0,31,0,,7.3
2021-01-24T00:00:00.000Z,כלל האוכלוסיה,0,0,35,0,,0.5
2021-01-24T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-01-25T00:00:00.000Z,מעל גיל 60,1,0,34,0.3,,8.2
2021-01-25T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-01-25T00:00:00.000Z,כלל האוכלוסיה,1,0,38,0.2,,0.6
2021-01-26T00:00:00.000Z,מתחת לגיל 60,0,0,5,0,,0.1
2021-01-26T00:00:00.000Z,מעל גיל 60,0,0,26,0,,6.3
2021-01-26T00:00:00.000Z,כלל האוכלוסיה,0,0,31,0,,0.5
2021-01-27T00:00:00.000Z,מעל גיל 60,0,0,31,0,,7.7
2021-01-27T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-01-27T00:00:00.000Z,כלל האוכלוסיה,0,0,33,0,,0.5
2021-01-28T00:00:00.000Z,מעל גיל 60,0,0,27,0,,6.8
2021-01-28T00:00:00.000Z,כלל האוכלוסיה,0,0,28,0,,0.4
2021-01-28T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-01-29T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-01-29T00:00:00.000Z,כלל האוכלוסיה,1,0,30,0.1,,0.5
2021-01-29T00:00:00.000Z,מעל גיל 60,1,0,26,0.2,,6.6
2021-01-30T00:00:00.000Z,מתחת לגיל 60,0,0,5,0,,0.1
2021-01-30T00:00:00.000Z,כלל האוכלוסיה,0,0,17,0,,0.3
2021-01-30T00:00:00.000Z,מעל גיל 60,0,0,12,0,,3
2021-01-31T00:00:00.000Z,כלל האוכלוסיה,2,0,23,0.2,,0.4
2021-01-31T00:00:00.000Z,מעל גיל 60,2,0,22,0.3,,5.6
2021-01-31T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-02-01T00:00:00.000Z,כלל האוכלוסיה,0,0,20,0,,0.3
2021-02-01T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-02-01T00:00:00.000Z,מעל גיל 60,0,0,19,0,,4.9
2021-02-02T00:00:00.000Z,מתחת לגיל 60,0,0,5,0,,0.1
