rn,title,shortTitle,secondaryTitle,imageSrc,url,description,dividerColor,sortOrder,linkUpdatedFromDate,groupID,groupTitle,groupShortTitle,groupMainUrl,displayInMenu,isPublic,onlyForMobile,onlyForDesktop,section,shortUrl
11,טבלת האוכלוסייה הצעירה,,,,https://data.gov.il/dataset/covid-19/resource/767ffb4e-a473-490d-be80-faac0d83cae7,מספר הבדיקות והמאומתים ברמה השבועית בקטגוריות של גיל ומחוז,#3564cc,1,2021-05-05T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
5,מפת צבע רמזור,מפת צבע רמזור,ליישובים בישראל,./assets/images/map_sample1.jpg,https://experience.arcgis.com/experience/21be4a670f5d4988a834b3fa6304ba1d,,,1,2021-08-09T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,,
4,דו״ח 1,דו״ח 1 - אשפוז,נובמבר 2020,./assets/images/report_turquoise.jpg,assets/other/hayadata_report1.pdf,בחינת משך ימי אשפוז חולי קורונה כגורם תורם לעומס בבתי החולים,,1,2020-11-01T00:00:00.000Z,1,דוחות הֲיָ-DATA,הי-DATA,,True,True,False,False,,
10,טבלת הישובים,,,,https://data.gov.il/dataset/covid-19/resource/8a21d39d-91e3-40db-aca1-f73f7ab1df69,"נתוני מאומתים, מחלימים, נפטרים, מספר בדיקות וציוני הרמזור ברמת הישוב והיום.",#007f7f,2,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
3,דו״ח 2,דו״ח 2 - חולים במצב קשה,ינואר 2021,./assets/images/report_lightblue.jpg,assets/other/hayadata_report2.pdf,מאושפזי קורונה במצב קשה: גורמי סיכון ומאפיינים,,2,2021-01-01T00:00:00.000Z,1,דוחות הֲיָ-DATA,הי-DATA,,True,True,False,False,,
9,טבלת גילאי המתחסנים,,,,https://data.gov.il/dataset/covid-19/resource/57410611-936c-49a6-ac3c-838171055b1f,מספר המתחסנים במנה ראשונה ומנה שניה ברמת היום בקטגוריות של קבוצות גיל.,#9777de,3,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
7,התחסנות לקורונה,דשבורד מפת התחסנות לקורונה,לפי יישובים,./assets/images/map_sample3.jpg,https://experience.arcgis.com/experience/bd52287cce7d48a2ba138240ec724b3e?locale=he,,,3,2021-08-09T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,,
13,בדיקות מהירות,בדיקות מהירות בפריסה ארצית,בפריסה ארצית,./assets/images/map_sample5.jpg,https://giscovidtests.health.gov.il/map,,,4,2021-09-13T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,,
12,סיווגי מדינות,צבעי המדינות בעולם,צבעי המדינות בעולם,./assets/images/map_sample4.jpg,https://experience.arcgis.com/experience/23d35bf0ccbc40d1ad5b5af92b967c95,,,4,2021-09-13T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,,
8,טבלת המאושפזים,,,,https://data.gov.il/dataset/covid-19/resource/e4bf0ab8-ec88-4f9b-8669-f2cc78273edd,מידע על המאושפזים בשל קורונה ברמה יומית ועל פי המצב הקליני,#0faad8,4,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
2,טבלת אימותים לאחר חיסון,,,,https://data.gov.il/dataset/covid-19/resource/9b623a64-f7df-4d0c-9f57-09bd99a88880,"מספר המחוסנים שאומתו לקורונה לאחר החיסון, בקטגוריות של קבוצות גיל ועל פני הזמן.",#3564cc,5,2021-05-05T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
6,בידודים פעילים,בידודים פעילים לפי רשויות וקבוצות גיל,לפי רשויות וקבוצות גיל,./assets/images/map_sample2.jpg,https://experience.arcgis.com/experience/8a4709f34a814e16a15f1da6847fe9a3,,,6,2022-01-02T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,,
1,טבלת האזורים הסטטיסטיים,,,,https://data.gov.il/dataset/covid-19/resource/d07c0771-01a8-43b2-96cc-c6154e7fa9bd,"מספרי מאומתים, מחלימים, מאושפזים, נפטרים ומחוסנים ברמת היום והאזור הסטטיסטי",#007f7f,6,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
