day_date,flue_vaccinations_amount_cum
2021-07-01T00:00:00.000Z,3156
2021-07-02T00:00:00.000Z,3519
2021-07-03T00:00:00.000Z,3585
2021-07-04T00:00:00.000Z,7813
2021-07-05T00:00:00.000Z,11744
2021-07-06T00:00:00.000Z,15852
2021-07-07T00:00:00.000Z,19678
2021-07-08T00:00:00.000Z,23160
2021-07-09T00:00:00.000Z,23558
2021-07-10T00:00:00.000Z,23636
2021-07-11T00:00:00.000Z,28002
2021-07-12T00:00:00.000Z,32226
2021-07-13T00:00:00.000Z,36405
2021-07-14T00:00:00.000Z,40245
2021-07-15T00:00:00.000Z,43798
2021-07-16T00:00:00.000Z,44202
2021-07-17T00:00:00.000Z,44278
2021-07-18T00:00:00.000Z,46563
2021-07-19T00:00:00.000Z,50407
2021-07-20T00:00:00.000Z,53529
2021-07-21T00:00:00.000Z,56287
2021-07-22T00:00:00.000Z,58814
2021-07-23T00:00:00.000Z,59097
2021-07-24T00:00:00.000Z,59180
2021-07-25T00:00:00.000Z,63385
2021-07-26T00:00:00.000Z,67931
2021-07-27T00:00:00.000Z,71674
2021-07-28T00:00:00.000Z,75252
2021-07-29T00:00:00.000Z,78414
2021-07-30T00:00:00.000Z,78730
2021-07-31T00:00:00.000Z,78830
2021-08-01T00:00:00.000Z,82677
2021-08-02T00:00:00.000Z,86234
2021-08-03T00:00:00.000Z,89646
2021-08-04T00:00:00.000Z,92817
2021-08-05T00:00:00.000Z,95637
2021-08-06T00:00:00.000Z,95941
2021-08-07T00:00:00.000Z,96011
2021-08-08T00:00:00.000Z,100161
2021-08-09T00:00:00.000Z,104059
2021-08-10T00:00:00.000Z,107865
2021-08-11T00:00:00.000Z,111642
2021-08-12T00:00:00.000Z,114858
2021-08-13T00:00:00.000Z,115222
2021-08-14T00:00:00.000Z,115303
2021-08-15T00:00:00.000Z,119249
2021-08-16T00:00:00.000Z,123449
2021-08-17T00:00:00.000Z,127686
2021-08-18T00:00:00.000Z,131372
2021-08-19T00:00:00.000Z,134383
2021-08-20T00:00:00.000Z,134678
2021-08-21T00:00:00.000Z,134775
2021-08-22T00:00:00.000Z,138630
2021-08-23T00:00:00.000Z,142661
2021-08-24T00:00:00.000Z,146274
2021-08-25T00:00:00.000Z,149554
2021-08-26T00:00:00.000Z,152372
2021-08-27T00:00:00.000Z,152740
2021-08-28T00:00:00.000Z,152849
2021-08-29T00:00:00.000Z,156716
2021-08-30T00:00:00.000Z,160380
2021-08-31T00:00:00.000Z,163468
2021-09-01T00:00:00.000Z,166201
2021-09-02T00:00:00.000Z,169389
2021-09-03T00:00:00.000Z,169837
2021-09-04T00:00:00.000Z,169913
2021-09-05T00:00:00.000Z,173776
2021-09-06T00:00:00.000Z,174415
2021-09-07T00:00:00.000Z,175010
2021-09-08T00:00:00.000Z,175534
2021-09-09T00:00:00.000Z,179406
2021-09-10T00:00:00.000Z,179991
2021-09-11T00:00:00.000Z,180175
2021-09-12T00:00:00.000Z,189544
2021-09-13T00:00:00.000Z,203104
2021-09-14T00:00:00.000Z,219868
2021-09-15T00:00:00.000Z,226340
2021-09-16T00:00:00.000Z,227703
2021-09-17T00:00:00.000Z,233887
2021-09-18T00:00:00.000Z,235187
2021-09-19T00:00:00.000Z,259331
2021-09-20T00:00:00.000Z,270296
2021-09-21T00:00:00.000Z,272975
2021-09-22T00:00:00.000Z,288100
2021-09-23T00:00:00.000Z,306978
2021-09-24T00:00:00.000Z,315567
2021-09-25T00:00:00.000Z,317498
2021-09-26T00:00:00.000Z,341215
2021-09-27T00:00:00.000Z,356680
2021-09-28T00:00:00.000Z,359845
2021-09-29T00:00:00.000Z,391279
2021-09-30T00:00:00.000Z,425408
2021-10-01T00:00:00.000Z,436936
2021-10-02T00:00:00.000Z,439555
2021-10-03T00:00:00.000Z,484040
2021-10-04T00:00:00.000Z,523871
2021-10-05T00:00:00.000Z,565346
2021-10-06T00:00:00.000Z,601308
2021-10-07T00:00:00.000Z,643463
2021-10-08T00:00:00.000Z,659161
2021-10-09T00:00:00.000Z,661867
2021-10-10T00:00:00.000Z,711263
2021-10-11T00:00:00.000Z,751785
2021-10-12T00:00:00.000Z,793276
2021-10-13T00:00:00.000Z,826384
2021-10-14T00:00:00.000Z,862492
2021-10-15T00:00:00.000Z,874799
2021-10-16T00:00:00.000Z,876595
2021-10-17T00:00:00.000Z,917495
2021-10-18T00:00:00.000Z,949611
2021-10-19T00:00:00.000Z,982567
2021-10-20T00:00:00.000Z,1010233
2021-10-21T00:00:00.000Z,1040945
2021-10-22T00:00:00.000Z,1049854
2021-10-23T00:00:00.000Z,1051222
2021-10-24T00:00:00.000Z,1084167
2021-10-25T00:00:00.000Z,1112155
2021-10-26T00:00:00.000Z,1140248
2021-10-27T00:00:00.000Z,1162126
2021-10-28T00:00:00.000Z,1179682
2021-10-29T00:00:00.000Z,1183811
2021-10-30T00:00:00.000Z,1184820
2021-10-31T00:00:00.000Z,1205922
2021-11-01T00:00:00.000Z,1224750
2021-11-02T00:00:00.000Z,1244121
2021-11-03T00:00:00.000Z,1260602
2021-11-04T00:00:00.000Z,1277804
2021-11-05T00:00:00.000Z,1282264
2021-11-06T00:00:00.000Z,1283270
2021-11-07T00:00:00.000Z,1300389
2021-11-08T00:00:00.000Z,1314668
2021-11-09T00:00:00.000Z,1331099
2021-11-10T00:00:00.000Z,1346546
2021-11-11T00:00:00.000Z,1363105
2021-11-12T00:00:00.000Z,1367029
2021-11-13T00:00:00.000Z,1368058
2021-11-14T00:00:00.000Z,1386877
2021-11-15T00:00:00.000Z,1402581
2021-11-16T00:00:00.000Z,1418373
2021-11-17T00:00:00.000Z,1432418
2021-11-18T00:00:00.000Z,1446507
2021-11-19T00:00:00.000Z,1449914
2021-11-20T00:00:00.000Z,1450510
2021-11-21T00:00:00.000Z,1466552
2021-11-22T00:00:00.000Z,1480930
2021-11-23T00:00:00.000Z,1495028
2021-11-24T00:00:00.000Z,1507966
2021-11-25T00:00:00.000Z,1521136
2021-11-26T00:00:00.000Z,1524164
2021-11-27T00:00:00.000Z,1525364
2021-11-28T00:00:00.000Z,1537098
2021-11-29T00:00:00.000Z,1547210
2021-11-30T00:00:00.000Z,1556234
2021-12-01T00:00:00.000Z,1564875
2021-12-02T00:00:00.000Z,1573709
2021-12-03T00:00:00.000Z,1576316
2021-12-04T00:00:00.000Z,1577026
2021-12-05T00:00:00.000Z,1587308
2021-12-06T00:00:00.000Z,1596240
2021-12-07T00:00:00.000Z,1605739
2021-12-08T00:00:00.000Z,1614290
2021-12-09T00:00:00.000Z,1623369
2021-12-10T00:00:00.000Z,1625339
2021-12-11T00:00:00.000Z,1625745
2021-12-12T00:00:00.000Z,1637193
2021-12-13T00:00:00.000Z,1647326
2021-12-14T00:00:00.000Z,1656550
2021-12-15T00:00:00.000Z,1662563
2021-12-16T00:00:00.000Z,1673178
2021-12-17T00:00:00.000Z,1675669
2021-12-18T00:00:00.000Z,1676297
2021-12-19T00:00:00.000Z,1689252
2021-12-20T00:00:00.000Z,1696980
2021-12-21T00:00:00.000Z,1705540
2021-12-22T00:00:00.000Z,1712908
2021-12-23T00:00:00.000Z,1721622
2021-12-24T00:00:00.000Z,1724563
2021-12-25T00:00:00.000Z,1725314
2021-12-26T00:00:00.000Z,1736962
2021-12-27T00:00:00.000Z,1746310
2021-12-28T00:00:00.000Z,1755372
2021-12-29T00:00:00.000Z,1762980
2021-12-30T00:00:00.000Z,1771664
2021-12-31T00:00:00.000Z,1773756
2022-01-01T00:00:00.000Z,1774183
2022-01-02T00:00:00.000Z,1783722
2022-01-03T00:00:00.000Z,1791537
2022-01-04T00:00:00.000Z,1799444
2022-01-05T00:00:00.000Z,1806149
2022-01-06T00:00:00.000Z,1813054
2022-01-07T00:00:00.000Z,1814703
2022-01-08T00:00:00.000Z,1814974
2022-01-09T00:00:00.000Z,1822459
2022-01-10T00:00:00.000Z,1829096
2022-01-11T00:00:00.000Z,1835012
2022-01-12T00:00:00.000Z,1839949
2022-01-13T00:00:00.000Z,1845016
2022-01-14T00:00:00.000Z,1845977
2022-01-15T00:00:00.000Z,1846213
2022-01-16T00:00:00.000Z,1850672
2022-01-17T00:00:00.000Z,1855157
2022-01-18T00:00:00.000Z,1859586
2022-01-19T00:00:00.000Z,1863411
2022-01-20T00:00:00.000Z,1867226
2022-01-21T00:00:00.000Z,1867847
2022-01-22T00:00:00.000Z,1867971
2022-01-23T00:00:00.000Z,1873002
2022-01-24T00:00:00.000Z,1877563
2022-01-25T00:00:00.000Z,1883325
2022-01-26T00:00:00.000Z,1887699
2022-01-27T00:00:00.000Z,1891434
2022-01-28T00:00:00.000Z,1892175
2022-01-29T00:00:00.000Z,1892293
2022-01-30T00:00:00.000Z,1898593
2022-01-31T00:00:00.000Z,1904218
2022-02-01T00:00:00.000Z,1908830
2022-02-02T00:00:00.000Z,1913373
2022-02-03T00:00:00.000Z,1917833
2022-02-04T00:00:00.000Z,1918451
2022-02-05T00:00:00.000Z,1918555
2022-02-06T00:00:00.000Z,1924163
2022-02-07T00:00:00.000Z,1929652
2022-02-08T00:00:00.000Z,1934874
2022-02-09T00:00:00.000Z,1939529
2022-02-10T00:00:00.000Z,1943688
2022-02-11T00:00:00.000Z,1944191
2022-02-12T00:00:00.000Z,1944267
2022-02-13T00:00:00.000Z,1948802
2022-02-14T00:00:00.000Z,1954491
2022-02-15T00:00:00.000Z,1959459
2022-02-16T00:00:00.000Z,1964582
2022-02-17T00:00:00.000Z,1969296
2022-02-18T00:00:00.000Z,1969842
2022-02-19T00:00:00.000Z,1969925
2022-02-20T00:00:00.000Z,1975269
2022-02-21T00:00:00.000Z,1980725
2022-02-22T00:00:00.000Z,1985793
2022-02-23T00:00:00.000Z,1990802
2022-02-24T00:00:00.000Z,1995737
2022-02-25T00:00:00.000Z,1996160
2022-02-26T00:00:00.000Z,1996220
2022-02-27T00:00:00.000Z,2001302
2022-02-28T00:00:00.000Z,2005969
2022-03-01T00:00:00.000Z,2010530
2022-03-02T00:00:00.000Z,2015192
2022-03-03T00:00:00.000Z,2019528
2022-03-04T00:00:00.000Z,2020112
2022-03-05T00:00:00.000Z,2020208
2022-03-06T00:00:00.000Z,2025311
2022-03-07T00:00:00.000Z,2030977
2022-03-08T00:00:00.000Z,2037131
2022-03-09T00:00:00.000Z,2043714
2022-03-10T00:00:00.000Z,2049758
2022-03-11T00:00:00.000Z,2050477
2022-03-12T00:00:00.000Z,2050564
2022-03-13T00:00:00.000Z,2056810
2022-03-14T00:00:00.000Z,2061675
2022-03-15T00:00:00.000Z,2065160
2022-03-16T00:00:00.000Z,2069364
2022-03-17T00:00:00.000Z,2071831
2022-03-18T00:00:00.000Z,2072211
2022-03-19T00:00:00.000Z,2072275
2022-03-20T00:00:00.000Z,2077768
2022-03-21T00:00:00.000Z,2083610
2022-03-22T00:00:00.000Z,2088725
2022-03-23T00:00:00.000Z,2093816
2022-03-24T00:00:00.000Z,2097985
2022-03-25T00:00:00.000Z,2098471
2022-03-26T00:00:00.000Z,2098536
2022-03-27T00:00:00.000Z,2104169
2022-03-28T00:00:00.000Z,2109608
2022-03-29T00:00:00.000Z,2114659
2022-03-30T00:00:00.000Z,2119316
2022-03-31T00:00:00.000Z,2124267
2022-04-01T00:00:00.000Z,2124778
2022-04-02T00:00:00.000Z,2124835
2022-04-03T00:00:00.000Z,2129650
2022-04-04T00:00:00.000Z,2134586
2022-04-05T00:00:00.000Z,2139305
2022-04-06T00:00:00.000Z,2143881
2022-04-07T00:00:00.000Z,2148661
2022-04-08T00:00:00.000Z,2149424
2022-04-09T00:00:00.000Z,2149462
2022-04-10T00:00:00.000Z,2154544
2022-04-11T00:00:00.000Z,2159652
2022-04-12T00:00:00.000Z,2164176
2022-04-13T00:00:00.000Z,2168316
2022-04-14T00:00:00.000Z,2171318
2022-04-15T00:00:00.000Z,2171479
2022-04-16T00:00:00.000Z,2171500
2022-04-17T00:00:00.000Z,2171792
2022-04-18T00:00:00.000Z,2172068
2022-04-19T00:00:00.000Z,2172386
2022-04-20T00:00:00.000Z,2172720
2022-04-21T00:00:00.000Z,2172868
2022-04-22T00:00:00.000Z,2172871
