date,day,hosp no vacc,hosp in process,hosp vacc,severe no vacc,severe in process,severe vacc,deaths no vacc,deaths in process,deaths vacc,vent 60+,vent 40-60,vent <40,severe 60+,severe 40-60,severe   <40,severe vacc 60+,severe vacc 40-60,severe   vacc <40,deaths 60+,deaths 40-60,deaths   <40,deaths vacc 60+,deaths vacc 40-60,deaths   vacc <40,cases no vacc,cases in process,cases vacc,cases 50+,cases 16-50,cases <16,cases
06/07/2021,Mon,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
06/08/2021,Tue,2,0,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,
06/09/2021,Wed,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3,1,2,,,,
06/10/2021,Thu,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,10,,,,
06/11/2021,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,8,,,,
06/12/2021,Sat,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,3,,,,
06/13/2021,Sun,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,,,,
06/14/2021,Mon,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,1,14,,,,
06/15/2021,Tue,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,16,,,,
06/16/2021,Wed,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,8,,,,
06/17/2021,Thu,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,,,,
06/18/2021,Fri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,22,,,,
06/19/2021,Sat,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,39,,,,
06/20/2021,Sun,6,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20,4,25,,,,
