name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,101.5189895629883,8
יוספטל,,60,1
שמיר,,62.62626266479492,14
וולפסון,,63.68960571289063,4
זיו צפת,,74.06340026855469,17
הלל יפה,,84.8543701171875,6
נהריה,,82.01936340332031,10
ברזילי,,75.83333587646484,6
פוריה,,62.81690216064453,14
סוראסקי,,102.7327041625977,12
בני ציון,,85.45034790039062,7
רבין ק. בילינסון,,94.61077880859375,4
סורוקה,,73.67506408691406,13
מאיר,,76.60668182373047,19
קפלן,,88.26715087890625,10
"רמב""ם",,91.85566711425781,37
הכרמל,,76.68711853027344,13
השרון ק. גולדה,,62.65560150146484,5
הדסה עין כרם,,105.0264587402344,31
הסקוטי,,91.72932434082031,8
המשפחה הקדושה,,,0
סנט ג'וזף,,,1
שערי צדק,,96.43734741210938,18
אל מקאסד,,,0
לניאדו,,81.6156005859375,1
אוגוסטה ויקטוריה,,,3
מעייני הישועה,,92.01277923583984,1
אסותא אשדוד,,,2
שניידר,,,0
סנט וינסנט,,57.46268844604492,5
המרכזי בעמק,,73.96551513671875,20
