dayDate,countHardStatus,countMediumStatus,countEasyStatus
2020-03-02T00:00:00.000Z,0,0,10
2020-03-03T00:00:00.000Z,0,0,10
2020-03-04T00:00:00.000Z,0,0,12
2020-03-05T00:00:00.000Z,1,0,12
2020-03-06T00:00:00.000Z,2,0,14
2020-03-07T00:00:00.000Z,3,0,16
2020-03-08T00:00:00.000Z,5,0,21
2020-03-09T00:00:00.000Z,5,0,35
2020-03-10T00:00:00.000Z,6,0,55
2020-03-11T00:00:00.000Z,7,1,76
2020-03-12T00:00:00.000Z,7,1,99
2020-03-13T00:00:00.000Z,7,5,114
2020-03-14T00:00:00.000Z,6,5,155
2020-03-15T00:00:00.000Z,9,7,189
2020-03-16T00:00:00.000Z,11,6,207
2020-03-17T00:00:00.000Z,12,7,240
2020-03-18T00:00:00.000Z,16,12,284
2020-03-19T00:00:00.000Z,21,12,267
2020-03-20T00:00:00.000Z,23,15,255
2020-03-21T00:00:00.000Z,27,22,235
2020-03-22T00:00:00.000Z,38,33,262
2020-03-23T00:00:00.000Z,44,37,282
2020-03-24T00:00:00.000Z,48,49,311
2020-03-25T00:00:00.000Z,52,54,322
2020-03-26T00:00:00.000Z,56,67,361
2020-03-27T00:00:00.000Z,66,71,395
2020-03-28T00:00:00.000Z,70,83,375
2020-03-29T00:00:00.000Z,80,88,389
2020-03-30T00:00:00.000Z,90,105,439
2020-03-31T00:00:00.000Z,98,115,471
2020-04-01T00:00:00.000Z,111,143,519
2020-04-02T00:00:00.000Z,113,145,560
2020-04-03T00:00:00.000Z,131,159,526
2020-04-04T00:00:00.000Z,140,170,480
2020-04-05T00:00:00.000Z,135,193,498
2020-04-06T00:00:00.000Z,147,208,452
2020-04-07T00:00:00.000Z,160,204,385
2020-04-08T00:00:00.000Z,166,196,335
2020-04-09T00:00:00.000Z,166,189,316
2020-04-10T00:00:00.000Z,170,173,333
2020-04-11T00:00:00.000Z,182,163,286
2020-04-12T00:00:00.000Z,177,175,322
2020-04-13T00:00:00.000Z,192,169,339
2020-04-14T00:00:00.000Z,178,173,338
2020-04-15T00:00:00.000Z,179,175,342
2020-04-16T00:00:00.000Z,182,163,362
2020-04-17T00:00:00.000Z,165,163,344
2020-04-18T00:00:00.000Z,174,141,328
2020-04-19T00:00:00.000Z,157,148,324
2020-04-20T00:00:00.000Z,154,135,317
2020-04-21T00:00:00.000Z,145,146,262
2020-04-22T00:00:00.000Z,149,122,259
2020-04-23T00:00:00.000Z,146,106,248
2020-04-24T00:00:00.000Z,144,109,216
2020-04-25T00:00:00.000Z,136,105,201
2020-04-26T00:00:00.000Z,142,91,205
2020-04-27T00:00:00.000Z,132,89,194
2020-04-28T00:00:00.000Z,127,85,183
2020-04-29T00:00:00.000Z,122,86,175
2020-04-30T00:00:00.000Z,112,87,179
2020-05-01T00:00:00.000Z,109,81,156
2020-05-02T00:00:00.000Z,111,67,160
2020-05-03T00:00:00.000Z,101,71,155
2020-05-04T00:00:00.000Z,97,71,141
2020-05-05T00:00:00.000Z,91,61,120
2020-05-06T00:00:00.000Z,88,61,119
2020-05-07T00:00:00.000Z,84,60,112
2020-05-08T00:00:00.000Z,78,53,113
2020-05-09T00:00:00.000Z,78,50,120
