gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,שנה,315735,9.4,4,0.1,22,1,74,0.7,2047,5.1
זכר,0-9,6 חודשים,40293,5.2,0,0,5,0.7,19,0.5,647,3.9
זכר,0-9,3 חודשים,16517,4.6,0,0,4,0.9,8,0.3,440,4
זכר,0-9,מתחילת קורונה,441810,9.6,7,0.1,34,0.5,124,0.4,3284,3.7
זכר,0-9,חודש אחרון,817,2.8,0,0,1,1,0,0,43,2.8
נקבה,0-9,6 חודשים,34049,4.4,0,0,1,0.1,12,0.3,516,3.1
נקבה,0-9,שנה,253762,7.5,2,0,10,0.4,49,0.4,1655,4.1
נקבה,0-9,3 חודשים,14526,4.1,0,0,1,0.2,9,0.3,333,3
נקבה,0-9,מתחילת קורונה,363345,7.9,5,0,17,0.3,78,0.2,2663,3
נקבה,0-9,חודש אחרון,1124,3.8,0,0,0,0,1,0.4,37,2.4
זכר,10-19,3 חודשים,12557,3.5,0,0,1,0.2,4,0.2,104,0.9
זכר,10-19,6 חודשים,34043,4.4,0,0,1,0.1,5,0.1,145,0.9
זכר,10-19,שנה,300276,8.9,5,0.1,16,0.7,38,0.3,520,1.3
זכר,10-19,חודש אחרון,1023,3.5,0,0,0,0,0,0,9,0.6
זכר,10-19,מתחילת קורונה,439561,9.5,7,0.1,25,0.4,82,0.3,1083,1.2
נקבה,10-19,שנה,301848,9,4,0.1,13,0.6,27,0.2,561,1.4
נקבה,10-19,6 חודשים,35385,4.6,1,0.1,2,0.3,6,0.2,166,1
נקבה,10-19,3 חודשים,13586,3.8,0,0,0,0,3,0.1,98,0.9
נקבה,10-19,מתחילת קורונה,430113,9.3,8,0.1,23,0.4,81,0.3,1218,1.4
נקבה,10-19,חודש אחרון,1564,5.3,0,0,0,0,0,0,12,0.8
זכר,20-29,3 חודשים,15984,4.5,1,0.1,3,0.7,7,0.3,124,1.1
זכר,20-29,6 חודשים,34708,4.5,2,0.2,5,0.7,13,0.3,200,1.2
זכר,20-29,שנה,172362,5.1,4,0.1,22,1,62,0.5,582,1.4
זכר,20-29,מתחילת קורונה,268953,5.8,25,0.2,57,0.9,251,0.8,1673,1.9
זכר,20-29,חודש אחרון,882,3,0,0,1,1,2,0.7,13,0.9
נקבה,20-29,3 חודשים,21910,6.2,0,0,6,1.4,13,0.5,433,3.9
נקבה,20-29,6 חודשים,49002,6.3,0,0,6,0.8,15,0.4,697,4.2
נקבה,20-29,שנה,265340,7.9,7,0.2,22,1,71,0.6,2486,6.2
נקבה,20-29,מתחילת קורונה,381490,8.3,22,0.2,62,1,284,0.9,5416,6.1
נקבה,20-29,חודש אחרון,1543,5.3,0,0,0,0,4,1.4,33,2.2
זכר,30-39,חודש אחרון,1211,4.1,0,0,1,1,2,0.7,20,1.3
זכר,30-39,6 חודשים,45147,5.8,2,0.2,11,1.5,24,0.6,268,1.6
זכר,30-39,שנה,191655,5.7,15,0.4,40,1.8,130,1.2,770,1.9
זכר,30-39,3 חודשים,19983,5.6,0,0,2,0.5,13,0.5,161,1.5
זכר,30-39,מתחילת קורונה,269238,5.8,53,0.5,106,1.6,643,2,2360,2.7
נקבה,30-39,שנה,292405,8.7,11,0.3,34,1.5,127,1.1,2478,6.1
נקבה,30-39,6 חודשים,62319,8,4,0.3,16,2.2,22,0.6,767,4.6
נקבה,30-39,3 חודשים,27310,7.7,2,0.3,8,1.9,8,0.3,454,4.1
נקבה,30-39,מתחילת קורונה,388815,8.4,40,0.3,113,1.7,600,1.9,5490,6.2
נקבה,30-39,חודש אחרון,2015,6.9,0,0,2,1.9,2,0.7,38,2.5
זכר,40-49,3 חודשים,19042,5.4,4,0.6,8,1.9,27,1,217,2
זכר,40-49,6 חודשים,43308,5.6,6,0.5,15,2.1,44,1.1,339,2
זכר,40-49,שנה,179500,5.3,43,1.1,87,3.8,283,2.5,1044,2.6
זכר,40-49,מתחילת קורונה,243771,5.3,125,1.1,270,4.2,1433,4.5,3736,4.2
זכר,40-49,חודש אחרון,1265,4.3,0,0,2,1.9,0,0,24,1.6
נקבה,40-49,שנה,270402,8,25,0.6,44,1.9,194,1.7,1177,2.9
נקבה,40-49,6 חודשים,63457,8.2,5,0.4,10,1.4,31,0.8,355,2.1
נקבה,40-49,מתחילת קורונה,350014,7.6,80,0.7,143,2.2,983,3.1,3705,4.2
נקבה,40-49,3 חודשים,27752,7.8,4,0.6,5,1.2,21,0.8,218,2
נקבה,40-49,חודש אחרון,2381,8.1,0,0,1,1,1,0.4,23,1.5
זכר,50-59,שנה,127083,3.8,118,2.9,176,7.8,517,4.6,1636,4.1
זכר,50-59,6 חודשים,37894,4.9,22,1.9,43,5.9,113,2.9,604,3.6
זכר,50-59,3 חודשים,17410,4.9,10,1.4,22,5.2,71,2.7,365,3.3
זכר,50-59,מתחילת קורונה,171312,3.7,400,3.4,566,8.7,2301,7.2,5175,5.9
