date,active_isolations,new_daily_isolations,new_isolations_return_abroad,new_isolations_contact_verified,new_isolations_other_reason
2020-02-12T00:00:00.000Z,273,145,145,0,0
2020-02-13T00:00:00.000Z,300,46,46,0,0
2020-02-14T00:00:00.000Z,320,35,35,0,0
2020-02-15T00:00:00.000Z,348,43,43,0,0
2020-02-16T00:00:00.000Z,498,166,166,0,0
2020-02-17T00:00:00.000Z,740,252,252,0,0
2020-02-18T00:00:00.000Z,1058,327,323,0,0
2020-02-19T00:00:00.000Z,1452,406,404,0,0
2020-02-20T00:00:00.000Z,1994,563,541,0,1
2020-02-21T00:00:00.000Z,2547,566,566,0,0
2020-02-22T00:00:00.000Z,3132,597,596,0,1
2020-02-23T00:00:00.000Z,4336,1245,1057,5,141
2020-02-24T00:00:00.000Z,5846,1543,1518,3,22
2020-02-25T00:00:00.000Z,7026,1334,1322,0,12
2020-02-26T00:00:00.000Z,8288,1364,1352,2,6
2020-02-27T00:00:00.000Z,9965,1729,1702,24,2
2020-02-28T00:00:00.000Z,12092,2257,2013,240,1
2020-02-29T00:00:00.000Z,13919,2048,1844,204,0
2020-03-01T00:00:00.000Z,16058,2482,2340,126,4
2020-03-02T00:00:00.000Z,18904,3231,3230,1,0
2020-03-03T00:00:00.000Z,20900,2522,2195,327,0
2020-03-04T00:00:00.000Z,22795,2618,1723,895,0
2020-03-05T00:00:00.000Z,24578,2293,1904,387,2
2020-03-06T00:00:00.000Z,25856,2114,1881,230,3
2020-03-07T00:00:00.000Z,26494,2106,1984,122,0
2020-03-08T00:00:00.000Z,26475,2454,2043,409,2
2020-03-09T00:00:00.000Z,28090,3477,2777,700,0
2020-03-10T00:00:00.000Z,32570,6610,4407,2203,0
2020-03-11T00:00:00.000Z,36775,6621,4473,2148,0
2020-03-12T00:00:00.000Z,41828,6951,4584,2367,0
2020-03-13T00:00:00.000Z,44627,5200,3641,1559,0
2020-03-14T00:00:00.000Z,45314,3967,2395,1572,0
2020-03-15T00:00:00.000Z,49391,9446,4027,5418,0
2020-03-16T00:00:00.000Z,53707,7369,4239,3130,0
2020-03-17T00:00:00.000Z,59436,9606,3899,5707,0
2020-03-18T00:00:00.000Z,63816,9222,2838,6384,0
2020-03-19T00:00:00.000Z,67978,7451,3659,3792,0
2020-03-20T00:00:00.000Z,72864,8973,4379,4594,0
2020-03-21T00:00:00.000Z,68809,4201,1371,2829,0
2020-03-22T00:00:00.000Z,66682,6870,3097,3773,0
2020-03-23T00:00:00.000Z,58652,5101,2345,2756,0
2020-03-24T00:00:00.000Z,55333,5770,2625,3145,0
2020-03-25T00:00:00.000Z,48565,4357,1516,2841,0
2020-03-26T00:00:00.000Z,48496,5044,2824,2220,0
2020-03-27T00:00:00.000Z,46406,3517,1952,1565,0
2020-03-28T00:00:00.000Z,40959,1418,547,871,0
2020-03-29T00:00:00.000Z,37525,2569,785,1784,0
2020-03-30T00:00:00.000Z,33941,2142,276,1866,0
2020-03-31T00:00:00.000Z,31174,2665,378,2287,0
2020-04-01T00:00:00.000Z,27283,2767,113,2654,0
2020-04-02T00:00:00.000Z,25744,1633,261,1372,0
2020-04-03T00:00:00.000Z,23824,1646,403,1243,0
2020-04-04T00:00:00.000Z,20780,968,127,841,0
2020-04-05T00:00:00.000Z,18527,2032,180,1839,13
2020-04-06T00:00:00.000Z,16509,1458,326,1132,0
2020-04-07T00:00:00.000Z,13638,960,208,752,0
2020-04-08T00:00:00.000Z,10109,814,257,557,0
2020-04-09T00:00:00.000Z,8220,62,34,27,0
2020-04-10T00:00:00.000Z,8628,1287,25,1262,0
2020-04-11T00:00:00.000Z,7138,542,91,451,0
2020-04-12T00:00:00.000Z,6783,1114,33,1081,0
2020-04-13T00:00:00.000Z,6409,775,22,753,0
2020-04-14T00:00:00.000Z,6051,667,57,610,0
2020-04-15T00:00:00.000Z,5381,612,25,587,0
2020-04-16T00:00:00.000Z,5747,1027,18,1008,0
2020-04-17T00:00:00.000Z,5935,647,51,596,0
2020-04-18T00:00:00.000Z,5429,543,82,459,0
2020-04-19T00:00:00.000Z,5166,902,25,877,0
2020-04-20T00:00:00.000Z,4548,837,73,764,0
2020-04-21T00:00:00.000Z,4495,693,121,572,0
2020-04-22T00:00:00.000Z,4599,546,23,523,0
2020-04-23T00:00:00.000Z,4392,534,87,447,0
2020-04-24T00:00:00.000Z,4680,734,122,612,0
2020-04-25T00:00:00.000Z,4354,410,16,393,0
2020-04-26T00:00:00.000Z,4082,563,62,501,0
2020-04-27T00:00:00.000Z,3972,533,51,481,0
2020-04-28T00:00:00.000Z,4148,599,310,289,0
2020-04-29T00:00:00.000Z,3799,219,33,186,0
2020-04-30T00:00:00.000Z,3730,563,169,394,0
2020-05-01T00:00:00.000Z,3726,379,171,208,0
2020-05-02T00:00:00.000Z,3443,263,43,220,0
2020-05-03T00:00:00.000Z,3424,548,165,383,0
2020-05-04T00:00:00.000Z,3352,380,90,290,0
2020-05-05T00:00:00.000Z,3237,386,176,210,0
2020-05-06T00:00:00.000Z,2767,162,98,64,0
2020-05-07T00:00:00.000Z,2818,411,109,302,0
2020-05-08T00:00:00.000Z,2856,213,98,115,0
2020-05-09T00:00:00.000Z,2580,80,34,46,0
2020-05-10T00:00:00.000Z,2617,456,276,180,0
2020-05-11T00:00:00.000Z,2547,313,166,147,0
2020-05-12T00:00:00.000Z,2629,307,187,120,0
2020-05-13T00:00:00.000Z,2588,453,254,199,0
2020-05-14T00:00:00.000Z,2971,565,453,112,0
