_id,first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose
1,2020/03/15,2020/03/21,0-19,זכר,1173.0,46.0,0.0,,,
2,2020/03/15,2020/03/21,0-19,לא ידוע,0.0,0.0,0.0,,,
3,2020/03/15,2020/03/21,0-19,נקבה,1017.0,37.0,0.0,,,
4,2020/03/15,2020/03/21,20-24,זכר,618.0,95.0,0.0,,,
5,2020/03/15,2020/03/21,20-24,לא ידוע,<15,0.0,0.0,,,
6,2020/03/15,2020/03/21,20-24,נקבה,703.0,47.0,0.0,,,
7,2020/03/15,2020/03/21,25-29,זכר,563.0,50.0,0.0,,,
8,2020/03/15,2020/03/21,25-29,נקבה,758.0,47.0,0.0,,,
9,2020/03/15,2020/03/21,25-29,לא ידוע,0.0,0.0,0.0,,,
10,2020/03/15,2020/03/21,30-34,זכר,578.0,47.0,0.0,,,
11,2020/03/15,2020/03/21,30-34,לא ידוע,<15,<15,0.0,,,
12,2020/03/15,2020/03/21,30-34,נקבה,679.0,33.0,0.0,,,
13,2020/03/15,2020/03/21,35-39,זכר,525.0,44.0,0.0,,,
14,2020/03/15,2020/03/21,35-39,לא ידוע,<15,0.0,0.0,,,
15,2020/03/15,2020/03/21,35-39,נקבה,535.0,31.0,0.0,,,
16,2020/03/15,2020/03/21,40-44,לא ידוע,0.0,0.0,0.0,,,
17,2020/03/15,2020/03/21,40-44,נקבה,436.0,19.0,0.0,,,
18,2020/03/15,2020/03/21,40-44,זכר,359.0,31.0,0.0,,,
19,2020/03/15,2020/03/21,45-49,נקבה,415.0,17.0,0.0,,,
20,2020/03/15,2020/03/21,45-49,זכר,327.0,35.0,0.0,,,
21,2020/03/15,2020/03/21,45-49,לא ידוע,<15,0.0,0.0,,,
22,2020/03/15,2020/03/21,50-54,זכר,262.0,33.0,0.0,,,
23,2020/03/15,2020/03/21,50-54,נקבה,367.0,24.0,0.0,,,
24,2020/03/15,2020/03/21,50-54,לא ידוע,0.0,0.0,0.0,,,
25,2020/03/15,2020/03/21,55-59,זכר,179.0,17.0,0.0,,,
26,2020/03/15,2020/03/21,55-59,נקבה,366.0,29.0,0.0,,,
27,2020/03/15,2020/03/21,55-59,לא ידוע,0.0,0.0,0.0,,,
28,2020/03/15,2020/03/21,60-64,לא ידוע,0.0,0.0,0.0,,,
29,2020/03/15,2020/03/21,60-64,זכר,220.0,20.0,0.0,,,
30,2020/03/15,2020/03/21,60-64,נקבה,318.0,21.0,0.0,,,
31,2020/03/15,2020/03/21,65-69,נקבה,218.0,18.0,0.0,,,
32,2020/03/15,2020/03/21,65-69,לא ידוע,0.0,0.0,0.0,,,
33,2020/03/15,2020/03/21,65-69,זכר,233.0,27.0,0.0,,,
34,2020/03/15,2020/03/21,70-74,נקבה,150.0,<15,0.0,,,
35,2020/03/15,2020/03/21,70-74,זכר,193.0,27.0,0.0,,,
36,2020/03/15,2020/03/21,70-74,לא ידוע,0.0,0.0,0.0,,,
37,2020/03/15,2020/03/21,75-79,נקבה,84.0,<15,0.0,,,
38,2020/03/15,2020/03/21,75-79,זכר,104.0,<15,0.0,,,
39,2020/03/15,2020/03/21,75-79,לא ידוע,0.0,0.0,0.0,,,
40,2020/03/15,2020/03/21,80+,זכר,182.0,<15,<15,,,
41,2020/03/15,2020/03/21,80+,נקבה,221.0,<15,0.0,,,
42,2020/03/15,2020/03/21,80+,לא ידוע,0.0,0.0,0.0,,,
43,2020/03/15,2020/03/21,NULL,זכר,175.0,<15,0.0,,,
44,2020/03/15,2020/03/21,NULL,לא ידוע,37.0,0.0,0.0,,,
45,2020/03/15,2020/03/21,NULL,נקבה,186.0,<15,0.0,,,
46,2020/03/22,2020/03/28,0-19,זכר,2626.0,212.0,0.0,,,
47,2020/03/22,2020/03/28,0-19,לא ידוע,<15,0.0,0.0,,,
48,2020/03/22,2020/03/28,0-19,נקבה,2483.0,168.0,0.0,,,
49,2020/03/22,2020/03/28,20-24,זכר,1981.0,209.0,0.0,,,
50,2020/03/22,2020/03/28,20-24,לא ידוע,<15,0.0,0.0,,,
51,2020/03/22,2020/03/28,20-24,נקבה,2340.0,165.0,0.0,,,
52,2020/03/22,2020/03/28,25-29,זכר,1809.0,150.0,0.0,,,
53,2020/03/22,2020/03/28,25-29,נקבה,2140.0,139.0,0.0,,,
54,2020/03/22,2020/03/28,25-29,לא ידוע,<15,0.0,0.0,,,
55,2020/03/22,2020/03/28,30-34,זכר,1702.0,118.0,0.0,,,
56,2020/03/22,2020/03/28,30-34,לא ידוע,<15,0.0,0.0,,,
57,2020/03/22,2020/03/28,30-34,נקבה,1799.0,111.0,0.0,,,
58,2020/03/22,2020/03/28,35-39,זכר,1323.0,118.0,0.0,,,
59,2020/03/22,2020/03/28,35-39,לא ידוע,0.0,0.0,0.0,,,
60,2020/03/22,2020/03/28,35-39,נקבה,1475.0,80.0,0.0,,,
61,2020/03/22,2020/03/28,40-44,לא ידוע,0.0,0.0,0.0,,,
62,2020/03/22,2020/03/28,40-44,נקבה,1282.0,72.0,0.0,,,
63,2020/03/22,2020/03/28,40-44,זכר,1058.0,84.0,0.0,,,
64,2020/03/22,2020/03/28,45-49,נקבה,1177.0,101.0,0.0,,,
65,2020/03/22,2020/03/28,45-49,זכר,928.0,123.0,0.0,,,
66,2020/03/22,2020/03/28,45-49,לא ידוע,0.0,0.0,0.0,,,
67,2020/03/22,2020/03/28,50-54,זכר,722.0,121.0,0.0,,,
68,2020/03/22,2020/03/28,50-54,נקבה,1136.0,102.0,0.0,,,
69,2020/03/22,2020/03/28,50-54,לא ידוע,0.0,0.0,0.0,,,
70,2020/03/22,2020/03/28,55-59,זכר,727.0,127.0,<15,,,
71,2020/03/22,2020/03/28,55-59,נקבה,1011.0,91.0,0.0,,,
72,2020/03/22,2020/03/28,55-59,לא ידוע,<15,0.0,0.0,,,
73,2020/03/22,2020/03/28,60-64,לא ידוע,0.0,0.0,0.0,,,
74,2020/03/22,2020/03/28,60-64,זכר,801.0,118.0,0.0,,,
75,2020/03/22,2020/03/28,60-64,נקבה,896.0,75.0,0.0,,,
76,2020/03/22,2020/03/28,65-69,נקבה,581.0,66.0,<15,,,
77,2020/03/22,2020/03/28,65-69,לא ידוע,<15,0.0,0.0,,,
78,2020/03/22,2020/03/28,65-69,זכר,604.0,72.0,0.0,,,
79,2020/03/22,2020/03/28,70-74,נקבה,401.0,37.0,0.0,,,
80,2020/03/22,2020/03/28,70-74,זכר,405.0,56.0,<15,,,
81,2020/03/22,2020/03/28,70-74,לא ידוע,0.0,0.0,0.0,,,
82,2020/03/22,2020/03/28,75-79,נקבה,232.0,20.0,<15,,,
83,2020/03/22,2020/03/28,75-79,זכר,267.0,41.0,<15,,,
84,2020/03/22,2020/03/28,75-79,לא ידוע,0.0,0.0,0.0,,,
85,2020/03/22,2020/03/28,80+,זכר,408.0,31.0,<15,,,
86,2020/03/22,2020/03/28,80+,נקבה,652.0,36.0,<15,,,
87,2020/03/22,2020/03/28,80+,לא ידוע,0.0,0.0,0.0,,,
88,2020/03/22,2020/03/28,NULL,זכר,403.0,<15,0.0,,,
89,2020/03/22,2020/03/28,NULL,לא ידוע,123.0,<15,0.0,,,
90,2020/03/22,2020/03/28,NULL,נקבה,313.0,<15,0.0,,,
91,2020/03/29,2020/04/04,0-19,זכר,3886.0,407.0,0.0,,,
92,2020/03/29,2020/04/04,0-19,לא ידוע,<15,0.0,0.0,,,
93,2020/03/29,2020/04/04,0-19,נקבה,3481.0,342.0,0.0,,,
94,2020/03/29,2020/04/04,20-24,זכר,4301.0,325.0,0.0,,,
95,2020/03/29,2020/04/04,20-24,לא ידוע,<15,0.0,0.0,,,
96,2020/03/29,2020/04/04,20-24,נקבה,4247.0,254.0,0.0,,,
97,2020/03/29,2020/04/04,25-29,זכר,2882.0,217.0,0.0,,,
98,2020/03/29,2020/04/04,25-29,נקבה,2946.0,169.0,0.0,,,
99,2020/03/29,2020/04/04,25-29,לא ידוע,<15,0.0,0.0,,,
100,2020/03/29,2020/04/04,30-34,זכר,2751.0,170.0,0.0,,,
101,2020/03/29,2020/04/04,30-34,לא ידוע,<15,<15,0.0,,,
102,2020/03/29,2020/04/04,30-34,נקבה,2586.0,107.0,0.0,,,
103,2020/03/29,2020/04/04,35-39,זכר,2280.0,154.0,0.0,,,
104,2020/03/29,2020/04/04,35-39,לא ידוע,<15,<15,0.0,,,
105,2020/03/29,2020/04/04,35-39,נקבה,2195.0,113.0,0.0,,,
106,2020/03/29,2020/04/04,40-44,לא ידוע,<15,0.0,0.0,,,
107,2020/03/29,2020/04/04,40-44,נקבה,2173.0,138.0,0.0,,,
108,2020/03/29,2020/04/04,40-44,זכר,1879.0,160.0,0.0,,,
109,2020/03/29,2020/04/04,45-49,נקבה,2030.0,120.0,<15,,,
110,2020/03/29,2020/04/04,45-49,זכר,1653.0,150.0,0.0,,,
111,2020/03/29,2020/04/04,45-49,לא ידוע,<15,<15,0.0,,,
112,2020/03/29,2020/04/04,50-54,זכר,1424.0,140.0,0.0,,,
113,2020/03/29,2020/04/04,50-54,נקבה,1809.0,102.0,<15,,,
114,2020/03/29,2020/04/04,50-54,לא ידוע,<15,0.0,0.0,,,
115,2020/03/29,2020/04/04,55-59,זכר,1321.0,153.0,0.0,,,
116,2020/03/29,2020/04/04,55-59,נקבה,1683.0,143.0,0.0,,,
117,2020/03/29,2020/04/04,55-59,לא ידוע,0.0,0.0,0.0,,,
118,2020/03/29,2020/04/04,60-64,לא ידוע,<15,0.0,0.0,,,
119,2020/03/29,2020/04/04,60-64,זכר,1274.0,140.0,0.0,,,
120,2020/03/29,2020/04/04,60-64,נקבה,1312.0,112.0,0.0,,,
121,2020/03/29,2020/04/04,65-69,נקבה,830.0,78.0,<15,,,
122,2020/03/29,2020/04/04,65-69,לא ידוע,0.0,0.0,0.0,,,
123,2020/03/29,2020/04/04,65-69,זכר,1016.0,121.0,<15,,,
