_id,date,isolated_today_contact_with_confirmed,isolated_today_abroad,new_contact_with_confirmed,new_from_abroad
1,2020-03-01,408,3873,87,841
2,2020-03-02,407,4023,15>,360
3,2020-03-03,632,4017,227,292
4,2020-03-04,1217,4738,591,1111
5,2020-03-05,1452,7764,242,3226
6,2020-03-06,1544,10875,122,3409
7,2020-03-07,1557,11238,82,1056
8,2020-03-08,1231,11863,245,1604
9,2020-03-09,1463,13247,449,2351
10,2020-03-10,2591,14978,1521,2639
11,2020-03-11,3857,16408,1420,2805
12,2020-03-12,5257,18028,1540,2658
13,2020-03-13,6155,18816,1041,2239
14,2020-03-14,6792,18536,944,1550
15,2020-03-15,8972,20757,3421,4233
16,2020-03-16,10379,21948,2056,2431
17,2020-03-17,12872,24122,3762,3280
18,2020-03-18,15557,25167,3914,2686
19,2020-03-19,16845,26738,2278,2631
20,2020-03-20,18572,28843,2911,3567
21,2020-03-21,16747,28167,1572,1226
22,2020-03-22,15377,28323,1906,2513
23,2020-03-23,11109,27342,1317,1834
24,2020-03-24,10178,25878,1404,1782
25,2020-03-25,7877,24255,1396,1466
26,2020-03-26,7707,24524,1151,1960
27,2020-03-27,7140,23785,894,1375
28,2020-03-28,6162,21189,423,413
29,2020-03-29,5885,19289,932,590
30,2020-03-30,5732,17249,1010,217
31,2020-03-31,6051,15222,1243,318
32,2020-04-01,6437,12266,1513,111
33,2020-04-02,6558,11164,804,181
34,2020-04-03,6732,9512,737,287
35,2020-04-04,6199,7907,441,89
36,2020-04-05,6072,6315,892,78
37,2020-04-06,5538,5550,567,289
38,2020-04-07,4643,4458,360,152
39,2020-04-08,3859,2779,285,95
40,2020-04-09,3326,2106,15>,51
41,2020-04-10,3643,1921,660,15>
42,2020-04-11,3071,1514,223,41
43,2020-04-12,3040,1311,584,36
44,2020-04-13,2893,1227,393,26
45,2020-04-14,2738,1156,327,35
46,2020-04-15,2618,856,338,15
47,2020-04-16,2945,773,580,22
48,2020-04-17,3103,737,334,36
49,2020-04-18,2859,646,253,42
50,2020-04-19,2771,522,402,27
51,2020-04-20,2629,336,405,30
52,2020-04-21,2612,372,314,82
53,2020-04-22,2657,417,282,49
54,2020-04-23,2546,435,248,60
55,2020-04-24,2690,451,366,54
56,2020-04-25,2488,449,252,21
57,2020-04-26,2348,439,292,28
58,2020-04-27,2282,491,276,68
59,2020-04-28,2204,521,178,41
60,2020-04-29,1966,509,118,15>
61,2020-04-30,1867,492,260,20
62,2020-05-01,1828,452,147,18
63,2020-05-02,1671,416,150,15>
64,2020-05-03,1613,377,223,27
65,2020-05-04,1619,351,222,23
66,2020-05-05,1501,333,148,18
67,2020-05-06,1176,291,46,22
68,2020-05-07,1194,263,219,18
69,2020-05-08,1181,270,95,20
70,2020-05-09,1032,206,50,15>
71,2020-05-10,910,210,116,30
72,2020-05-11,834,304,95,116
73,2020-05-12,785,433,81,147
74,2020-05-13,753,581,151,194
75,2020-05-14,718,1381,80,808
76,2020-05-15,715,1570,97,199
77,2020-05-16,698,1536,74,96
78,2020-05-17,731,1718,110,255
79,2020-05-18,797,1818,184,156
80,2020-05-19,780,2045,92,283
81,2020-05-20,768,2216,135,239
82,2020-05-21,816,2527,108,384
83,2020-05-22,815,2844,40,337
84,2020-05-23,639,2785,15>,170
85,2020-05-24,601,2864,44,291
86,2020-05-25,547,3005,37,332
87,2020-05-26,589,3035,150,215
88,2020-05-27,641,2976,167,185
89,2020-05-28,819,3124,271,317
90,2020-05-29,1117,3117,335,110
91,2020-05-30,1451,3017,366,140
92,2020-05-31,2280,3150,901,278
93,2020-06-01,2929,3090,744,301
94,2020-06-02,3587,3144,804,272
95,2020-06-03,3957,3057,638,372
96,2020-06-04,4933,3429,1131,641
97,2020-06-05,5623,3862,816,546
98,2020-06-06,5610,3782,346,300
99,2020-06-07,5832,4012,785,423
100,2020-06-08,5790,4319,727,556
101,2020-06-09,4992,4619,882,554
102,2020-06-10,4936,4579,464,204
103,2020-06-11,5592,4994,909,583
104,2020-06-12,6066,5638,684,797
105,2020-06-13,5848,5640,607,318
106,2020-06-14,5804,5877,1041,482
107,2020-06-15,5642,6152,761,680
108,2020-06-16,5814,6251,869,438
109,2020-06-17,5450,5804,928,344
110,2020-06-18,6067,5854,1117,339
111,2020-06-19,6709,6112,1081,618
112,2020-06-20,6777,5847,863,204
113,2020-06-21,7241,5805,1390,286
