_id,test_date,age_60_and_above,male,female,NULL
1,2020-03-11,NULL,8,8,0
2,2020-03-11,No,143,140,1
3,2020-03-11,Yes,37,28,0
4,2020-03-12,NULL,8,7,0
5,2020-03-12,No,248,256,3
6,2020-03-12,Yes,56,59,0
7,2020-03-13,NULL,17,15,4
8,2020-03-13,No,275,297,0
9,2020-03-13,Yes,63,68,0
10,2020-03-14,NULL,17,16,3
11,2020-03-14,No,274,270,0
12,2020-03-14,Yes,64,88,0
13,2020-03-15,NULL,17,26,5
14,2020-03-15,No,423,436,4
15,2020-03-15,Yes,97,102,2
16,2020-03-16,NULL,31,21,3
17,2020-03-16,No,564,584,4
244,2020-05-31,NULL,49,49,21
18,2020-03-16,Yes,117,137,0
19,2020-03-17,NULL,18,20,1
20,2020-03-17,No,595,648,3
21,2020-03-17,Yes,117,139,0
22,2020-03-18,NULL,26,24,13
23,2020-03-18,No,834,898,9
24,2020-03-18,Yes,150,134,0
25,2020-03-19,NULL,29,25,2
26,2020-03-19,No,867,994,3
27,2020-03-19,Yes,171,182,0
28,2020-03-20,NULL,48,60,6
29,2020-03-20,No,713,765,4
30,2020-03-20,Yes,167,146,0
31,2020-03-21,NULL,38,27,4
32,2020-03-21,No,717,683,3
33,2020-03-21,Yes,133,134,0
34,2020-03-22,NULL,58,46,7
35,2020-03-22,No,1300,1604,8
36,2020-03-22,Yes,292,308,3
37,2020-03-23,NULL,45,40,14
38,2020-03-23,No,1351,1481,10
39,2020-03-23,Yes,335,356,0
40,2020-03-24,NULL,83,55,13
41,2020-03-24,No,1986,2081,16
42,2020-03-24,Yes,374,370,0
43,2020-03-25,NULL,90,49,12
44,2020-03-25,No,2206,2355,22
45,2020-03-25,Yes,455,455,0
46,2020-03-26,NULL,74,59,52
47,2020-03-26,No,2553,2829,64
48,2020-03-26,Yes,477,524,4
49,2020-03-27,NULL,50,51,25
50,2020-03-27,No,2464,2386,19
51,2020-03-27,Yes,461,502,1
52,2020-03-28,NULL,65,71,16
53,2020-03-28,No,2418,2316,15
54,2020-03-28,Yes,461,481,1
55,2020-03-29,NULL,76,58,9
56,2020-03-29,No,2173,2182,8
57,2020-03-29,Yes,433,377,1
58,2020-03-30,NULL,71,71,13
59,2020-03-30,No,2548,2423,16
60,2020-03-30,Yes,444,424,1
61,2020-03-31,NULL,95,69,6
