instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-11-06T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-11-06T00:00:00.000Z
,,,2022-11-06T00:00:00.000Z
Assuta Ashdod                 ,,,2022-11-06T00:00:00.000Z
Hadassah Mount Scopus         ,75,68.1,2022-11-06T00:00:00.000Z
Barzilai Medical Center       ,96.4,76.3,2022-11-06T00:00:00.000Z
Laniado                       ,96.2,87.2,2022-11-06T00:00:00.000Z
Bnei Ziom Medical Center      ,102.5,90.1,2022-11-06T00:00:00.000Z
,,,2022-11-06T00:00:00.000Z
Hillel Yaffeh Medical Center  ,100.7,84.3,2022-11-06T00:00:00.000Z
Hadassah Ein Kerem            ,117.5,89.9,2022-11-06T00:00:00.000Z
Hacarmel Hospital             ,,,2022-11-06T00:00:00.000Z
Haemek Valley Center Hospital ,,,2022-11-06T00:00:00.000Z
The Holy Family               ,,,2022-11-06T00:00:00.000Z
,,,2022-11-06T00:00:00.000Z
      Ziv Hospital            ,73.4,68,2022-11-06T00:00:00.000Z
Woolfson Medical Center       ,83.6,75.5,2022-11-06T00:00:00.000Z
Yosephtal Hospital            ,,,2022-11-06T00:00:00.000Z
Meir Hospital                 ,,,2022-11-06T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-11-06T00:00:00.000Z
Poriah Hospital               ,83.3,76.9,2022-11-06T00:00:00.000Z
Nahariya                      ,120.5,88.3,2022-11-06T00:00:00.000Z
Soroka Medical Center         ,,,2022-11-06T00:00:00.000Z
,,,2022-11-06T00:00:00.000Z
Kaplan Hospital               ,,,2022-11-06T00:00:00.000Z
Rabin K. Beilinson            ,,,2022-11-06T00:00:00.000Z
Rabin K. Hasharon             ,,,2022-11-06T00:00:00.000Z
Assaf Harofeh Medical Center  ,85.7,68.8,2022-11-06T00:00:00.000Z
Rambam                        ,102.5,84.7,2022-11-06T00:00:00.000Z
Chaim Sheba Medical Center    ,,,2022-11-06T00:00:00.000Z
Shmuel Harofe                 ,,,2022-11-06T00:00:00.000Z
Shaare Zedek                  ,,,2022-11-06T00:00:00.000Z
