instituteDesc,occupancy,occupancyDate,occupancyAvg,occupancyAvgLastYear,gOccupancy,gOccupancyAvg,gOccupancyAvgLastYear
שיבא,92.9,2021-05-11T00:00:00.000Z,,,103.2,,
רבין ק. בילינסון,107.5,2021-05-11T00:00:00.000Z,,,90.7,,
סורוקה,61.6,2021-05-11T00:00:00.000Z,,,67.5,,
אסותא אשדוד,147.5,2021-05-11T00:00:00.000Z,,,143.3,,
שמואל הרופא,94.4,2021-05-11T00:00:00.000Z,,,84.8,,
כלל המוסדות,90.1,2021-05-11T00:00:00.000Z,,,87.1,,
רבין ק. בילינסון,91.6,2021-05-12T00:00:00.000Z,107.5,102.6,83.2,90.7,89.9
סורוקה,50.4,2021-05-12T00:00:00.000Z,61.6,58.5,60.2,67.5,64.8
אסותא אשדוד,142.4,2021-05-12T00:00:00.000Z,147.5,,144.7,143.3,
שמואל הרופא,97.2,2021-05-12T00:00:00.000Z,94.4,,85.3,84.8,
כלל המוסדות,81.2,2021-05-12T00:00:00.000Z,90.1,78.6,82.4,87.1,77.8
רבין ק. בילינסון,85,2021-05-13T00:00:00.000Z,99.6,103.7,75.1,86.9,89.3
סורוקה,41.9,2021-05-13T00:00:00.000Z,56,56.6,55.1,63.9,66.3
אסותא אשדוד,135.6,2021-05-13T00:00:00.000Z,144.9,,132.8,144,
שמואל הרופא,80.6,2021-05-13T00:00:00.000Z,95.8,,81.2,85,
כלל המוסדות,73.9,2021-05-13T00:00:00.000Z,85.7,77.6,76.2,84.7,77.9
רבין ק. בילינסון,75.3,2021-05-14T00:00:00.000Z,94.7,102.9,69.5,83,89
סורוקה,45,2021-05-14T00:00:00.000Z,51.3,55.8,54.6,60.9,66.5
אסותא אשדוד,118.6,2021-05-14T00:00:00.000Z,141.8,,119.1,140.3,
שמואל הרופא,80.6,2021-05-14T00:00:00.000Z,90.7,,81.2,83.8,
כלל המוסדות,71.8,2021-05-14T00:00:00.000Z,81.7,76.5,68.2,81.9,77.8
רבין ק. בילינסון,80.2,2021-05-15T00:00:00.000Z,89.9,100.3,70.7,79.6,86.7
סורוקה,50,2021-05-15T00:00:00.000Z,49.7,54.5,56.6,59.4,65.8
אסותא אשדוד,106.8,2021-05-15T00:00:00.000Z,136,,95.6,135,
שמואל הרופא,80.6,2021-05-15T00:00:00.000Z,88.2,,81.8,83.1,
כלל המוסדות,78.5,2021-05-15T00:00:00.000Z,79.3,74.9,70.7,78.5,76.9
רבין ק. בילינסון,83.3,2021-05-16T00:00:00.000Z,87.9,98.3,66.6,77.8,84.5
סורוקה,59.3,2021-05-16T00:00:00.000Z,49.8,53.8,57.4,58.8,65.2
אסותא אשדוד,128.8,2021-05-16T00:00:00.000Z,130.2,,104.1,127.1,
שמואל הרופא,80.6,2021-05-16T00:00:00.000Z,86.7,,80.4,82.9,
כלל המוסדות,77.5,2021-05-16T00:00:00.000Z,79.1,74.1,67.5,76.9,75.2
רבין ק. בילינסון,93,2021-05-17T00:00:00.000Z,87.2,99,74.9,75.9,84.7
סורוקה,67.1,2021-05-17T00:00:00.000Z,51.4,55.2,65.2,58.6,65.7
אסותא אשדוד,120.3,2021-05-17T00:00:00.000Z,129.9,,89.4,123.3,
שמואל הרופא,94.4,2021-05-17T00:00:00.000Z,85.6,,83.3,82.5,
כלל המוסדות,85.6,2021-05-17T00:00:00.000Z,78.8,74.9,73.5,75.3,75.1
רבין ק. בילינסון,97.4,2021-05-18T00:00:00.000Z,88,99.3,81.6,75.8,85.1
סורוקה,65.1,2021-05-18T00:00:00.000Z,53.6,56.6,65.7,59.5,66.1
