date,visited_country,israeli_positive,foreigner_positive,israeli_percnet_positive,foreigner_percnet_positive
2021-05-01T00:00:00.000Z,ECUADOR,0,0,0,0
2021-05-01T00:00:00.000Z,BOTSWANA  ,0,0,0,0
2021-05-01T00:00:00.000Z,ITALY,0,0,0,0
2021-05-01T00:00:00.000Z,EGYPT ,0,0,0,0
2021-05-01T00:00:00.000Z,MOLDOVA,0,0,0,0
2021-05-01T00:00:00.000Z,GREECE ,0,0,0,0
2021-05-01T00:00:00.000Z,DENMARK,0,0,0,0
2021-05-01T00:00:00.000Z,RUSSIA,0,0,0,0
2021-05-01T00:00:00.000Z,GEORGIA ,0,0,0,0
2021-05-01T00:00:00.000Z,MALDIVES,0,0,0,0
2021-05-01T00:00:00.000Z,SWEDEN  ,0,0,0,0
2021-05-01T00:00:00.000Z,CYPRUS ,0,0,0,0
2021-05-01T00:00:00.000Z,KAZAKHSTAN,0,0,0,0
2021-05-01T00:00:00.000Z,LITHUANIA,0,0,0,0
2021-05-01T00:00:00.000Z,AUSTRALIA,0,0,0,0
2021-05-01T00:00:00.000Z,JAPAN,0,0,0,0
2021-05-02T00:00:00.000Z,SERBIA,0,0,0,0
2021-05-02T00:00:00.000Z,PERU ,0,0,0,0
2021-05-02T00:00:00.000Z,UKRAINE ,0,0,0,0
2021-05-02T00:00:00.000Z,SRI LANKA ,0,0,0,0
2021-05-02T00:00:00.000Z,NEPAL ,0,0,0,0
2021-05-02T00:00:00.000Z,UGANDA ,0,0,0,0
2021-05-02T00:00:00.000Z,PHILIPPINES,0,1,0,14.3
2021-05-02T00:00:00.000Z,UNITED ARAB EMIRATES,0,0,0,0
2021-05-02T00:00:00.000Z,UNITED STATES ,0,0,0,0
2021-05-02T00:00:00.000Z,TAIWAN,0,0,0,0
2021-05-03T00:00:00.000Z,UNITED STATES ,0,0,0,0
2021-05-03T00:00:00.000Z,COSTA RICA ,0,0,0,0
2021-05-03T00:00:00.000Z,AUSTRALIA,0,0,0,0
2021-05-03T00:00:00.000Z,LUXEMBOURG  ,0,0,0,0
2021-05-03T00:00:00.000Z,LITHUANIA,0,0,0,0
