date,amount
,259
2020-02-12T00:00:00.000Z,0
2020-02-13T00:00:00.000Z,0
2020-02-14T00:00:00.000Z,0
2020-02-15T00:00:00.000Z,0
2020-02-16T00:00:00.000Z,0
2020-02-17T00:00:00.000Z,0
2020-02-18T00:00:00.000Z,0
2020-02-19T00:00:00.000Z,0
2020-02-20T00:00:00.000Z,0
2020-02-21T00:00:00.000Z,0
2020-02-22T00:00:00.000Z,0
2020-02-23T00:00:00.000Z,0
2020-02-24T00:00:00.000Z,0
2020-02-25T00:00:00.000Z,0
2020-02-26T00:00:00.000Z,0
2020-02-27T00:00:00.000Z,0
2020-02-28T00:00:00.000Z,0
2020-02-29T00:00:00.000Z,0
2020-03-01T00:00:00.000Z,0
2020-03-02T00:00:00.000Z,0
2020-03-03T00:00:00.000Z,0
2020-03-04T00:00:00.000Z,0
2020-03-05T00:00:00.000Z,0
2020-03-06T00:00:00.000Z,0
2020-03-07T00:00:00.000Z,0
2020-03-08T00:00:00.000Z,0
2020-03-09T00:00:00.000Z,0
2020-03-10T00:00:00.000Z,0
2020-03-11T00:00:00.000Z,0
2020-03-12T00:00:00.000Z,0
2020-03-13T00:00:00.000Z,1
2020-03-14T00:00:00.000Z,0
2020-03-15T00:00:00.000Z,0
2020-03-16T00:00:00.000Z,0
2020-03-17T00:00:00.000Z,2
2020-03-18T00:00:00.000Z,2
2020-03-19T00:00:00.000Z,4
2020-03-20T00:00:00.000Z,1
2020-03-21T00:00:00.000Z,1
2020-03-22T00:00:00.000Z,4
2020-03-23T00:00:00.000Z,6
2020-03-24T00:00:00.000Z,5
2020-03-25T00:00:00.000Z,6
2020-03-26T00:00:00.000Z,10
2020-03-27T00:00:00.000Z,18
2020-03-28T00:00:00.000Z,9
2020-03-29T00:00:00.000Z,15
2020-03-30T00:00:00.000Z,33
2020-03-31T00:00:00.000Z,43
2020-04-01T00:00:00.000Z,33
2020-04-02T00:00:00.000Z,81
2020-04-03T00:00:00.000Z,56
2020-04-04T00:00:00.000Z,54
2020-04-05T00:00:00.000Z,103
2020-04-06T00:00:00.000Z,120
2020-04-07T00:00:00.000Z,122
2020-04-08T00:00:00.000Z,108
2020-04-09T00:00:00.000Z,114
2020-04-10T00:00:00.000Z,130
2020-04-11T00:00:00.000Z,123
2020-04-12T00:00:00.000Z,260
2020-04-13T00:00:00.000Z,283
2020-04-14T00:00:00.000Z,295
2020-04-15T00:00:00.000Z,281
2020-04-16T00:00:00.000Z,327
2020-04-17T00:00:00.000Z,358
2020-04-18T00:00:00.000Z,246
2020-04-19T00:00:00.000Z,385
2020-04-20T00:00:00.000Z,452
2020-04-21T00:00:00.000Z,373
2020-04-22T00:00:00.000Z,393
2020-04-23T00:00:00.000Z,335
2020-04-24T00:00:00.000Z,340
2020-04-25T00:00:00.000Z,378
2020-04-26T00:00:00.000Z,434
2020-04-27T00:00:00.000Z,469
2020-04-28T00:00:00.000Z,560
2020-04-29T00:00:00.000Z,352
2020-04-30T00:00:00.000Z,429
2020-05-01T00:00:00.000Z,420
2020-05-02T00:00:00.000Z,282
2020-05-03T00:00:00.000Z,297
2020-05-04T00:00:00.000Z,260
2020-05-05T00:00:00.000Z,317
2020-05-06T00:00:00.000Z,260
2020-05-07T00:00:00.000Z,231
2020-05-08T00:00:00.000Z,227
2020-05-09T00:00:00.000Z,89
2020-05-10T00:00:00.000Z,171
2020-05-11T00:00:00.000Z,335
2020-05-12T00:00:00.000Z,260
2020-05-13T00:00:00.000Z,184
2020-05-14T00:00:00.000Z,244
2020-05-15T00:00:00.000Z,162
2020-05-16T00:00:00.000Z,104
2020-05-17T00:00:00.000Z,153
2020-05-18T00:00:00.000Z,278
2020-05-19T00:00:00.000Z,155
2020-05-20T00:00:00.000Z,114
2020-05-21T00:00:00.000Z,127
2020-05-22T00:00:00.000Z,164
2020-05-23T00:00:00.000Z,44
2020-05-24T00:00:00.000Z,116
2020-05-25T00:00:00.000Z,133
2020-05-26T00:00:00.000Z,91
2020-05-27T00:00:00.000Z,62
2020-05-28T00:00:00.000Z,115
2020-05-29T00:00:00.000Z,39
2020-05-30T00:00:00.000Z,40
2020-05-31T00:00:00.000Z,61
2020-06-01T00:00:00.000Z,69
2020-06-02T00:00:00.000Z,53
2020-06-03T00:00:00.000Z,27
2020-06-04T00:00:00.000Z,42
2020-06-05T00:00:00.000Z,37
2020-06-06T00:00:00.000Z,24
2020-06-07T00:00:00.000Z,43
2020-06-08T00:00:00.000Z,40
2020-06-09T00:00:00.000Z,45
2020-06-10T00:00:00.000Z,51
2020-06-11T00:00:00.000Z,55
2020-06-12T00:00:00.000Z,55
2020-06-13T00:00:00.000Z,40
2020-06-14T00:00:00.000Z,48
2020-06-15T00:00:00.000Z,90
2020-06-16T00:00:00.000Z,53
2020-06-17T00:00:00.000Z,47
2020-06-18T00:00:00.000Z,50
2020-06-19T00:00:00.000Z,57
2020-06-20T00:00:00.000Z,36
2020-06-21T00:00:00.000Z,50
2020-06-22T00:00:00.000Z,59
2020-06-23T00:00:00.000Z,84
2020-06-24T00:00:00.000Z,71
2020-06-25T00:00:00.000Z,75
2020-06-26T00:00:00.000Z,130
2020-06-27T00:00:00.000Z,50
2020-06-28T00:00:00.000Z,141
2020-06-29T00:00:00.000Z,164
2020-06-30T00:00:00.000Z,131
2020-07-01T00:00:00.000Z,98
2020-07-02T00:00:00.000Z,127
2020-07-03T00:00:00.000Z,116
2020-07-04T00:00:00.000Z,76
2020-07-05T00:00:00.000Z,145
2020-07-06T00:00:00.000Z,195
2020-07-07T00:00:00.000Z,173
2020-07-08T00:00:00.000Z,227
2020-07-09T00:00:00.000Z,227
2020-07-10T00:00:00.000Z,213
2020-07-11T00:00:00.000Z,191
2020-07-12T00:00:00.000Z,339
2020-07-13T00:00:00.000Z,363
2020-07-14T00:00:00.000Z,313
2020-07-15T00:00:00.000Z,362
2020-07-16T00:00:00.000Z,508
2020-07-17T00:00:00.000Z,481
2020-07-18T00:00:00.000Z,448
2020-07-19T00:00:00.000Z,521
2020-07-20T00:00:00.000Z,627
2020-07-21T00:00:00.000Z,642
2020-07-22T00:00:00.000Z,3734
2020-07-23T00:00:00.000Z,6780
2020-07-24T00:00:00.000Z,1614
2020-07-25T00:00:00.000Z,593
2020-07-26T00:00:00.000Z,2746
2020-07-27T00:00:00.000Z,1773
2020-07-28T00:00:00.000Z,1563
2020-07-29T00:00:00.000Z,1412
2020-07-30T00:00:00.000Z,1694
2020-07-31T00:00:00.000Z,1297
2020-08-01T00:00:00.000Z,533
2020-08-02T00:00:00.000Z,2451
