section,male,female,period
0-9,"{'amount': 9, 'percentage': 0.3}","{'amount': 9, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 66, 'percentage': 0.6}","{'amount': 43, 'percentage': 0.4}",שנה
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 125, 'percentage': 0.4}","{'amount': 78, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 29, 'percentage': 0.3}","{'amount': 22, 'percentage': 0.2}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 81, 'percentage': 0.2}","{'amount': 83, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 252, 'percentage': 0.8}","{'amount': 284, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 10, 'percentage': 0.3}","{'amount': 14, 'percentage': 0.4}",6 חודשים
20-29,"{'amount': 49, 'percentage': 0.5}","{'amount': 40, 'percentage': 0.4}",שנה
20-29,"{'amount': 3, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.3}",3 חודשים
20-29,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 16, 'percentage': 0.4}","{'amount': 15, 'percentage': 0.4}",6 חודשים
30-39,"{'amount': 78, 'percentage': 0.8}","{'amount': 83, 'percentage': 0.8}",שנה
30-39,"{'amount': 1, 'percentage': 0.1}","{'amount': 8, 'percentage': 1}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 4, 'percentage': 1}",חודש אחרון
30-39,"{'amount': 642, 'percentage': 2}","{'amount': 607, 'percentage': 1.9}",מתחילת קורונה
40-49,"{'amount': 36, 'percentage': 1}","{'amount': 25, 'percentage': 0.7}",6 חודשים
40-49,"{'amount': 179, 'percentage': 1.7}","{'amount': 112, 'percentage': 1.1}",שנה
40-49,"{'amount': 5, 'percentage': 0.6}","{'amount': 3, 'percentage': 0.4}",3 חודשים
40-49,"{'amount': 2, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
40-49,"{'amount': 1438, 'percentage': 4.4}","{'amount': 986, 'percentage': 3}",מתחילת קורונה
50-59,"{'amount': 97, 'percentage': 2.7}","{'amount': 70, 'percentage': 2}",6 חודשים
50-59,"{'amount': 396, 'percentage': 3.8}","{'amount': 273, 'percentage': 2.6}",שנה
50-59,"{'amount': 22, 'percentage': 2.8}","{'amount': 15, 'percentage': 1.9}",3 חודשים
50-59,"{'amount': 15, 'percentage': 3.7}","{'amount': 7, 'percentage': 1.7}",חודש אחרון
50-59,"{'amount': 2319, 'percentage': 7.2}","{'amount': 1635, 'percentage': 5}",מתחילת קורונה
60-69,"{'amount': 278, 'percentage': 7.8}","{'amount': 176, 'percentage': 4.9}",6 חודשים
60-69,"{'amount': 874, 'percentage': 8.5}","{'amount': 596, 'percentage': 5.8}",שנה
60-69,"{'amount': 57, 'percentage': 7.2}","{'amount': 33, 'percentage': 4.2}",3 חודשים
60-69,"{'amount': 30, 'percentage': 7.4}","{'amount': 17, 'percentage': 4.2}",חודש אחרון
60-69,"{'amount': 3541, 'percentage': 10.9}","{'amount': 2383, 'percentage': 7.4}",מתחילת קורונה
70-79,"{'amount': 517, 'percentage': 14.5}","{'amount': 407, 'percentage': 11.4}",6 חודשים
70-79,"{'amount': 1469, 'percentage': 14.2}","{'amount': 1113, 'percentage': 10.8}",שנה
70-79,"{'amount': 127, 'percentage': 16}","{'amount': 104, 'percentage': 13.1}",3 חודשים
70-79,"{'amount': 67, 'percentage': 16.5}","{'amount': 39, 'percentage': 9.6}",חודש אחרון
70-79,"{'amount': 4172, 'percentage': 12.9}","{'amount': 3178, 'percentage': 9.8}",מתחילת קורונה
80-89,"{'amount': 622, 'percentage': 17.4}","{'amount': 608, 'percentage': 17}",6 חודשים
80-89,"{'amount': 1626, 'percentage': 15.7}","{'amount': 1660, 'percentage': 16.1}",שנה
80-89,"{'amount': 144, 'percentage': 18.1}","{'amount': 139, 'percentage': 17.5}",3 חודשים
80-89,"{'amount': 82, 'percentage': 20.1}","{'amount': 74, 'percentage': 18.2}",חודש אחרון
80-89,"{'amount': 3655, 'percentage': 11.3}","{'amount': 3749, 'percentage': 11.6}",מתחילת קורונה
90+,"{'amount': 1282, 'percentage': 4}","{'amount': 1913, 'percentage': 5.9}",מתחילת קורונה
90+,"{'amount': 251, 'percentage': 7}","{'amount': 403, 'percentage': 11.3}",6 חודשים
90+,"{'amount': 681, 'percentage': 6.6}","{'amount': 953, 'percentage': 9.2}",שנה
90+,"{'amount': 52, 'percentage': 6.5}","{'amount': 77, 'percentage': 9.7}",3 חודשים
90+,"{'amount': 28, 'percentage': 6.9}","{'amount': 38, 'percentage': 9.3}",חודש אחרון
