period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,239,1709,1.61,11.48
3_Month,5-11,1229,19483,0.59,9.29
6_Month,5-11,1823,39843,0.4,8.64
1_Year,5-11,1823,41288,0.31,7.08
All,5-11,1823,41477,0.27,6.05
1_Month,12-15,235,468,3.34,6.66
3_Month,12-15,2961,5183,3.28,5.75
6_Month,12-15,6764,14729,3.08,6.71
1_Year,12-15,6822,15752,2.63,6.08
All,12-15,6822,15955,2.09,4.88
1_Month,16-19,372,225,6.32,3.82
3_Month,16-19,4044,2034,5.66,2.85
6_Month,16-19,10942,8735,6.14,4.91
1_Year,16-19,11122,9703,5.41,4.72
All,16-19,11132,9978,3.86,3.46
1_Month,20-29,1267,606,6.46,3.09
3_Month,20-29,10276,4072,6.58,2.61
6_Month,20-29,25771,16058,6.95,4.33
1_Year,20-29,26192,18135,5.98,4.14
All,20-29,26217,18576,4.43,3.14
1_Month,30-39,1515,695,5.54,2.54
3_Month,30-39,10558,4548,5.51,2.37
6_Month,30-39,23211,14198,5.79,3.54
1_Year,30-39,23570,15699,5.02,3.34
All,30-39,23613,16004,4.04,2.74
1_Month,40-49,1276,537,4.94,2.08
3_Month,40-49,8784,3315,4.91,1.85
6_Month,40-49,20238,10501,5.5,2.85
1_Year,40-49,20530,11409,4.88,2.71
All,40-49,20571,11634,3.96,2.24
1_Month,50-59,895,323,4.11,1.48
3_Month,50-59,5648,1825,4.55,1.47
6_Month,50-59,12469,5636,5.08,2.3
1_Year,50-59,12631,6011,4.6,2.19
All,50-59,12671,6169,3.66,1.78
1_Month,60-69,657,165,3.13,0.79
3_Month,60-69,3133,953,3.5,1.07
6_Month,60-69,6993,2946,4.12,1.73
1_Year,60-69,7096,3081,3.77,1.64
All,60-69,7120,3158,3.04,1.35
1_Month,70-79,327,62,2.17,0.41
3_Month,70-79,1241,309,2.37,0.59
6_Month,70-79,2791,826,2.99,0.89
1_Year,70-79,2852,871,2.77,0.85
All,70-79,2870,917,2.27,0.73
1_Month,80+,198,38,2.68,0.51
3_Month,80+,724,183,2.86,0.72
6_Month,80+,1645,451,3.66,1
1_Year,80+,1694,472,3.33,0.93
All,80+,1716,516,2.55,0.77
