name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
KAFAR QARA,5.3,צהוב,5.7,13,-15, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,68.84,61.20,38.37,
REKHASIM,3.2,ירוק,1.5,10,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,47.65,35.06,20.08,
TEL SHEVA,4.9,צהוב,6.0,12,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,32.39,27.71,12.33,
ZEMER,5.3,ירוק,11.1,20,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,66.22,58.20,34.60,
SHOHAM,10,אדום,87.5,46,148,160,אדום,2022-06-11T00:00:00.000Z,מעל 90%,89.97,75.00,76.1
EL'AZAR,4.9,ירוק,28.6,53,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,86.85,81.33,59.35,
EFRAT,9.4,אדום,39.4,33,87,38,אדום,2022-06-11T00:00:00.000Z,85.53,79.21,58.35,33.3
ALFE MENASHE,9.8,אדום,32.5,25,23,23,אדום,2022-06-11T00:00:00.000Z,83.57,80.86,64.59,28.7
PEDU'EL,5.8,ירוק,54.1,73,10, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,82.16,75.28,51.15,
HAIFA,9,אדום,43.4,25,67,1200,אדום,2022-06-11T00:00:00.000Z,79.02,75.07,60.72,42.1
QAZRIN,9.5,אדום,36.0,32,50,24,אדום,2022-06-11T00:00:00.000Z,72.75,69.44,54.40,32.0
ASHDOD,9.3,אדום,33.2,27,61,688,אדום,2022-06-11T00:00:00.000Z,70.92,64.21,47.46,30.4
EZ EFRAYIM,4.5,ירוק,8.1,18,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,70.24,65.47,45.06,
QALANSAWE,4.1,ירוק,4.7,8,10, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,63.14,53.07,28.10,
OR AQIVA,9.4,אדום,45.8,28,134,88,אדום,2022-06-11T00:00:00.000Z,75.79,70.53,51.98,45.3
GIV'AT ZE'EV,7,צהוב,16.7,25,100,34,כתום,2022-06-11T00:00:00.000Z,59.46,50.84,35.71,17.7
BETAR ILLIT,2,ירוק,0.8,10,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,34.34,24.03,11.88,
TEL MOND,7.8,כתום,40.1,14,116,46,אדום,2022-06-11T00:00:00.000Z,מעל 90%,87.54,69.63,34.2
KEFAR YONA,9.7,אדום,34.0,33,53,86,אדום,2022-06-11T00:00:00.000Z,75.21,71.57,55.37,32.9
ABU GHOSH,5.5,כתום,33.1,15,-3,39,צהוב,2022-06-11T00:00:00.000Z,מעל 90%,מעל 90%,81.15,49.6
KABUL,2.7,ירוק,2.1,5,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,65.51,55.18,34.27,
NAHEF,6.5,צהוב,4.5,11,-16, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,65.70,56.25,32.08,
