period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,12292,2239,18.22
3_Month,0-9,90350,41757,46.22
6_Month,0-9,323525,97398,30.11
1_Year,0-9,1388939,597987,43.05
All,0-9,1710890,765108,44.72
1_Month,10-19,14132,2246,15.89
3_Month,10-19,91916,39239,42.69
6_Month,10-19,341413,93813,27.48
1_Year,10-19,1283471,615111,47.93
All,10-19,1628120,806012,49.51
1_Month,20-29,22431,3872,17.26
3_Month,20-29,122064,51070,41.84
6_Month,20-29,459444,112024,24.38
1_Year,20-29,1142228,445163,38.97
All,20-29,1469743,601209,40.91
1_Month,30-39,23339,4573,19.59
3_Month,30-39,138343,63295,45.75
6_Month,30-39,455437,135002,29.64
1_Year,30-39,1098321,489943,44.61
All,30-39,1369427,608922,44.47
1_Month,40-49,23339,4805,20.59
3_Month,40-49,135868,63703,46.89
6_Month,40-49,434166,133174,30.67
1_Year,40-49,988727,451440,45.66
All,40-49,1216589,552430,45.41
1_Month,50-59,23190,4777,20.6
3_Month,50-59,125030,60383,48.29
6_Month,50-59,385292,116882,30.34
1_Year,50-59,773206,319408,41.31
All,50-59,951755,392156,41.2
1_Month,60-69,26379,5860,22.21
3_Month,60-69,133811,65842,49.21
6_Month,60-69,355442,115807,32.58
1_Year,60-69,645244,247642,38.38
All,60-69,785114,296118,37.72
1_Month,70-79,26514,5767,21.75
3_Month,70-79,120747,59031,48.89
6_Month,70-79,258099,94627,36.66
1_Year,70-79,421344,161579,38.35
All,70-79,509119,187862,36.9
1_Month,80-89,18805,2841,15.11
3_Month,80-89,63620,26064,40.97
6_Month,80-89,104015,38960,37.46
1_Year,80-89,164030,65027,39.64
All,80-89,216566,78678,36.33
1_Month,90+,6382,814,12.75
3_Month,90+,18203,6457,35.47
6_Month,90+,25613,9404,36.72
1_Year,90+,39009,16192,41.51
All,90+,56322,20499,36.4
