date,numResultsForVirusDiagnosis,numAntigenOfficialTest
2020-02-20T00:00:00.000Z,29,0
2020-02-21T00:00:00.000Z,28,0
2020-02-22T00:00:00.000Z,13,0
2020-02-23T00:00:00.000Z,56,0
2020-02-24T00:00:00.000Z,74,0
2020-02-25T00:00:00.000Z,108,0
2020-02-26T00:00:00.000Z,108,0
2020-02-27T00:00:00.000Z,171,0
2020-02-28T00:00:00.000Z,118,0
2020-02-29T00:00:00.000Z,158,0
2020-03-01T00:00:00.000Z,178,0
2020-03-02T00:00:00.000Z,170,0
2020-03-03T00:00:00.000Z,227,0
2020-03-04T00:00:00.000Z,128,0
2020-03-05T00:00:00.000Z,165,0
2020-03-06T00:00:00.000Z,274,0
2020-03-07T00:00:00.000Z,324,0
2020-03-08T00:00:00.000Z,417,0
2020-03-09T00:00:00.000Z,515,0
2020-03-10T00:00:00.000Z,495,0
2020-03-11T00:00:00.000Z,376,0
2020-03-12T00:00:00.000Z,594,0
2020-03-13T00:00:00.000Z,689,0
2020-03-14T00:00:00.000Z,611,0
2020-03-15T00:00:00.000Z,1125,0
2020-03-16T00:00:00.000Z,1320,0
2020-03-17T00:00:00.000Z,1565,0
2020-03-18T00:00:00.000Z,1990,0
2020-03-19T00:00:00.000Z,1983,0
2020-03-20T00:00:00.000Z,2231,0
2020-03-21T00:00:00.000Z,2066,0
2020-03-22T00:00:00.000Z,3096,0
2020-03-23T00:00:00.000Z,3397,0
2020-03-24T00:00:00.000Z,4518,0
2020-03-25T00:00:00.000Z,5776,0
2020-03-26T00:00:00.000Z,6236,0
2020-03-27T00:00:00.000Z,5572,0
2020-03-28T00:00:00.000Z,5535,0
2020-03-29T00:00:00.000Z,7228,0
2020-03-30T00:00:00.000Z,6824,0
2020-03-31T00:00:00.000Z,7531,0
2020-04-01T00:00:00.000Z,8578,0
2020-04-02T00:00:00.000Z,9474,0
2020-04-03T00:00:00.000Z,9784,0
2020-04-04T00:00:00.000Z,5988,0
2020-04-05T00:00:00.000Z,8779,0
2020-04-06T00:00:00.000Z,6769,0
2020-04-07T00:00:00.000Z,6176,0
2020-04-08T00:00:00.000Z,4951,0
2020-04-09T00:00:00.000Z,5001,0
2020-04-10T00:00:00.000Z,6325,0
2020-04-11T00:00:00.000Z,5763,0
2020-04-12T00:00:00.000Z,8523,0
2020-04-13T00:00:00.000Z,9181,0
2020-04-14T00:00:00.000Z,10957,0
2020-04-15T00:00:00.000Z,7794,0
2020-04-16T00:00:00.000Z,11209,0
2020-04-17T00:00:00.000Z,9965,0
2020-04-18T00:00:00.000Z,8956,0
2020-04-19T00:00:00.000Z,9994,0
2020-04-20T00:00:00.000Z,13287,0
2020-04-21T00:00:00.000Z,11631,0
2020-04-22T00:00:00.000Z,11768,0
2020-04-23T00:00:00.000Z,12256,0
2020-04-24T00:00:00.000Z,10478,0
2020-04-25T00:00:00.000Z,7357,0
2020-04-26T00:00:00.000Z,7341,0
2020-04-27T00:00:00.000Z,9418,0
2020-04-28T00:00:00.000Z,8815,0
2020-04-29T00:00:00.000Z,7392,0
2020-04-30T00:00:00.000Z,8592,0
2020-05-01T00:00:00.000Z,9220,0
2020-05-02T00:00:00.000Z,4760,0
2020-05-03T00:00:00.000Z,7398,0
2020-05-04T00:00:00.000Z,7955,0
2020-05-05T00:00:00.000Z,7689,0
2020-05-06T00:00:00.000Z,8545,0
2020-05-07T00:00:00.000Z,9130,0
2020-05-08T00:00:00.000Z,7187,0
2020-05-09T00:00:00.000Z,3509,0
2020-05-10T00:00:00.000Z,4410,0
2020-05-11T00:00:00.000Z,7826,0
2020-05-12T00:00:00.000Z,6681,0
2020-05-13T00:00:00.000Z,7525,0
2020-05-14T00:00:00.000Z,7677,0
2020-05-15T00:00:00.000Z,5073,0
2020-05-16T00:00:00.000Z,1343,0
2020-05-17T00:00:00.000Z,4219,0
2020-05-18T00:00:00.000Z,6797,0
2020-05-19T00:00:00.000Z,6502,0
2020-05-20T00:00:00.000Z,5620,0
2020-05-21T00:00:00.000Z,5603,0
2020-05-22T00:00:00.000Z,4615,0
2020-05-23T00:00:00.000Z,670,0
2020-05-24T00:00:00.000Z,3439,0
2020-05-25T00:00:00.000Z,4850,0
2020-05-26T00:00:00.000Z,6514,0
2020-05-27T00:00:00.000Z,6441,0
2020-05-28T00:00:00.000Z,5031,0
2020-05-29T00:00:00.000Z,1803,0
2020-05-30T00:00:00.000Z,1041,0
2020-05-31T00:00:00.000Z,5499,0
2020-06-01T00:00:00.000Z,7907,0
2020-06-02T00:00:00.000Z,11577,0
2020-06-03T00:00:00.000Z,13042,0
2020-06-04T00:00:00.000Z,14728,0
2020-06-05T00:00:00.000Z,16351,0
2020-06-06T00:00:00.000Z,11442,0
2020-06-07T00:00:00.000Z,14892,0
2020-06-08T00:00:00.000Z,14488,0
2020-06-09T00:00:00.000Z,14867,0
2020-06-10T00:00:00.000Z,18166,0
2020-06-11T00:00:00.000Z,15565,0
2020-06-12T00:00:00.000Z,12880,0
2020-06-13T00:00:00.000Z,6847,0
2020-06-14T00:00:00.000Z,8635,0
2020-06-15T00:00:00.000Z,14109,0
2020-06-16T00:00:00.000Z,15924,0
2020-06-17T00:00:00.000Z,15639,0
2020-06-18T00:00:00.000Z,16946,0
2020-06-19T00:00:00.000Z,12450,0
2020-06-20T00:00:00.000Z,5780,0
2020-06-21T00:00:00.000Z,8915,0
2020-06-22T00:00:00.000Z,13464,0
2020-06-23T00:00:00.000Z,19165,0
2020-06-24T00:00:00.000Z,17875,0
2020-06-25T00:00:00.000Z,17984,0
2020-06-26T00:00:00.000Z,16121,0
2020-06-27T00:00:00.000Z,10057,0
2020-06-28T00:00:00.000Z,9901,0
2020-06-29T00:00:00.000Z,20266,0
2020-06-30T00:00:00.000Z,20170,0
2020-07-01T00:00:00.000Z,20842,0
2020-07-02T00:00:00.000Z,24279,0
2020-07-03T00:00:00.000Z,20485,0
2020-07-04T00:00:00.000Z,16717,0
2020-07-05T00:00:00.000Z,20294,0
2020-07-06T00:00:00.000Z,24762,0
2020-07-07T00:00:00.000Z,27721,0
2020-07-08T00:00:00.000Z,28611,0
2020-07-09T00:00:00.000Z,28961,0
2020-07-10T00:00:00.000Z,24781,0
2020-07-11T00:00:00.000Z,19266,0
2020-07-12T00:00:00.000Z,20310,0
2020-07-13T00:00:00.000Z,27506,0
2020-07-14T00:00:00.000Z,30031,0
2020-07-15T00:00:00.000Z,27943,0
2020-07-16T00:00:00.000Z,28535,0
2020-07-17T00:00:00.000Z,23639,0
2020-07-18T00:00:00.000Z,18230,0
2020-07-19T00:00:00.000Z,17898,0
2020-07-20T00:00:00.000Z,24542,0
2020-07-21T00:00:00.000Z,26815,0
2020-07-22T00:00:00.000Z,25761,0
2020-07-23T00:00:00.000Z,29329,0
2020-07-24T00:00:00.000Z,22787,0
2020-07-25T00:00:00.000Z,14658,0
2020-07-26T00:00:00.000Z,11449,0
2020-07-27T00:00:00.000Z,27311,0
2020-07-28T00:00:00.000Z,25812,0
2020-07-29T00:00:00.000Z,25507,0
2020-07-30T00:00:00.000Z,21303,0
2020-07-31T00:00:00.000Z,22174,0
2020-08-01T00:00:00.000Z,7483,0
2020-08-02T00:00:00.000Z,9633,0
2020-08-03T00:00:00.000Z,22643,0
2020-08-04T00:00:00.000Z,25144,0
2020-08-05T00:00:00.000Z,24953,0
2020-08-06T00:00:00.000Z,27921,0
2020-08-07T00:00:00.000Z,24574,0
2020-08-08T00:00:00.000Z,8148,0
2020-08-09T00:00:00.000Z,11591,0
2020-08-10T00:00:00.000Z,23475,0
2020-08-11T00:00:00.000Z,26652,0
2020-08-12T00:00:00.000Z,25337,0
2020-08-13T00:00:00.000Z,27892,0
2020-08-14T00:00:00.000Z,20116,0
2020-08-15T00:00:00.000Z,8869,0
2020-08-16T00:00:00.000Z,11674,0
2020-08-17T00:00:00.000Z,24984,0
2020-08-18T00:00:00.000Z,26839,0
2020-08-19T00:00:00.000Z,27343,0
2020-08-20T00:00:00.000Z,27902,0
2020-08-21T00:00:00.000Z,26409,0
2020-08-22T00:00:00.000Z,10551,0
2020-08-23T00:00:00.000Z,12629,0
2020-08-24T00:00:00.000Z,28906,0
2020-08-25T00:00:00.000Z,32912,0
2020-08-26T00:00:00.000Z,33191,0
2020-08-27T00:00:00.000Z,35357,0
2020-08-28T00:00:00.000Z,22426,0
2020-08-29T00:00:00.000Z,10179,0
2020-08-30T00:00:00.000Z,12950,0
2020-08-31T00:00:00.000Z,30743,0
2020-09-01T00:00:00.000Z,27604,0
2020-09-02T00:00:00.000Z,34710,0
2020-09-03T00:00:00.000Z,34057,0
2020-09-04T00:00:00.000Z,30802,0
2020-09-05T00:00:00.000Z,15327,0
2020-09-06T00:00:00.000Z,18761,0
2020-09-07T00:00:00.000Z,40123,0
2020-09-08T00:00:00.000Z,44527,0
2020-09-09T00:00:00.000Z,45217,0
2020-09-10T00:00:00.000Z,47465,0
2020-09-11T00:00:00.000Z,42866,0
2020-09-12T00:00:00.000Z,29833,0
2020-09-13T00:00:00.000Z,33934,0
2020-09-14T00:00:00.000Z,47255,0
2020-09-15T00:00:00.000Z,56393,0
2020-09-16T00:00:00.000Z,53043,0
2020-09-17T00:00:00.000Z,57545,0
2020-09-18T00:00:00.000Z,53294,0
2020-09-19T00:00:00.000Z,41832,0
2020-09-20T00:00:00.000Z,23536,0
2020-09-21T00:00:00.000Z,33502,0
2020-09-22T00:00:00.000Z,61271,0
2020-09-23T00:00:00.000Z,57840,0
2020-09-24T00:00:00.000Z,66282,0
2020-09-25T00:00:00.000Z,61314,0
2020-09-26T00:00:00.000Z,45102,0
2020-09-27T00:00:00.000Z,24234,0
2020-09-28T00:00:00.000Z,7704,0
2020-09-29T00:00:00.000Z,33235,0
2020-09-30T00:00:00.000Z,67866,0
2020-10-01T00:00:00.000Z,63813,0
2020-10-02T00:00:00.000Z,59992,0
2020-10-03T00:00:00.000Z,23575,0
2020-10-04T00:00:00.000Z,24908,0
2020-10-05T00:00:00.000Z,49896,0
2020-10-06T00:00:00.000Z,44884,0
2020-10-07T00:00:00.000Z,46658,0
2020-10-08T00:00:00.000Z,47356,0
2020-10-09T00:00:00.000Z,35310,0
2020-10-10T00:00:00.000Z,12320,0
2020-10-11T00:00:00.000Z,21402,2
2020-10-12T00:00:00.000Z,44536,0
2020-10-13T00:00:00.000Z,42638,0
2020-10-14T00:00:00.000Z,38878,0
2020-10-15T00:00:00.000Z,35663,0
2020-10-16T00:00:00.000Z,33096,0
2020-10-17T00:00:00.000Z,14285,0
2020-10-18T00:00:00.000Z,26199,0
2020-10-19T00:00:00.000Z,40071,0
2020-10-20T00:00:00.000Z,40782,0
2020-10-21T00:00:00.000Z,41698,0
2020-10-22T00:00:00.000Z,33910,0
2020-10-23T00:00:00.000Z,29448,0
2020-10-24T00:00:00.000Z,6334,0
2020-10-25T00:00:00.000Z,20891,0
2020-10-26T00:00:00.000Z,39606,0
2020-10-27T00:00:00.000Z,40422,0
2020-10-28T00:00:00.000Z,34031,0
2020-10-29T00:00:00.000Z,36627,0
2020-10-30T00:00:00.000Z,31858,0
2020-10-31T00:00:00.000Z,7746,0
2020-11-01T00:00:00.000Z,22018,0
2020-11-02T00:00:00.000Z,34814,0
2020-11-03T00:00:00.000Z,40508,0
2020-11-04T00:00:00.000Z,38965,0
2020-11-05T00:00:00.000Z,34682,0
2020-11-06T00:00:00.000Z,30886,0
2020-11-07T00:00:00.000Z,8111,0
2020-11-08T00:00:00.000Z,21639,0
2020-11-09T00:00:00.000Z,34579,0
2020-11-10T00:00:00.000Z,40882,0
2020-11-11T00:00:00.000Z,39767,0
2020-11-12T00:00:00.000Z,39604,0
2020-11-13T00:00:00.000Z,35239,0
2020-11-14T00:00:00.000Z,12721,0
2020-11-15T00:00:00.000Z,23418,0
2020-11-16T00:00:00.000Z,47297,0
2020-11-17T00:00:00.000Z,51973,0
2020-11-18T00:00:00.000Z,44164,0
2020-11-19T00:00:00.000Z,52330,0
2020-11-20T00:00:00.000Z,43131,0
2020-11-21T00:00:00.000Z,15654,0
2020-11-22T00:00:00.000Z,33930,0
2020-11-23T00:00:00.000Z,51182,0
2020-11-24T00:00:00.000Z,56903,0
2020-11-25T00:00:00.000Z,58279,0
2020-11-26T00:00:00.000Z,51922,0
2020-11-27T00:00:00.000Z,47578,0
2020-11-28T00:00:00.000Z,17274,0
2020-11-29T00:00:00.000Z,38963,0
2020-11-30T00:00:00.000Z,57345,0
2020-12-01T00:00:00.000Z,62128,0
2020-12-02T00:00:00.000Z,70146,0
2020-12-03T00:00:00.000Z,63360,0
2020-12-04T00:00:00.000Z,60193,0
2020-12-05T00:00:00.000Z,25501,0
2020-12-06T00:00:00.000Z,42029,0
2020-12-07T00:00:00.000Z,66340,0
2020-12-08T00:00:00.000Z,69271,0
2020-12-09T00:00:00.000Z,73390,0
2020-12-10T00:00:00.000Z,75787,0
2020-12-11T00:00:00.000Z,75420,0
2020-12-12T00:00:00.000Z,44298,0
2020-12-13T00:00:00.000Z,50869,0
2020-12-14T00:00:00.000Z,72907,0
2020-12-15T00:00:00.000Z,83022,0
2020-12-16T00:00:00.000Z,83226,0
2020-12-17T00:00:00.000Z,79613,0
2020-12-18T00:00:00.000Z,75984,0
2020-12-19T00:00:00.000Z,61475,0
2020-12-20T00:00:00.000Z,70897,0
2020-12-21T00:00:00.000Z,92025,0
2020-12-22T00:00:00.000Z,93358,0
2020-12-23T00:00:00.000Z,96842,0
2020-12-24T00:00:00.000Z,98057,0
2020-12-25T00:00:00.000Z,85573,0
2020-12-26T00:00:00.000Z,63261,0
2020-12-27T00:00:00.000Z,70641,0
