name,isShown,info,tile_name,api_endpoints_name
HospitalizedStatusAndOccupancy,0,,התפלגות מיטות וסטטוס חולים  ,
VerfiiedVaccinationStatusDaily,1,"המספר היומי של נדבקים בנגיף COVID-19, לפי מצב התחסנות.

ל-100K תושבים - שכיחות הנדבקים לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",פילוח סטטוס התחסנות למאומתים יומי ,
SeriousVaccinationStatusDaily,1,"המספר היומי של חולים במחלת נגיף COVID-19 במצב קשה (כולל במצב קריטי), לאורך זמן, המאושפזים בבתי חולים לאשפוז כללי, לפי מצב התחסנות.

ל-100K תושבים - שכיחות החולים קשה  לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

חולים קשה – פעילים: מספר החולים במצב קשה וקריטי בסוף כל יום.

חולים קשה – חדשים: מספר החולים במצב קשה וקריטי שיום קודם הוגדרו במצב רפואי אחר.

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",פילוח סטטוס התחסנות לחולים קשה יומי ,
VaccinationStatusAgg,1,"פילוח של מספר החולים הפעילים וחולים קשה במחלת נגיף COVID-19, לפי קבוצות גיל באוכלוסייה ולפי מצבי התחסנות בכל קבוצת גיל.

לאור גידול באוכלוסייה בקבוצות הגיל בישראל, חל עדכון בתמונת נתונים המוצגת. נתוני אוכלוסיה כעת מתייחסים לאפריל 2021. 

ל-100K תושבים - שכיחות החולים לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

חולים פעילים - הם כל מי שנבדקו ונמצאו חיוביים לנגיף COVID-19, ללא קשר להופעת תסמינים, שלא קיבלו עדיין תוצאה שלילית לנגיף בבדיקות נוספות ושלא נפטרו.

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",פילוח סטטוס התחסנות לחולים פעילים וקשה לפי גיל ,
infectedByAgeAndGender,1,"פילוח המאומתים לנגיף COVID-19 לפי קבוצות גיל באוכלוסייה ולפי פילוח זכר ונקבה
ניתן לסנן את נתוני המאומתים לפי קבוצות: חולים קשה, מונשמים ונפטרים ",פילוח לפי גיל ומגדר,
sumSettlementsByColor,1,"פילוח צבעי הרמזור של ישובים בהם יותר מ-2,000 תושבים, לאורך ציר הזמן.
הנתונים מבוססים על הציון היומי המחושב לכל ישוב.
ציר הגובה מייצג את מספר היישובים וציר הרוחב הוא הזמן.",פילוח ציוני רמזור ישובים,
vaccinatedByAge,1,"אחוז מקבלי החיסון לפי מצבי התחסנות מכלל האוכלוסיה, לפי קבוצות גיל: מחוסנים, מחוסנים ללא תוקף ולא מחוסנים.  

ניתן גם להציג את אחוז מקבלי חיסון לפי מספרי המנות.

בתצוגה של התפלגות לפי מנות חיסון, גיל המחוסנים המוצג הוא נכון לזמן החיסון.
בתצוגה של התפלגות לפי מצבי התחסנות, גיל המחוסנים המוצג הוא נכון למועד הצגת הנתונים. 

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
 ",אחוז מתחסנים לפי קבוצת גיל ,
positiveTestsPercentage,1,"אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך כלל הנבדקים. 
נבדק - מי שעבר בדיקת PCR (בדיקת מטוש) לגילוי נגיף נגיף COVID-19 (ללא בדיקות נלוות לקביעת החלמה).",אחוז הנבדקים החיוביים ,
positiveTestsDaily,1,"המספר היומי של בדיקות PCR (בדיקות מטוש) שבוצעו.
החישוב כולל רק בדיקות ראשונות לגילוי הנגיף (ללא בדיקות חוזרות).",מספר בדיקות קורונה יומיות,
newHardSickDaily,1,"מספר החולים במחלת נגיף COVID-19 שהוגדרו במצב קשה או קריטי שיום קודם הוגדרו במצב רפואי אחר (כולל חולים שחזרו למצב קשה).
חולה קשה - מי ש חולה במחלת נגיף COVID-19 ושהוגדר במצב קשה או קריטי על ידי מערכת הבריאות.",חולים קשה חדשים - שינוי יומי ,
