day_date,age_group,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,verified_amount_vaccinated,verified_amount_vaccinated_procces,verified_amount_not_vaccinated,verified_vaccinated_normalized,verified_vaccinated_procces_normalized,verified_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized,New_Serious_amount_vaccinated,New_Serious_amount_vaccinated_procces,New_Serious_amount_not_vaccinated,New_Serious_vaccinated_normalized,New_Serious_vaccinated_procces_normalized,New_Serious_not_vaccinated_normalized,Death_amount_vaccinated,Death_amount_vaccinated_procces,Death_amount_not_vaccinated,Death_vaccinated_normalized,Death_vaccinated_procces_normalized,Death_not_vaccinated_normalized,boost_vaccinated_amount_cum,verified_boost_vaccinated_normalized,Serious_boost_vaccinated_normalized,New_Serious_boost_vaccinated_normalized,verified_amount_boost_vaccinated,Serious_amount_boost_vaccinated,New_Serious_amount_boost_vaccinated,Death_amount_boost_vaccinated,Death_amount_boost_vaccinated_normalized
2020-12-21T00:00:00.000Z,מעל גיל 60,0,14373,1414851,0,0,435,0,0,30.7,0,0,373,0,0,26.4,,,,,,,,,,,,,,,,,,,,,
2020-12-21T00:00:00.000Z,כלל האוכלוסיה,0,32324,9259416,0,0,3856,0,0,41.6,0,0,485,0,0,5.2,,,,,,,,,,,,,,,,,,,,,
2020-12-21T00:00:00.000Z,מתחת לגיל 60,0,17951,7844565,0,0,3369,0,0,42.9,0,0,112,0,0,1.4,,,,,,,,,,,,,,,,,,,,,
2020-12-22T00:00:00.000Z,כלל האוכלוסיה,0,76945,9214795,0,9,4372,0,11.7,47.4,0,0,509,0,0,5.5,,,,,,,,,,,,,,,,,,,,,
2020-12-22T00:00:00.000Z,מעל גיל 60,0,42924,1386300,0,0,479,0,0,34.6,0,0,396,0,0,28.6,,,,,,,,,,,,,,,,,,,,,
2020-12-22T00:00:00.000Z,מתחת לגיל 60,0,34014,7828502,0,9,3857,0,26.5,49.3,0,0,113,0,0,1.4,,,,,,,,,,,,,,,,,,,,,
2020-12-23T00:00:00.000Z,כלל האוכלוסיה,0,139792,9151948,0,19,4017,0,13.6,43.9,0,0,507,0,0,5.5,,,,,,,,,,,,,,,,,,,,,
2020-12-23T00:00:00.000Z,מעל גיל 60,0,86995,1342229,0,4,486,0,4.6,36.2,0,0,383,0,0,28.5,,,,,,,,,,,,,,,,,,,,,
2020-12-23T00:00:00.000Z,מתחת לגיל 60,0,52775,7809741,0,15,3507,0,28.4,44.9,0,0,124,0,0,1.6,,,,,,,,,,,,,,,,,,,,,
2020-12-24T00:00:00.000Z,מתחת לגיל 60,0,72318,7790198,0,25,3524,0,34.6,45.2,0,0,128,0,0,1.6,,,,,,,,,,,,,,,,,,,,,
2020-12-24T00:00:00.000Z,כלל האוכלוסיה,0,213135,9078605,0,34,4020,0,16,44.3,0,0,524,0,0,5.8,,,,,,,,,,,,,,,,,,,,,
2020-12-24T00:00:00.000Z,מעל גיל 60,0,140794,1288430,0,9,475,0,6.4,36.9,0,0,396,0,0,30.7,,,,,,,,,,,,,,,,,,,,,
2020-12-25T00:00:00.000Z,כלל האוכלוסיה,0,251597,9040143,0,34,3978,0,13.5,44,0,0,551,0,0,6.1,,,,,,,,,,,,,,,,,,,,,
2020-12-25T00:00:00.000Z,מתחת לגיל 60,0,81139,7781377,0,21,3539,0,25.9,45.5,0,0,143,0,0,1.8,,,,,,,,,,,,,,,,,,,,,
2020-12-25T00:00:00.000Z,מעל גיל 60,0,170426,1258798,0,13,424,0,7.6,33.7,0,0,408,0,0,32.4,,,,,,,,,,,,,,,,,,,,,
2020-12-26T00:00:00.000Z,מתחת לגיל 60,0,88022,7774494,0,24,2259,0,27.3,29.1,0,0,153,0,0,2,,,,,,,,,,,,,,,,,,,,,
2020-12-26T00:00:00.000Z,מעל גיל 60,0,196125,1233099,0,12,354,0,6.1,28.7,0,0,421,0,0,34.1,,,,,,,,,,,,,,,,,,,,,
2020-12-26T00:00:00.000Z,כלל האוכלוסיה,0,284179,9007561,0,36,2623,0,12.7,29.1,0,0,574,0,0,6.4,,,,,,,,,,,,,,,,,,,,,
2020-12-27T00:00:00.000Z,מעל גיל 60,0,268182,1161042,0,20,398,0,7.5,34.3,0,0,442,0,0,38.1,,,,,,,,,,,,,,,,,,,,,
2020-12-27T00:00:00.000Z,כלל האוכלוסיה,2,388589,8903149,0,77,3451,0,19.8,38.8,0,0,610,0,0,6.9,,,,,,,,,,,,,,,,,,,,,
2020-12-27T00:00:00.000Z,מתחת לגיל 60,2,120326,7742188,0,56,3028,0,46.5,39.1,0,0,168,0,0,2.2,,,,,,,,,,,,,,,,,,,,,
2020-12-28T00:00:00.000Z,כלל האוכלוסיה,3,523448,8768289,0,115,5404,0,22,61.6,0,1,610,0,0.2,7,,,,,,,,,,,,,,,,,,,,,
2020-12-28T00:00:00.000Z,מעל גיל 60,0,352520,1076704,0,47,553,0,13.3,51.4,0,1,444,0,0.3,41.2,,,,,,,,,,,,,,,,,,,,,
2020-12-28T00:00:00.000Z,מתחת לגיל 60,3,170810,7691703,0,68,4806,0,39.8,62.5,0,0,166,0,0,2.2,,,,,,,,,,,,,,,,,,,,,
2020-12-29T00:00:00.000Z,כלל האוכלוסיה,9,679489,8612242,0,164,5475,0,24.1,63.6,0,2,630,0,0.3,7.3,,,,,,,,,,,,,,,,,,,,,
2020-12-29T00:00:00.000Z,מעל גיל 60,0,447708,981516,0,64,512,0,14.3,52.2,0,2,463,0,0.4,47.2,,,,,,,,,,,,,,,,,,,,,
2020-12-29T00:00:00.000Z,מתחת לגיל 60,9,231615,7630892,0,100,4926,0,43.2,64.6,0,0,167,0,0,2.2,,,,,,,,,,,,,,,,,,,,,
2020-12-30T00:00:00.000Z,מעל גיל 60,5,536420,892799,0,113,473,0,21.1,53,0,8,478,0,1.5,53.5,,,,,,,,,,,,,,,,,,,,,
2020-12-30T00:00:00.000Z,מתחת לגיל 60,24,295668,7566824,0,174,5081,0,58.8,67.1,0,1,172,0,0.3,2.3,,,,,,,,,,,,,,,,,,,,,
2020-12-30T00:00:00.000Z,כלל האוכלוסיה,29,832286,8459425,0,288,5579,0,34.6,66,0,9,650,0,1.1,7.7,,,,,,,,,,,,,,,,,,,,,
2020-12-31T00:00:00.000Z,מעל גיל 60,12,617443,811769,0,146,438,0,23.6,54,0,7,516,0,1.1,63.6,,,,,,,,,,,,,,,,,,,,,
2020-12-31T00:00:00.000Z,כלל האוכלוסיה,44,990553,8301143,0,352,5523,0,35.5,66.5,0,9,692,0,0.9,8.3,,,,,,,,,,,,,,,,,,,,,
2020-12-31T00:00:00.000Z,מתחת לגיל 60,32,372875,7489609,0,206,5022,0,55.2,67.1,0,2,176,0,0.5,2.3,,,,,,,,,,,,,,,,,,,,,
2021-01-01T00:00:00.000Z,מתחת לגיל 60,34,409239,7453243,0,234,5106,0,57.2,68.5,0,2,186,0,0.5,2.5,,,,,,,,,,,,,,,,,,,,,
2021-01-01T00:00:00.000Z,מעל גיל 60,17,652331,776876,0,192,444,0,29.4,57.2,0,17,523,0,2.6,67.3,,,,,,,,,,,,,,,,,,,,,
2021-01-01T00:00:00.000Z,כלל האוכלוסיה,51,1061814,8229875,0,426,5595,0,40.1,68,0,19,709,0,1.8,8.6,,,,,,,,,,,,,,,,,,,,,
2021-01-02T00:00:00.000Z,כלל האוכלוסיה,53,1133448,8158239,0,344,3875,0,30.3,47.5,0,25,715,0,2.2,8.8,,,,,,,,,,,,,,,,,,,,,
2021-01-02T00:00:00.000Z,מתחת לגיל 60,35,451308,7411173,0,180,3552,0,39.9,47.9,0,2,181,0,0.4,2.4,,,,,,,,,,,,,,,,,,,,,
2021-01-02T00:00:00.000Z,מעל גיל 60,18,681880,747326,0,164,303,0,24.1,40.5,0,23,534,0,3.4,71.5,,,,,,,,,,,,,,,,,,,,,
2021-01-03T00:00:00.000Z,כלל האוכלוסיה,87,1282882,8008771,0,554,4676,0,43.2,58.4,0,36,756,0,2.8,9.4,,,,,,,,,,,,,,,,,,,,,
2021-01-03T00:00:00.000Z,מעל גיל 60,30,753479,675715,0,242,342,0,32.1,50.6,0,33,574,0,4.4,84.9,,,,,,,,,,,,,,,,,,,,,
2021-01-03T00:00:00.000Z,מתחת לגיל 60,57,529135,7333324,0,311,4301,0,58.8,58.7,0,3,182,0,0.6,2.5,,,,,,,,,,,,,,,,,,,,,
2021-01-04T00:00:00.000Z,מתחת לגיל 60,85,615743,7246688,0,498,7046,0,80.9,97.2,0,4,179,0,0.6,2.5,,,,,,,,,,,,,,,,,,,,,
2021-01-04T00:00:00.000Z,מעל גיל 60,48,818723,610453,0,373,407,0,45.6,66.7,0,49,592,0,6,97,,,,,,,,,,,,,,,,,,,,,
2021-01-04T00:00:00.000Z,כלל האוכלוסיה,133,1434740,7856867,0,876,7532,0,61.1,95.9,0,53,771,0,3.7,9.8,,,,,,,,,,,,,,,,,,,,,
2021-01-05T00:00:00.000Z,כלל האוכלוסיה,202,1559583,7731955,0,829,7408,0,53.2,95.8,0,78,785,0,5,10.2,,,,,,,,,,,,,,,,,,,,,
2021-01-05T00:00:00.000Z,מעל גיל 60,81,876311,552832,0,340,411,0,38.8,74.3,0,71,600,0,8.1,108.5,,,,,,,,,,,,,,,,,,,,,
2021-01-05T00:00:00.000Z,מתחת לגיל 60,121,682993,7179402,0,488,6944,0,71.5,96.7,0,7,185,0,1,2.6,,,,,,,,,,,,,,,,,,,,,
2021-01-06T00:00:00.000Z,מתחת לגיל 60,172,737899,7124445,0,542,6455,0,73.5,90.6,0,14,198,0,1.9,2.8,,,,,,,,,,,,,,,,,,,,,
2021-01-06T00:00:00.000Z,כלל האוכלוסיה,284,1662612,7628844,0,942,6937,0,56.7,90.9,0,102,801,0,6.1,10.5,,,,,,,,,,,,,,,,,,,,,
2021-01-06T00:00:00.000Z,מעל גיל 60,112,924432,504680,0,397,421,0,42.9,83.4,0,88,603,0,9.5,119.5,,,,,,,,,,,,,,,,,,,,,
