age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,9,29,74,161.2,12.9,7.8,0,0,0,0,0,0
12-15,8,41,22,140.4,12.6,7.9,0,0,0,0,0,0
16-19,9,161,24,246.6,36.7,17.7,0,0,0,0,0,0
20-29,15,359,41,142.2,32.1,24.4,0,0,1,0,0,0.6
30-39,17,341,61,160.3,32.3,49.1,0,0,0,0,0,0
40-49,19,398,55,146.5,40.2,57.4,0,1,0,0,0.1,0
50-59,23,446,40,138.2,56,75.4,1,3,5,6,0.4,9.4
60-69,60,1032,63,277.6,155.6,113.7,0,10,3,0,1.5,5.4
70-79,105,1235,66,554.5,253.3,546.9,2,17,3,10.6,3.5,24.9
80+,42,898,62,459.9,353.6,410.7,2,29,5,21.9,11.4,33.1
