day_date,age_group,verified_amount_vaccinated,verified_amount_expired,verified_amount_not_vaccinated,verified_vaccinated_normalized,verified_expired_normalized,verified_not_vaccinated_normalized
2021-01-17T00:00:00.000Z,כלל האוכלוסיה,1,0,4712,4.5,0,65.1
2021-01-17T00:00:00.000Z,מעל גיל 60,0,0,243,0,0,52.5
2021-01-17T00:00:00.000Z,מתחת לגיל 60,1,0,4436,7.4,0,65.2
2021-01-18T00:00:00.000Z,כלל האוכלוסיה,7,0,8710,16.6,0,121.5
2021-01-18T00:00:00.000Z,מתחת לגיל 60,3,0,8294,13,0,123.1
2021-01-18T00:00:00.000Z,מעל גיל 60,4,0,346,21,0,75.8
2021-01-19T00:00:00.000Z,מתחת לגיל 60,6,0,6955,16.7,0,104.2
2021-01-19T00:00:00.000Z,מעל גיל 60,2,0,319,4.7,0,70.9
2021-01-19T00:00:00.000Z,כלל האוכלוסיה,8,0,7323,10.2,0,103.2
2021-01-20T00:00:00.000Z,כלל האוכלוסיה,18,0,7153,13.2,0,101.9
2021-01-20T00:00:00.000Z,מעל גיל 60,9,0,324,10.8,0,73.1
2021-01-20T00:00:00.000Z,מתחת לגיל 60,9,0,6788,17.2,0,102.8
2021-01-21T00:00:00.000Z,מתחת לגיל 60,16,0,5913,22.9,0,90.4
2021-01-21T00:00:00.000Z,כלל האוכלוסיה,26,0,6253,12.6,0,90
2021-01-21T00:00:00.000Z,מעל גיל 60,10,0,298,7.4,0,68.3
2021-01-22T00:00:00.000Z,כלל האוכלוסיה,25,0,6313,10.3,0,91.3
2021-01-22T00:00:00.000Z,מתחת לגיל 60,7,0,6030,9,0,92.7
2021-01-22T00:00:00.000Z,מעל גיל 60,17,0,254,10.4,0,58.7
2021-01-23T00:00:00.000Z,מעל גיל 60,7,0,121,3.8,0,28.1
2021-01-23T00:00:00.000Z,מתחת לגיל 60,5,0,1871,6.1,0,28.9
2021-01-23T00:00:00.000Z,כלל האוכלוסיה,12,0,2010,4.5,0,29.2
2021-01-24T00:00:00.000Z,מעל גיל 60,21,0,193,8.5,0,45.6
2021-01-24T00:00:00.000Z,כלל האוכלוסיה,29,0,4081,8.2,0,60
2021-01-24T00:00:00.000Z,מתחת לגיל 60,8,0,3855,7.7,0,60.2
2021-01-25T00:00:00.000Z,מתחת לגיל 60,23,0,7029,16,0,111
2021-01-25T00:00:00.000Z,כלל האוכלוסיה,73,0,7381,15.3,0,109.8
2021-01-25T00:00:00.000Z,מעל גיל 60,50,0,320,15.2,0,76.8
2021-01-26T00:00:00.000Z,כלל האוכלוסיה,95,0,6610,15.5,0,99.5
2021-01-26T00:00:00.000Z,מעל גיל 60,66,0,299,15.8,0,72.9
2021-01-26T00:00:00.000Z,מתחת לגיל 60,29,0,6262,15.2,0,100
2021-01-27T00:00:00.000Z,מעל גיל 60,78,0,263,15.4,0,65.1
2021-01-27T00:00:00.000Z,כלל האוכלוסיה,121,0,6451,16,0,98.2
2021-01-27T00:00:00.000Z,מתחת לגיל 60,43,0,6106,17.5,0,98.7
2021-01-28T00:00:00.000Z,כלל האוכלוסיה,173,0,5874,18.8,0,90.5
2021-01-28T00:00:00.000Z,מעל גיל 60,119,0,278,19.9,0,69.7
2021-01-28T00:00:00.000Z,מתחת לגיל 60,54,0,5556,17.1,0,90.8
2021-01-29T00:00:00.000Z,מתחת לגיל 60,39,0,5331,11.2,0,87.7
2021-01-29T00:00:00.000Z,כלל האוכלוסיה,130,0,5566,13.1,0,86.3
2021-01-29T00:00:00.000Z,מעל גיל 60,91,0,205,14.3,0,51.7
2021-01-30T00:00:00.000Z,מתחת לגיל 60,11,0,2016,2.9,0,33.3
2021-01-30T00:00:00.000Z,מעל גיל 60,26,0,114,3.9,0,28.9
2021-01-30T00:00:00.000Z,כלל האוכלוסיה,37,0,2143,3.5,0,33.4
2021-01-31T00:00:00.000Z,מעל גיל 60,59,0,157,8,0,40.3
2021-01-31T00:00:00.000Z,כלל האוכלוסיה,105,0,4115,8.8,0,64.9
2021-01-31T00:00:00.000Z,מתחת לגיל 60,46,0,3938,10.4,0,65.8
2021-02-01T00:00:00.000Z,כלל האוכלוסיה,218,0,7261,16.4,0,116
2021-02-01T00:00:00.000Z,מעל גיל 60,132,0,287,16.5,0,74.7
2021-02-01T00:00:00.000Z,מתחת לגיל 60,86,0,6942,16.7,0,117.6
2021-02-02T00:00:00.000Z,מעל גיל 60,133,0,287,15.5,0,75.8
2021-02-02T00:00:00.000Z,מתחת לגיל 60,92,0,6197,15.8,0,106.1
2021-02-02T00:00:00.000Z,כלל האוכלוסיה,225,0,6527,15.5,0,105.4
2021-02-03T00:00:00.000Z,מעל גיל 60,91,0,232,10,0,62.2
2021-02-03T00:00:00.000Z,כלל האוכלוסיה,178,0,6070,11.3,0,99
2021-02-03T00:00:00.000Z,מתחת לגיל 60,87,0,5779,13.4,0,99.9
2021-02-04T00:00:00.000Z,כלל האוכלוסיה,198,0,5983,11.6,0,98.7
2021-02-04T00:00:00.000Z,מתחת לגיל 60,77,0,5690,10.7,0,99.5
2021-02-04T00:00:00.000Z,מעל גיל 60,121,0,251,12.5,0,68
2021-02-05T00:00:00.000Z,כלל האוכלוסיה,170,0,5353,9.6,0,88.8
2021-02-05T00:00:00.000Z,מתחת לגיל 60,78,0,5082,10.2,0,89.4
2021-02-05T00:00:00.000Z,מעל גיל 60,91,0,240,9.2,0,65.4
2021-02-06T00:00:00.000Z,מתחת לגיל 60,32,0,2003,4,0,35.3
2021-02-06T00:00:00.000Z,כלל האוכלוסיה,66,0,2145,3.6,0,35.7
2021-02-06T00:00:00.000Z,מעל גיל 60,34,0,133,3.4,0,36.4
2021-02-07T00:00:00.000Z,מעל גיל 60,72,0,157,7,0,43.4
2021-02-07T00:00:00.000Z,מתחת לגיל 60,65,0,3463,7.8,0,61.6
2021-02-07T00:00:00.000Z,כלל האוכלוסיה,137,0,3631,7.3,0,61
2021-02-08T00:00:00.000Z,מתחת לגיל 60,69,0,6167,8,0,110.9
2021-02-08T00:00:00.000Z,כלל האוכלוסיה,177,0,6479,9.2,0,110
2021-02-08T00:00:00.000Z,מעל גיל 60,108,0,284,10.4,0,79.3
2021-02-09T00:00:00.000Z,מעל גיל 60,83,0,240,8,0,67.9
2021-02-09T00:00:00.000Z,כלל האוכלוסיה,149,0,5077,7.7,0,87.1
2021-02-09T00:00:00.000Z,מתחת לגיל 60,66,0,4809,7.5,0,87.4
2021-02-10T00:00:00.000Z,מעל גיל 60,57,0,214,5.4,0,61.4
2021-02-10T00:00:00.000Z,כלל האוכלוסיה,110,0,4717,5.5,0,82
2021-02-10T00:00:00.000Z,מתחת לגיל 60,53,0,4467,5.7,0,82.2
2021-02-11T00:00:00.000Z,כלל האוכלוסיה,98,0,4282,4.8,0,75.5
2021-02-11T00:00:00.000Z,מתחת לגיל 60,51,0,4048,5.2,0,75.5
2021-02-11T00:00:00.000Z,מעל גיל 60,47,0,209,4.4,0,60.8
2021-02-12T00:00:00.000Z,מתחת לגיל 60,52,0,3669,5.2,0,68.9
2021-02-12T00:00:00.000Z,מעל גיל 60,40,0,181,3.7,0,53.1
2021-02-12T00:00:00.000Z,כלל האוכלוסיה,92,0,3874,4.4,0,68.7
2021-02-13T00:00:00.000Z,מתחת לגיל 60,14,0,1496,1.4,0,28.2
2021-02-13T00:00:00.000Z,כלל האוכלוסיה,29,0,1579,1.4,0,28.2
2021-02-13T00:00:00.000Z,מעל גיל 60,15,0,72,1.4,0,21.2
2021-02-14T00:00:00.000Z,מתחת לגיל 60,34,0,2685,3.1,0,51.3
2021-02-14T00:00:00.000Z,מעל גיל 60,34,0,127,3.2,0,38.1
2021-02-14T00:00:00.000Z,כלל האוכלוסיה,69,0,2830,3.2,0,51.1
2021-02-15T00:00:00.000Z,מתחת לגיל 60,67,0,4108,5.9,0,79.6
2021-02-15T00:00:00.000Z,כלל האוכלוסיה,100,0,4348,4.5,0,79.7
2021-02-15T00:00:00.000Z,מעל גיל 60,33,0,216,3,0,66
2021-02-16T00:00:00.000Z,מתחת לגיל 60,43,0,3593,3.6,0,70.7
2021-02-16T00:00:00.000Z,מעל גיל 60,44,0,167,4,0,52.1
2021-02-16T00:00:00.000Z,כלל האוכלוסיה,87,0,3781,3.8,0,70.4
2021-02-17T00:00:00.000Z,כלל האוכלוסיה,100,0,3408,4.2,0,64.2
2021-02-17T00:00:00.000Z,מתחת לגיל 60,59,0,3220,4.7,0,64.1
2021-02-17T00:00:00.000Z,מעל גיל 60,41,0,150,3.7,0,47.3
2021-02-18T00:00:00.000Z,מתחת לגיל 60,40,0,2592,3,0,52.3
2021-02-18T00:00:00.000Z,מעל גיל 60,36,0,112,3.3,0,35.8
2021-02-18T00:00:00.000Z,כלל האוכלוסיה,76,0,2743,3.1,0,52.4
2021-02-19T00:00:00.000Z,מתחת לגיל 60,46,0,2917,3.4,0,59.3
2021-02-19T00:00:00.000Z,כלל האוכלוסיה,75,0,3080,3,0,59.2
2021-02-19T00:00:00.000Z,מעל גיל 60,29,0,143,2.6,0,46.1
2021-02-20T00:00:00.000Z,כלל האוכלוסיה,25,0,1014,1,0,19.6
2021-02-20T00:00:00.000Z,מעל גיל 60,14,0,48,1.3,0,15.6
2021-02-20T00:00:00.000Z,מתחת לגיל 60,11,0,960,0.8,0,19.6
2021-02-21T00:00:00.000Z,כלל האוכלוסיה,76,0,2443,2.9,0,48
2021-02-21T00:00:00.000Z,מעל גיל 60,23,0,131,2.1,0,43.4
2021-02-21T00:00:00.000Z,מתחת לגיל 60,53,0,2299,3.6,0,47.7
2021-02-22T00:00:00.000Z,מעל גיל 60,47,0,186,4.2,0,63.1
2021-02-22T00:00:00.000Z,כלל האוכלוסיה,111,0,3917,4.2,0,78.3
2021-02-22T00:00:00.000Z,מתחת לגיל 60,64,0,3696,4.2,0,77.9
2021-02-23T00:00:00.000Z,מתחת לגיל 60,70,0,3326,4.4,0,71.2
2021-02-23T00:00:00.000Z,מעל גיל 60,37,0,167,3.3,0,57.9
2021-02-23T00:00:00.000Z,כלל האוכלוסיה,107,0,3519,3.9,0,71.4
2021-02-24T00:00:00.000Z,כלל האוכלוסיה,111,0,3431,3.9,0,70.5
2021-02-24T00:00:00.000Z,מעל גיל 60,47,0,136,4.1,0,48
2021-02-24T00:00:00.000Z,מתחת לגיל 60,64,0,3264,3.8,0,70.7
2021-02-25T00:00:00.000Z,מתחת לגיל 60,71,0,2785,4.1,0,60.9
2021-02-25T00:00:00.000Z,מעל גיל 60,32,0,136,2.8,0,48.8
2021-02-25T00:00:00.000Z,כלל האוכלוסיה,103,0,2942,3.5,0,61.1
2021-02-26T00:00:00.000Z,מעל גיל 60,28,0,117,2.4,0,42.3
2021-02-26T00:00:00.000Z,כלל האוכלוסיה,95,0,2911,3.2,0,60.8
2021-02-26T00:00:00.000Z,מתחת לגיל 60,67,0,2772,3.8,0,60.9
2021-02-27T00:00:00.000Z,מתחת לגיל 60,32,0,1010,1.8,0,22.3
2021-02-27T00:00:00.000Z,מעל גיל 60,27,0,40,2.4,0,14.5
2021-02-27T00:00:00.000Z,כלל האוכלוסיה,59,0,1065,2,0,22.3
2021-02-28T00:00:00.000Z,מתחת לגיל 60,74,0,2100,3.9,0,46.7
2021-02-28T00:00:00.000Z,מעל גיל 60,30,0,98,2.6,0,36.1
2021-02-28T00:00:00.000Z,כלל האוכלוסיה,104,0,2210,3.4,0,46.7
2021-03-01T00:00:00.000Z,מתחת לגיל 60,92,0,3521,4.7,0,78.9
2021-03-01T00:00:00.000Z,מעל גיל 60,51,0,152,4.4,0,57
2021-03-01T00:00:00.000Z,כלל האוכלוסיה,143,0,3708,4.6,0,79.2
