date,amount
2020-03-07T00:00:00.000Z,0
2020-03-14T00:00:00.000Z,0
2020-03-21T00:00:00.000Z,1
2020-03-28T00:00:00.000Z,12
2020-04-04T00:00:00.000Z,38
2020-04-11T00:00:00.000Z,52
2020-04-18T00:00:00.000Z,63
2020-04-25T00:00:00.000Z,36
2020-05-02T00:00:00.000Z,30
2020-05-09T00:00:00.000Z,18
2020-05-16T00:00:00.000Z,21
2020-05-23T00:00:00.000Z,10
2020-05-30T00:00:00.000Z,6
2020-06-06T00:00:00.000Z,11
2020-06-13T00:00:00.000Z,5
2020-06-20T00:00:00.000Z,5
2020-06-27T00:00:00.000Z,16
2020-07-04T00:00:00.000Z,15
2020-07-11T00:00:00.000Z,34
2020-07-18T00:00:00.000Z,53
2020-07-25T00:00:00.000Z,67
2020-08-01T00:00:00.000Z,83
2020-08-08T00:00:00.000Z,81
2020-08-15T00:00:00.000Z,86
2020-08-22T00:00:00.000Z,85
2020-08-29T00:00:00.000Z,85
2020-09-05T00:00:00.000Z,110
2020-09-12T00:00:00.000Z,113
2020-09-19T00:00:00.000Z,120
2020-09-23T00:00:00.000Z,60
