confirmed_rate,date
0,2020-02-12T00:00:00.000Z
,2020-02-13T00:00:00.000Z
,2020-02-14T00:00:00.000Z
,2020-02-15T00:00:00.000Z
,2020-02-16T00:00:00.000Z
,2020-02-17T00:00:00.000Z
,2020-02-18T00:00:00.000Z
,2020-02-19T00:00:00.000Z
,2020-02-20T00:00:00.000Z
0,2020-02-21T00:00:00.000Z
,2020-02-22T00:00:00.000Z
,2020-02-23T00:00:00.000Z
1,2020-02-24T00:00:00.000Z
,2020-02-25T00:00:00.000Z
,2020-02-26T00:00:00.000Z
2,2020-02-27T00:00:00.000Z
1,2020-02-28T00:00:00.000Z
,2020-02-29T00:00:00.000Z
4,2020-03-01T00:00:00.000Z
1,2020-03-02T00:00:00.000Z
3,2020-03-03T00:00:00.000Z
,2020-03-04T00:00:00.000Z
6,2020-03-05T00:00:00.000Z
3,2020-03-06T00:00:00.000Z
4,2020-03-07T00:00:00.000Z
2,2020-03-08T00:00:00.000Z
6,2020-03-09T00:00:00.000Z
1,2020-03-10T00:00:00.000Z
3,2020-03-11T00:00:00.000Z
3,2020-03-12T00:00:00.000Z
2,2020-03-13T00:00:00.000Z
4,2020-03-14T00:00:00.000Z
4,2020-03-15T00:00:00.000Z
2,2020-03-16T00:00:00.000Z
2,2020-03-17T00:00:00.000Z
3,2020-03-18T00:00:00.000Z
3,2020-03-19T00:00:00.000Z
3,2020-03-20T00:00:00.000Z
3,2020-03-21T00:00:00.000Z
3,2020-03-22T00:00:00.000Z
3,2020-03-23T00:00:00.000Z
3,2020-03-24T00:00:00.000Z
4,2020-03-25T00:00:00.000Z
4,2020-03-26T00:00:00.000Z
5,2020-03-27T00:00:00.000Z
5,2020-03-28T00:00:00.000Z
5,2020-03-29T00:00:00.000Z
6,2020-03-30T00:00:00.000Z
5,2020-03-31T00:00:00.000Z
6,2020-04-01T00:00:00.000Z
7,2020-04-02T00:00:00.000Z
9,2020-04-03T00:00:00.000Z
13,2020-04-04T00:00:00.000Z
10,2020-04-05T00:00:00.000Z
14,2020-04-06T00:00:00.000Z
17,2020-04-07T00:00:00.000Z
20,2020-04-08T00:00:00.000Z
20,2020-04-09T00:00:00.000Z
20,2020-04-10T00:00:00.000Z
22,2020-04-11T00:00:00.000Z
14,2020-04-12T00:00:00.000Z
19,2020-04-13T00:00:00.000Z
21,2020-04-14T00:00:00.000Z
28,2020-04-15T00:00:00.000Z
30,2020-04-16T00:00:00.000Z
30,2020-04-17T00:00:00.000Z
32,2020-04-18T00:00:00.000Z
34,2020-04-19T00:00:00.000Z
32,2020-04-20T00:00:00.000Z
35,2020-04-21T00:00:00.000Z
45,2020-04-22T00:00:00.000Z
37,2020-04-23T00:00:00.000Z
42,2020-04-24T00:00:00.000Z
66,2020-04-25T00:00:00.000Z
128,2020-04-26T00:00:00.000Z
92,2020-04-27T00:00:00.000Z
68,2020-04-28T00:00:00.000Z
133,2020-04-29T00:00:00.000Z
77,2020-04-30T00:00:00.000Z
94,2020-05-01T00:00:00.000Z
195,2020-05-02T00:00:00.000Z
413,2020-05-03T00:00:00.000Z
211,2020-05-04T00:00:00.000Z
350,2020-05-05T00:00:00.000Z
173,2020-05-06T00:00:00.000Z
185,2020-05-07T00:00:00.000Z
343,2020-05-08T00:00:00.000Z
596,2020-05-09T00:00:00.000Z
391,2020-05-10T00:00:00.000Z
292,2020-05-11T00:00:00.000Z
495,2020-05-12T00:00:00.000Z
308,2020-05-13T00:00:00.000Z
520,2020-05-14T00:00:00.000Z
954,2020-05-15T00:00:00.000Z
2290,2020-05-16T00:00:00.000Z
764,2020-05-17T00:00:00.000Z
425,2020-05-18T00:00:00.000Z
522,2020-05-19T00:00:00.000Z
767,2020-05-20T00:00:00.000Z
677,2020-05-21T00:00:00.000Z
576,2020-05-22T00:00:00.000Z
2307,2020-05-23T00:00:00.000Z
888,2020-05-24T00:00:00.000Z
525,2020-05-25T00:00:00.000Z
232,2020-05-26T00:00:00.000Z
290,2020-05-27T00:00:00.000Z
151,2020-05-28T00:00:00.000Z
104,2020-05-29T00:00:00.000Z
420,2020-05-30T00:00:00.000Z
134,2020-05-31T00:00:00.000Z
119,2020-06-01T00:00:00.000Z
99,2020-06-02T00:00:00.000Z
125,2020-06-03T00:00:00.000Z
86,2020-06-04T00:00:00.000Z
98,2020-06-05T00:00:00.000Z
157,2020-06-06T00:00:00.000Z
88,2020-06-07T00:00:00.000Z
70,2020-06-08T00:00:00.000Z
73,2020-06-09T00:00:00.000Z
54,2020-06-10T00:00:00.000Z
67,2020-06-11T00:00:00.000Z
71,2020-06-12T00:00:00.000Z
88,2020-06-13T00:00:00.000Z
97,2020-06-14T00:00:00.000Z
67,2020-06-15T00:00:00.000Z
46,2020-06-16T00:00:00.000Z
51,2020-06-17T00:00:00.000Z
46,2020-06-18T00:00:00.000Z
46,2020-06-19T00:00:00.000Z
90,2020-06-20T00:00:00.000Z
86,2020-06-21T00:00:00.000Z
43,2020-06-22T00:00:00.000Z
