amount,date
0,2020-02-12T00:00:00.000Z
0,2020-02-13T00:00:00.000Z
0,2020-02-14T00:00:00.000Z
0,2020-02-15T00:00:00.000Z
0,2020-02-16T00:00:00.000Z
0,2020-02-17T00:00:00.000Z
0,2020-02-18T00:00:00.000Z
0,2020-02-19T00:00:00.000Z
0,2020-02-20T00:00:00.000Z
1,2020-02-21T00:00:00.000Z
0,2020-02-22T00:00:00.000Z
0,2020-02-23T00:00:00.000Z
1,2020-02-24T00:00:00.000Z
0,2020-02-25T00:00:00.000Z
0,2020-02-26T00:00:00.000Z
1,2020-02-27T00:00:00.000Z
3,2020-02-28T00:00:00.000Z
0,2020-02-29T00:00:00.000Z
1,2020-03-01T00:00:00.000Z
5,2020-03-02T00:00:00.000Z
3,2020-03-03T00:00:00.000Z
0,2020-03-04T00:00:00.000Z
2,2020-03-05T00:00:00.000Z
4,2020-03-06T00:00:00.000Z
4,2020-03-07T00:00:00.000Z
9,2020-03-08T00:00:00.000Z
4,2020-03-09T00:00:00.000Z
33,2020-03-10T00:00:00.000Z
20,2020-03-11T00:00:00.000Z
21,2020-03-12T00:00:00.000Z
36,2020-03-13T00:00:00.000Z
29,2020-03-14T00:00:00.000Z
38,2020-03-15T00:00:00.000Z
73,2020-03-16T00:00:00.000Z
94,2020-03-17T00:00:00.000Z
118,2020-03-18T00:00:00.000Z
135,2020-03-19T00:00:00.000Z
168,2020-03-20T00:00:00.000Z
210,2020-03-21T00:00:00.000Z
254,2020-03-22T00:00:00.000Z
351,2020-03-23T00:00:00.000Z
423,2020-03-24T00:00:00.000Z
425,2020-03-25T00:00:00.000Z
520,2020-03-26T00:00:00.000Z
434,2020-03-27T00:00:00.000Z
480,2020-03-28T00:00:00.000Z
532,2020-03-29T00:00:00.000Z
546,2020-03-30T00:00:00.000Z
738,2020-03-31T00:00:00.000Z
697,2020-04-01T00:00:00.000Z
719,2020-04-02T00:00:00.000Z
598,2020-04-03T00:00:00.000Z
427,2020-04-04T00:00:00.000Z
582,2020-04-05T00:00:00.000Z
451,2020-04-06T00:00:00.000Z
378,2020-04-07T00:00:00.000Z
338,2020-04-08T00:00:00.000Z
343,2020-04-09T00:00:00.000Z
359,2020-04-10T00:00:00.000Z
344,2020-04-11T00:00:00.000Z
553,2020-04-12T00:00:00.000Z
438,2020-04-13T00:00:00.000Z
399,2020-04-14T00:00:00.000Z
311,2020-04-15T00:00:00.000Z
296,2020-04-16T00:00:00.000Z
298,2020-04-17T00:00:00.000Z
291,2020-04-18T00:00:00.000Z
277,2020-04-19T00:00:00.000Z
299,2020-04-20T00:00:00.000Z
283,2020-04-21T00:00:00.000Z
225,2020-04-22T00:00:00.000Z
276,2020-04-23T00:00:00.000Z
248,2020-04-24T00:00:00.000Z
159,2020-04-25T00:00:00.000Z
83,2020-04-26T00:00:00.000Z
117,2020-04-27T00:00:00.000Z
160,2020-04-28T00:00:00.000Z
82,2020-04-29T00:00:00.000Z
142,2020-04-30T00:00:00.000Z
117,2020-05-01T00:00:00.000Z
57,2020-05-02T00:00:00.000Z
27,2020-05-03T00:00:00.000Z
53,2020-05-04T00:00:00.000Z
32,2020-05-05T00:00:00.000Z
65,2020-05-06T00:00:00.000Z
61,2020-05-07T00:00:00.000Z
33,2020-05-08T00:00:00.000Z
19,2020-05-09T00:00:00.000Z
29,2020-05-10T00:00:00.000Z
39,2020-05-11T00:00:00.000Z
23,2020-05-12T00:00:00.000Z
37,2020-05-13T00:00:00.000Z
22,2020-05-14T00:00:00.000Z
12,2020-05-15T00:00:00.000Z
5,2020-05-16T00:00:00.000Z
15,2020-05-17T00:00:00.000Z
27,2020-05-18T00:00:00.000Z
22,2020-05-19T00:00:00.000Z
15,2020-05-20T00:00:00.000Z
17,2020-05-21T00:00:00.000Z
20,2020-05-22T00:00:00.000Z
5,2020-05-23T00:00:00.000Z
13,2020-05-24T00:00:00.000Z
22,2020-05-25T00:00:00.000Z
50,2020-05-26T00:00:00.000Z
40,2020-05-27T00:00:00.000Z
77,2020-05-28T00:00:00.000Z
113,2020-05-29T00:00:00.000Z
28,2020-05-30T00:00:00.000Z
88,2020-05-31T00:00:00.000Z
100,2020-06-01T00:00:00.000Z
121,2020-06-02T00:00:00.000Z
96,2020-06-03T00:00:00.000Z
141,2020-06-04T00:00:00.000Z
124,2020-06-05T00:00:00.000Z
78,2020-06-06T00:00:00.000Z
140,2020-06-07T00:00:00.000Z
179,2020-06-08T00:00:00.000Z
173,2020-06-09T00:00:00.000Z
238,2020-06-10T00:00:00.000Z
191,2020-06-11T00:00:00.000Z
183,2020-06-12T00:00:00.000Z
149,2020-06-13T00:00:00.000Z
136,2020-06-14T00:00:00.000Z
199,2020-06-15T00:00:00.000Z
296,2020-06-16T00:00:00.000Z
269,2020-06-17T00:00:00.000Z
318,2020-06-18T00:00:00.000Z
306,2020-06-19T00:00:00.000Z
157,2020-06-20T00:00:00.000Z
171,2020-06-21T00:00:00.000Z
342,2020-06-22T00:00:00.000Z
447,2020-06-23T00:00:00.000Z
466,2020-06-24T00:00:00.000Z
308,2020-06-25T00:00:00.000Z
