coronaOccupancy,isolatedTeam,name,normalOccupancy
22.07792207792208,18,שמיר (אסף הרופא),62.06509399414063
21.21212121212121,18,מאיר,74.67866516113281
18.57142857142857,3,מעייני הישועה,
18.18181818181818,73,"רמב""ם",85.56700897216797
17.91044776119403,22,הדסה עין כרם,106.6126861572266
16.5,49,שיבא,92.2151870727539
15.38461538461539,12,וולפסון,60.02928161621094
10,25,שערי צדק,88.45208740234375
8,106,סוראסקי,96.1571273803711
6.666666666666667,5,המרכזי בעמק,66.72413635253906
5.454545454545454,19,לניאדו,1.114206075668335
5.294117647058824,42,סורוקה,68.37532806396484
5,26,הלל יפה,77.28155517578125
2.298850574712644,16,ברזילי,60.13288879394531
1.724137931034483,11,בני ציון,69.9769058227539
1.666666666666667,9,זיו צפת,72.04611206054688
1.176470588235294,17,קפלן,83.0324935913086
0.5235602094240838,9,השרון ק. גולדה,43.56846618652344
0,8,פוריה,69.01408386230469
0,2,הסקוטי,116
0,42,רבין ק. בילינסון,87.90419006347656
0,32,נהריה,81.60442352294922
0,0,יוספטל,50.76922988891602
0,0,"אסותא אשדוד בי""ח",
0,11,שניידר,73.417724609375
0,9,הכרמל,66.2576675415039
0,3,המשפחה הקדושה,161.6666717529297
0,0,אל מקאסד,
0,5,הר הצופים,79.86111450195312
0,0,הסהר האדום,
0,1,הצרפתי,64.92537689208984
0,6,אסותא חיפה,
0,1,אסותא רמת החייל,
0,0,אסותא ראשון לציון,
0,3,אסותא באר שבע,
0,0,אלישע,
