city,diff,percentOfCityPopulation,sickCount,status,testsCount
ירושלים,1.7215079538025708,0.5012499033579878,4668,,119534
בני ברק,1.215277777777778,1.7419798213200801,3498,,50360
תל אביב - יפו,3.34855403348554,0.2975401449138821,1358,,56583
אשדוד,10.65989847715736,0.2897561883326614,654,,21854
בית שמש,2.889245585874799,0.5053371805181086,641,,11762
פתח תקווה,2.874743326488706,0.2040458919982243,501,,27917
אלעד,1.4344262295081969,1.041053251451165,495,בסגר חלקי,8322
מודיעין עילית,0.6147540983606558,0.6379025866884931,491,,9722
בת ים,4.347826086956522,0.35112575846243876,456,,17072
באר שבע,2.842377260981912,0.2018583137223079,398,,27280
ראשון לציון,1.876675603217158,0.156507413509061,380,,24142
ביתר עילית,3.5616438356164384,0.6131585777316377,378,,5711
חולון,3.012048192771084,0.1830443159922929,342,,20632
נתניה,1.582278481012658,0.1479965144746124,321,,18632
אשקלון,0,0.2150658947798924,305,,15799
רהט,3.9145907473309607,0.4363614627075332,292,בסגר חלקי,6781
חיפה,1.393728222996516,0.10642772241016729,291,,25233
טבריה,9.30232558139535,0.6275033377837116,282,בסגר חלקי,7340
רמת גן,1.1029411764705879,0.18698324630113142,275,,17901
ערערה-בנגב,2.661596958174905,1.4913007456503728,270,בסגר חלקי,3744
חורה,0,1.24696721773966,221,,2835
אור יהודה,0.9478672985781991,0.6127204211374162,213,,5389
רחובות,3.1914893617021267,0.1393217758499346,194,,14844
לוד,8.875739644970414,0.2411881136205744,184,,6887
רעננה,1.15606936416185,0.23274062055299172,175,,9808
הרצליה,1.8633540372670812,0.17678890972985792,164,,9618
רמלה,4.516129032258064,0.2139206908846017,162,,7305
מודיעין-מכבים-רעות,4.666666666666667,0.1792626254552928,157,,8519
דייר אל-אסד,0,1.214864221057647,153,,4966
קרית גת,0.6622516556291391,0.26439380761871634,152,,5472
נתיבות,0,0.3430442579069103,132,,3899
צפת,2.439024390243903,0.350321127700392,126,,4026
כפר סבא,2.564102564102564,0.1224714743524321,120,,10580
אום אל-פחם,1.694915254237288,0.21356113187399892,120,,4545
באקה אל-גרביה,1.923076923076923,0.3585441753483967,106,,3487
מגדל העמק,0,0.3842311534619227,100,,2764
חדרה,4.301075268817205,0.10160898349115899,97,,13073
דימונה,18.91891891891892,0.24634678909355578,88,,3623
יהוד,1.162790697674419,0.29983457402812236,87,,2967
עפולה,2.3809523809523814,0.1608829856888972,86,,4447
שדרות,0,0.303097508686331,82,,4358
ראש העין,5.194805194805195,0.13631773813530798,81,,5905
נהריה,8.21917808219178,0.1321202796267184,79,,7557
קרית מלאכי,1.333333333333333,0.31142435666284224,76,,1720
גבעתיים,5.555555555555555,0.13749683395448128,76,,5860
יבנה,4.166666666666666,0.1615926572296555,75,,4362
קרית אונו,8.695652173913043,0.2000640204865557,75,,4062
אילת,5.882352941176471,0.12728944204794568,72,,3632
הוד השרון,4.477611940298507,0.116787346925156,70,,5330
גבעת זאב,2.985074626865672,0.36285233487589397,69,,2386
כוכב יעקב,3.03030303030303,0.7608817276490992,68,,962
רכסים,1.515151515151515,0.5406714009038088,67,,1741
אפרת,0,0.5612558098745943,64,,1680
אופקים,1.612903225806452,0.19789539814669388,63,,3312
גדרה,0,0.24895599100546098,62,,3989
מעלה אדומים,0,0.165355380717429,62,,5052
טייבה,1.754385964912281,0.1319441284862824,58,,3273
כפר קאסם,3.6363636363636362,0.2367699592921825,57,,2041
גני תקווה,3.6363636363636362,0.2859292701279157,57,,2433
כרמיאל,0,0.1161215405457713,54,,4345
גבעת שמואל,0,0.2153367627706663,54,,2611
רמת השרון,1.923076923076923,0.1168971525618121,53,,4185
באר יעקב,8.695652173913043,0.1934086337614111,50,,2388
ג'סר א-זרקא,0,0.32738691788601587,49,,3156
קרית יערים,2.083333333333333,0.7816238634550965,49,,1171
ג'ת,2.127659574468085,0.39324922169424886,48,,1693
שוהם,2.127659574468085,0.23959269242288112,48,,2291
אזור,0,0.3928123694107814,47,,1403
"כפר חב""ד",0,0.6546406750072737,45,,1173
נס ציונה,0,0.08945909973598656,41,,3502
זכרון יעקב,0,0.18404632580688599,41,,1632
קרית אתא,8.108108108108109,0.06934932991209973,40,,4864
בענה,0,0.4743270484999407,40,,2148
עכו,2.631578947368421,0.07615848776582242,39,,4357
אבן יהודה,0,0.2779864763335838,37,,1465
נוף הגליל,0,0.08145717841384771,36,,3931
דבוריה,0,0.3223971173904798,34,,1828
גן יבנה,3.03030303030303,0.1509970244704001,34,,1718
פרדס חנה-כרכור,0,0.07943958980284538,33,,5572
בית שאן,10,0.17089590885551528,33,,1421
טירה,0,0.1204819277108434,32,,2160
קרית ים,0,0.0763611372718711,30,,3198
כפר קרע,7.4074074074074066,0.1514360313315927,29,,1604
קרית מוצקין,3.571428571428571,0.06597206424314118,29,,4715
מצפה רמון,3.571428571428571,0.5789578758235177,29,,448
ערד,3.703703703703704,0.103838308918969,28,,1896
מזכרת בתיה,0,0.1860588743438102,28,,1946
נצרת,0,0.035655617669905375,28,,2705
מג'ד אל-כרום,0,0.1750405186385737,27,,2263
אריאל,3.846153846153846,0.1475571100666739,27,,1647
מבשרת ציון,0,0.1166457856309673,27,,3126
טמרה,4,0.07573109635325644,26,,1983
מעלה עירון,8.695652173913043,0.16568361057724168,25,,1138
ג'לג'וליה,0,0.2453867294856694,25,,872
להבים,0,0.40096230954290296,25,,1593
ערערה,0,0.12002400480096019,24,,1876
מיתר,0,0.229701388195346,23,,1751
לקיה,0,0.1498664234052258,23,,1077
כסיפה,4.545454545454546,0.1299214822346495,23,,847
קדימה-צורן,0,0.1045279612296289,22,,1446
טירת כרמל,4.761904761904763,0.09529172261445835,22,,1375
עומר,0,0.2646502835538753,21,,1303
יבנאל,5,0.5057803468208093,21,,395
יקנעם עילית,5,0.09068923821039904,21,,1581
שפרעם,16.66666666666667,0.05088441967530895,21,,2542
עלי,0,0.4873294346978557,20,,382
קרית ביאליק,0,0.05081946385465633,20,,3000
קרית שמונה,0,0.08148852369957897,18,,1340
קלנסווה,6.25,0.07363451292935418,17,,1664
חריש,0,0.11810476587466999,17,,1036
כפר כנא,0,0.07460721495655227,17,,1491
כפר יונה,6.25,0.07418721361553567,17,,1535
סח'נין,0,0.05193059628543499,17,,1998
עמנואל,0,0.3808616995953344,16,,267
הר אדר,6.666666666666667,0.39662865642042644,16,,786
כוכב יאיר,0,0.1754193619120711,16,,876
פוריידיס,0,0.11283285692793739,15,,936
פקיעין (בוקייעה),0,0.2540220152413209,15,,754
בית אריה,0,0.2932551319648094,15,,503
מרכז שפירא,0,0.7201152184349496,15,,272
קרית עקרון,0,0.1411100658513641,15,,791
תל מונד,0,0.1170046801872075,15,,1595
אלפי מנשה,7.142857142857142,0.1914241960183767,15,,754
מעלות-תרשיחא,0,0.06638049298579458,15,,1772
יד בנימין,7.142857142857142,0.3485940041831281,15,,373
עלי זהב,0,0.1084304689617783, קטן מ-15 ,,261
טלמון,0,0.06202191440975812, קטן מ-15 ,,255
מתן,0,0.24906600249065997, קטן מ-15 ,,249
עץ אפרים,0,0.04130524576621231, קטן מ-15 ,,182
קצרין,0,0.1866666666666667, קטן מ-15 ,,474
פרדסיה,0,0.032557382386456134, קטן מ-15 ,,1039
מייסר,0,0.09891196834817012, קטן מ-15 ,,154
צור יצחק,0,0.06360311655271109, קטן מ-15 ,,465
"בסמ""ה",0,0.08390826030206974, קטן מ-15 ,,696
קדומים,0,0.1315789473684211, קטן מ-15 ,,285
ראמה,12.5,0.1078877966914409, קטן מ-15 ,,589
ירכא,0,0.01282955930463789, קטן מ-15 ,,1517
ירוחם,0,0.11478859766596519, קטן מ-15 ,,752
קיסריה,0,0.05505597357313268, קטן מ-15 ,,403
רבבה,0,0.2553812477198103, קטן מ-15 ,,225
אעצם (שבט),0,0.028645087367516472, קטן מ-15 ,,136
אלקנה,0,0.2145347278090641, קטן מ-15 ,,392
זמר,0,0.0847936687394008, קטן מ-15 ,,627
ג'ולס,0,0.04798464491362764, קטן מ-15 ,,288
סביון,16.66666666666667,0.1614763552479816, קטן מ-15 ,,428
קרית ארבע,0,0.163176502583628, קטן מ-15 ,,550
מגאר,0,0.04399084990322013, קטן מ-15 ,,1032
מזרעה,0,0.02538715410002539, קטן מ-15 ,,208
דייר חנא,0,0.1220428088621855, קטן מ-15 ,,750
נווה דניאל,0,0.5301794453507341, קטן מ-15 ,,309
