actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
769,ביתר עילית,1105,"נדרשים הסברה, בדיקות ואכיפת בידוד",1759,472
86,קלנסווה,100,"נדרשים הסברה, בדיקות ואכיפת בידוד",432,70
23,עמנואל,38,"נדרשים הסברה, בדיקות ואכיפת בידוד",89,18
3413,ירושלים,7580,נדרשת הגדלה של מספר הבדיקות,17881,1480
1815,תל אביב - יפו,2705,נדרשת הגדלה של מספר הבדיקות,10261,637
1727,בני ברק,4933,נדרשת הגדלה של מספר הבדיקות,5264,744
1080,אשדוד,1513,נדרשת הגדלה של מספר הבדיקות,5643,332
502,בית שמש,1082,נדרשת הגדלה של מספר הבדיקות,1987,244
454,לוד,581,נדרשת הגדלה של מספר הבדיקות,2477,250
234,אלעד,682,נדרשת הגדלה של מספר הבדיקות,734,104
221,אשקלון,517,נדרשת הגדלה של מספר הבדיקות,3226,147
110,כסיפה,124,נדרשת הגדלה של מספר הבדיקות,447,57
109,גן יבנה,142,נדרשת הגדלה של מספר הבדיקות,711,83
69,גבעת זאב,130,נדרשת הגדלה של מספר הבדיקות,435,44
58,יבנאל,76,נדרשת הגדלה של מספר הבדיקות,153,30
44,נחף,55,נדרשת הגדלה של מספר הבדיקות,189,24
33,"כפר חב""ד",77,נדרשת הגדלה של מספר הבדיקות,301,25
26,יפיע,31,נדרשת הגדלה של מספר הבדיקות,183,17
18,אכסאל,27,נדרשת הגדלה של מספר הבדיקות,131,15
 קטן מ-15 ,עספיא,15,נדרשת הגדלה של מספר הבדיקות,113, קטן מ-15 
 קטן מ-15 ,כפר מצר, קטן מ-15 ,נדרשת הגדלה של מספר הבדיקות,116, קטן מ-15 
 קטן מ-15 ,עין מאהל,18,נדרשת הגדלה של מספר הבדיקות,83, קטן מ-15 
 קטן מ-15 ,בית אל,24,נדרשת הגדלה של מספר הבדיקות,56, קטן מ-15 
 קטן מ-15 ,שערי תקווה,16,נדרשת הגדלה של מספר הבדיקות,103, קטן מ-15 
631,פתח תקווה,1049,"נדרשת הידברות, הסברה ואכיפה",5224,277
513,בת ים,814,"נדרשת הידברות, הסברה ואכיפה",2994,119
469,ראשון לציון,794,"נדרשת הידברות, הסברה ואכיפה",4351,218
428,חולון,703,"נדרשת הידברות, הסברה ואכיפה",3740,171
396,מודיעין עילית,869,"נדרשת הידברות, הסברה ואכיפה",1756,193
377,נתניה,657,"נדרשת הידברות, הסברה ואכיפה",4502,168
353,באר שבע,649,"נדרשת הידברות, הסברה ואכיפה",2988,121
337,רמת גן,567,"נדרשת הידברות, הסברה ואכיפה",3241,144
331,חיפה,588,"נדרשת הידברות, הסברה ואכיפה",4796,175
313,רמלה,419,"נדרשת הידברות, הסברה ואכיפה",2023,123
297,רחובות,472,"נדרשת הידברות, הסברה ואכיפה",3197,129
276,קרית גת,373,"נדרשת הידברות, הסברה ואכיפה",1408,116
264,קרית מלאכי,331,"נדרשת הידברות, הסברה ואכיפה",1401,124
241,רהט,418,"נדרשת הידברות, הסברה ואכיפה",826,67
234,רעננה,392,"נדרשת הידברות, הסברה ואכיפה",2099,78
233,טבריה,456,"נדרשת הידברות, הסברה ואכיפה",796,66
217,דימונה,255,"נדרשת הידברות, הסברה ואכיפה",1110,34
213,מודיעין-מכבים-רעות,345,"נדרשת הידברות, הסברה ואכיפה",2243,95
210,הרצליה,356,"נדרשת הידברות, הסברה ואכיפה",2055,85
187,אור יהודה,361,"נדרשת הידברות, הסברה ואכיפה",994,76
163,באקה אל-גרביה,216,"נדרשת הידברות, הסברה ואכיפה",687,55
159,ערערה-בנגב,301,"נדרשת הידברות, הסברה ואכיפה",146, קטן מ-15 
150,חדרה,232,"נדרשת הידברות, הסברה ואכיפה",2649,58
149,כפר קאסם,175,"נדרשת הידברות, הסברה ואכיפה",329,34
148,כפר סבא,232,"נדרשת הידברות, הסברה ואכיפה",1640,58
139,ראש העין,204,"נדרשת הידברות, הסברה ואכיפה",1344,68
132,יבנה,196,"נדרשת הידברות, הסברה ואכיפה",1101,70
120,אילת,158,"נדרשת הידברות, הסברה ואכיפה",746,59
118,כפר קרע,146,"נדרשת הידברות, הסברה ואכיפה",831,69
115,גבעתיים,173,"נדרשת הידברות, הסברה ואכיפה",1131,47
115,קרית אתא,146,"נדרשת הידברות, הסברה ואכיפה",1533,71
108,נהריה,168,"נדרשת הידברות, הסברה ואכיפה",797,46
107,הוד השרון,163,"נדרשת הידברות, הסברה ואכיפה",1338,53
99,נס ציונה,132,"נדרשת הידברות, הסברה ואכיפה",1055,67
96,רמת השרון,145,"נדרשת הידברות, הסברה ואכיפה",1016,48
95,טייבה,147,"נדרשת הידברות, הסברה ואכיפה",709,53
93,בית שאן,111,"נדרשת הידברות, הסברה ואכיפה",391,24
91,קרית אונו,149,"נדרשת הידברות, הסברה ואכיפה",829,35
88,אופקים,145,"נדרשת הידברות, הסברה ואכיפה",908,42
85,נתיבות,199,"נדרשת הידברות, הסברה ואכיפה",806,34
85,מעלה אדומים,144,"נדרשת הידברות, הסברה ואכיפה",969,51
75,פרדס חנה-כרכור,103,"נדרשת הידברות, הסברה ואכיפה",820,41
75,רכסים,132,"נדרשת הידברות, הסברה ואכיפה",315,33
73,אום אל-פחם,172,"נדרשת הידברות, הסברה ואכיפה",454,20
70,נצרת,96,"נדרשת הידברות, הסברה ואכיפה",577,37
66,ערד,90,"נדרשת הידברות, הסברה ואכיפה",413,32
65,יהוד,148,"נדרשת הידברות, הסברה ואכיפה",634,30
63,באר יעקב,104,"נדרשת הידברות, הסברה ואכיפה",805,40
61,גדרה,119,"נדרשת הידברות, הסברה ואכיפה",1001,29
60,טירה,74,"נדרשת הידברות, הסברה ואכיפה",399,16
58,צפת,166,"נדרשת הידברות, הסברה ואכיפה",293,27
53,גני תקווה,108,"נדרשת הידברות, הסברה ואכיפה",720,31
52,גבעת שמואל,103,"נדרשת הידברות, הסברה ואכיפה",461,34
52,ערערה,67,"נדרשת הידברות, הסברה ואכיפה",514,33
51,שוהם,91,"נדרשת הידברות, הסברה ואכיפה",411,20
