actualSick,city,patientDiffPopulationForTenThousands,sickCount,status,testLast7Days,verifiedLast7Days
3727,ירושלים,40,15892,"נדרשים הסברה, בדיקות ואכיפת בידוד",14354,1557
1409,בני ברק,70,9020,"נדרשים הסברה, בדיקות ואכיפת בידוד",3220,566
1102,מודיעין עילית,143,3024,"נדרשים הסברה, בדיקות ואכיפת בידוד",2287,615
172,עילוט,204,182,"נדרשים הסברה, בדיקות ואכיפת בידוד",418,137
156,כפר קאסם,65,417,"נדרשים הסברה, בדיקות ואכיפת בידוד",524,107
80,מעלה עירון,53,130,"נדרשים הסברה, בדיקות ואכיפת בידוד",312,54
69,עין נקובא,197,88,"נדרשים הסברה, בדיקות ואכיפת בידוד",192,36
56,מג'ד אל-כרום,36,104,"נדרשים הסברה, בדיקות ואכיפת בידוד",401,43
30,כפר ברא,79,56,"נדרשים הסברה, בדיקות ואכיפת בידוד",113,20
28,עין קנייא,118,29,"נדרשים הסברה, בדיקות ואכיפת בידוד",339,26
 קטן מ-15 ,רבבה,40,30,"נדרשים הסברה, בדיקות ואכיפת בידוד",36,6-10
 קטן מ-15 ,לפיד,61,17,"נדרשים הסברה, בדיקות ואכיפת בידוד",34,6-10
 קטן מ-15 ,שייח' דנון,34, קטן מ-15 ,"נדרשים הסברה, בדיקות ואכיפת בידוד",77,6-10
1010,תל אביב - יפו,22,4417,נדרשת הגדלה של מספר הבדיקות,5919,238
702,אשדוד,31,3155,נדרשת הגדלה של מספר הבדיקות,3745,313
418,בית שמש,33,2588,נדרשת הגדלה של מספר הבדיקות,1211,155
277,ירכא,178,354,נדרשת הגדלה של מספר הבדיקות,1919,154
265,אלעד,56,1665,נדרשת הגדלה של מספר הבדיקות,602,121
240,ביתר עילית,39,2169,נדרשת הגדלה של מספר הבדיקות,506,99
194,נתיבות,50,597,נדרשת הגדלה של מספר הבדיקות,612,99
192,רהט,29,729,נדרשת הגדלה של מספר הבדיקות,809,99
156,טירה,59,320,נדרשת הגדלה של מספר הבדיקות,602,95
119,קרית מלאכי,49,598,נדרשת הגדלה של מספר הבדיקות,338,50
117,סח'נין,36,181,נדרשת הגדלה של מספר הבדיקות,1017,90
89,כפר מנדא,44,183,נדרשת הגדלה של מספר הבדיקות,188,29
72,רכסים,58,315,נדרשת הגדלה של מספר הבדיקות,195,34
66,ג'דיידה-מכר,32,99,נדרשת הגדלה של מספר הבדיקות,435,50
58,באר יעקב,22,207,נדרשת הגדלה של מספר הבדיקות,336,38
43,חריש,30,102,נדרשת הגדלה של מספר הבדיקות,185,25
40,בית שאן,21,201,נדרשת הגדלה של מספר הבדיקות,171,21
37,ג'לג'וליה,36,133,נדרשת הגדלה של מספר הבדיקות,144,21
30,כפר האורנים,136,56,נדרשת הגדלה של מספר הבדיקות,82,11-14
29,כסיפה,16,177,נדרשת הגדלה של מספר הבדיקות,95,15
26,זכרון יעקב,12,112,נדרשת הגדלה של מספר הבדיקות,209,21
25,כוכב יעקב,28,150,נדרשת הגדלה של מספר הבדיקות,86,11-14
24,אבו גוש,30,49,נדרשת הגדלה של מספר הבדיקות,153,17
24,תל מונד,19,53,נדרשת הגדלה של מספר הבדיקות,238,18
23,עמנואל,55,78,נדרשת הגדלה של מספר הבדיקות,56,11-14
23,יאנוח-ג'ת,35,28,נדרשת הגדלה של מספר הבדיקות,286,19
20,חצור הגלילית,20,39,נדרשת הגדלה של מספר הבדיקות,84,11-14
17,עיילבון,30,25,נדרשת הגדלה של מספר הבדיקות,193,11-14
15,דאלית אל-כרמל,9,27,נדרשת הגדלה של מספר הבדיקות,113,11-14
15,מסעדה,37,16,נדרשת הגדלה של מספר הבדיקות,109,6-10
483,נתניה,22,1631,"נדרשת הידברות, הסברה ואכיפה",3798,234
445,פתח תקווה,18,2289,"נדרשת הידברות, הסברה ואכיפה",4115,155
412,באר שבע,21,1557,"נדרשת הידברות, הסברה ואכיפה",3610,117
381,חולון,20,1645,"נדרשת הידברות, הסברה ואכיפה",2326,108
342,ראשון לציון,14,1530,"נדרשת הידברות, הסברה ואכיפה",3205,117
327,חיפה,12,1406,"נדרשת הידברות, הסברה ואכיפה",4522,131
301,אשקלון,21,1241,"נדרשת הידברות, הסברה ואכיפה",2402,82
298,רחובות,21,1163,"נדרשת הידברות, הסברה ואכיפה",1560,91
279,רמת גן,19,1129,"נדרשת הידברות, הסברה ואכיפה",2196,81
252,נצרת,32,527,"נדרשת הידברות, הסברה ואכיפה",767,61
246,טייבה,56,765,"נדרשת הידברות, הסברה ואכיפה",1138,114
240,רמלה,32,1026,"נדרשת הידברות, הסברה ואכיפה",1169,69
237,בת ים,18,1274,"נדרשת הידברות, הסברה ואכיפה",1735,65
204,לוד,27,1205,"נדרשת הידברות, הסברה ואכיפה",1181,68
198,חדרה,21,596,"נדרשת הידברות, הסברה ואכיפה",2384,84
188,ראש העין,32,587,"נדרשת הידברות, הסברה ואכיפה",1233,95
175,קרית גת,30,784,"נדרשת הידברות, הסברה ואכיפה",847,48
172,אום אל-פחם,31,492,"נדרשת הידברות, הסברה ואכיפה",801,94
165,קלנסווה,71,805,"נדרשת הידברות, הסברה ואכיפה",731,75
156,טבריה,35,733,"נדרשת הידברות, הסברה ואכיפה",909,73
155,רעננה,21,638,"נדרשת הידברות, הסברה ואכיפה",1400,59
152,מודיעין-מכבים-רעות,17,645,"נדרשת הידברות, הסברה ואכיפה",1272,61
138,אור יהודה,40,667,"נדרשת הידברות, הסברה ואכיפה",743,75
135,נהריה,23,398,"נדרשת הידברות, הסברה ואכיפה",1319,40
133,כפר סבא,14,488,"נדרשת הידברות, הסברה ואכיפה",1382,64
132,צפת,37,355,"נדרשת הידברות, הסברה ואכיפה",423,52
129,הרצליה,14,628,"נדרשת הידברות, הסברה ואכיפה",1362,51
115,באקה אל-גרביה,39,472,"נדרשת הידברות, הסברה ואכיפה",525,53
109,קרית אתא,19,390,"נדרשת הידברות, הסברה ואכיפה",820,38
108,נס ציונה,24,355,"נדרשת הידברות, הסברה ואכיפה",571,30
107,עכו,21,228,"נדרשת הידברות, הסברה ואכיפה",845,54
96,מעלה אדומים,26,311,"נדרשת הידברות, הסברה ואכיפה",630,38
91,קרית ביאליק,23,194,"נדרשת הידברות, הסברה ואכיפה",673,32
90,יבנה,19,384,"נדרשת הידברות, הסברה ואכיפה",462,35
88,יפיע,46,181,"נדרשת הידברות, הסברה ואכיפה",240,23
86,עין מאהל,63,242,"נדרשת הידברות, הסברה ואכיפה",154,17
84,הוד השרון,14,315,"נדרשת הידברות, הסברה ואכיפה",667,35
77,דייר אל-אסד,61,244,"נדרשת הידברות, הסברה ואכיפה",278,31
73,פרדס חנה-כרכור,18,243,"נדרשת הידברות, הסברה ואכיפה",650,37
71,אופקים,22,301,"נדרשת הידברות, הסברה ואכיפה",425,28
69,קרית אונו,18,268,"נדרשת הידברות, הסברה ואכיפה",769,28
69,כרמיאל,15,170,"נדרשת הידברות, הסברה ואכיפה",604,25
67,נוף הגליל,15,154,"נדרשת הידברות, הסברה ואכיפה",634,24
67,דימונה,19,373,"נדרשת הידברות, הסברה ואכיפה",557,6-10
66,רמת השרון,15,289,"נדרשת הידברות, הסברה ואכיפה",739,26
64,שפרעם,16,127,"נדרשת הידברות, הסברה ואכיפה",697,29
63,אילת,11,383,"נדרשת הידברות, הסברה ואכיפה",454,21
60,אכסאל,40,118,"נדרשת הידברות, הסברה ואכיפה",193,17
59,חורפיש,93,62,"נדרשת הידברות, הסברה ואכיפה",529,36
58,גבעת זאב,31,307,"נדרשת הידברות, הסברה ואכיפה",232,22
57,עפולה,11,210,"נדרשת הידברות, הסברה ואכיפה",599,29
54,יהוד,19,258,"נדרשת הידברות, הסברה ואכיפה",408,19
52,טמרה,15,124,"נדרשת הידברות, הסברה ואכיפה",545,23
52,גדרה,21,197,"נדרשת הידברות, הסברה ואכיפה",371,18
50,שוהם,25,169,"נדרשת הידברות, הסברה ואכיפה",205,18
48,זמר,68,100,"נדרשת הידברות, הסברה ואכיפה",195,21
48,דבוריה,46,115,"נדרשת הידברות, הסברה ואכיפה",310,6-10
48,כפר קרע,25,256,"נדרשת הידברות, הסברה ואכיפה",333,15
47,ג'ת,39,180,"נדרשת הידברות, הסברה ואכיפה",236,28
45,ערערה,23,139,"נדרשת הידברות, הסברה ואכיפה",363,21
45,כפר כנא,20,94,"נדרשת הידברות, הסברה ואכיפה",277,21
44,גבעתיים,8,279,"נדרשת הידברות, הסברה ואכיפה",878,15
43,קדימה-צורן,20,105,"נדרשת הידברות, הסברה ואכיפה",292,11-14
43,כפר יונה,19,105,"נדרשת הידברות, הסברה ואכיפה",360,22
43,נחף,32,116,"נדרשת הידברות, הסברה ואכיפה",133,18
43,ריינה,26,67,"נדרשת הידברות, הסברה ואכיפה",195,19
41,גן יבנה,18,255,"נדרשת הידברות, הסברה ואכיפה",203,16
40,בית ג'ן,34,67,"נדרשת הידברות, הסברה ואכיפה",254,24
40,גני תקווה,20,175,"נדרשת הידברות, הסברה ואכיפה",302,16
37,גבעת שמואל,15,238,"נדרשת הידברות, הסברה ואכיפה",268,6-10
37,טירת כרמל,16,110,"נדרשת הידברות, הסברה ואכיפה",210,6-10
35,אור עקיבא,18,180,"נדרשת הידברות, הסברה ואכיפה",262,6-10
34,"בסמ""ה",32,65,"נדרשת הידברות, הסברה ואכיפה",211,20
34,קרית ים,9,114,"נדרשת הידברות, הסברה ואכיפה",689,6-10
34,ערד,13,172,"נדרשת הידברות, הסברה ואכיפה",276,6-10
33,מגאר,15,57,"נדרשת הידברות, הסברה ואכיפה",298,16
32,אבו סנאן,24,46,"נדרשת הידברות, הסברה ואכיפה",438,19
32,קרית מוצקין,7,119,"נדרשת הידברות, הסברה ואכיפה",597,6-10
32,יקנעם עילית,14,86,"נדרשת הידברות, הסברה ואכיפה",205,6-10
30,אבן יהודה,23,93,"נדרשת הידברות, הסברה ואכיפה",418,11-14
30,מבשרת ציון,13,109,"נדרשת הידברות, הסברה ואכיפה",353,16
29,פוריידיס,22,82,"נדרשת הידברות, הסברה ואכיפה",121,1-5
28,קרית טבעון,18,54,"נדרשת הידברות, הסברה ואכיפה",217,11-14
26,עראבה,10,65,"נדרשת הידברות, הסברה ואכיפה",237,6-10
26,קרית יערים,41,139,"נדרשת הידברות, הסברה ואכיפה",95,11-14
26,שעב,36,40,"נדרשת הידברות, הסברה ואכיפה",160,15
25,ירוחם,24,70,"נדרשת הידברות, הסברה ואכיפה",141,0
25,כאבול,20,49,"נדרשת הידברות, הסברה ואכיפה",183,11-14
24,מעלות-תרשיחא,11,62,"נדרשת הידברות, הסברה ואכיפה",490,11-14
24,שדרות,9,163,"נדרשת הידברות, הסברה ואכיפה",290,6-10
23,ג'סר א-זרקא,15,138,"נדרשת הידברות, הסברה ואכיפה",477,11-14
22,קרית שמונה,10,109,"נדרשת הידברות, הסברה ואכיפה",185,6-10
22,מג'דל שמס,20,24,"נדרשת הידברות, הסברה ואכיפה",214,6-10
22,זרזיר,26,24,"נדרשת הידברות, הסברה ואכיפה",106,6-10
22,אריאל,12,71,"נדרשת הידברות, הסברה ואכיפה",209,6-10
21,מגדל העמק,8,163,"נדרשת הידברות, הסברה ואכיפה",284,6-10
20,כפר יאסיף,19,43,"נדרשת הידברות, הסברה ואכיפה",206,11-14
19,בנימינה-גבעת עדה,13,69,"נדרשת הידברות, הסברה ואכיפה",152,6-10
19,מזכרת בתיה,13,116,"נדרשת הידברות, הסברה ואכיפה",159,1-5
19,ערערה-בנגב,10,340,"נדרשת הידברות, הסברה ואכיפה",75,1-5
18,מיתר,18,54,"נדרשת הידברות, הסברה ואכיפה",168,6-10
18,צור הדסה,19,53,"נדרשת הידברות, הסברה ואכיפה",128,6-10
18,סביון,42,52,"נדרשת הידברות, הסברה ואכיפה",92,6-10
17,טורעאן,12,36,"נדרשת הידברות, הסברה ואכיפה",127,1-5
17,"כפר חב""ד",25,149,"נדרשת הידברות, הסברה ואכיפה",63,6-10
16,עומר,20,63,"נדרשת הידברות, הסברה ואכיפה",81,0
16,דייר חנא,15,45,"נדרשת הידברות, הסברה ואכיפה",109,1-5
16,בענה,19,64,"נדרשת הידברות, הסברה ואכיפה",134,6-10
16,נשר,7,43,"נדרשת הידברות, הסברה ואכיפה",297,6-10
 קטן מ-15 ,אזור,12,115,"נדרשת הידברות, הסברה ואכיפה",135,1-5
 קטן מ-15 ,חורה,8,281,"נדרשת הידברות, הסברה ואכיפה",95,6-10
 קטן מ-15 ,תל שבע,5,36,"נדרשת הידברות, הסברה ואכיפה",132,1-5
 קטן מ-15 ,לקיה,8,51,"נדרשת הידברות, הסברה ואכיפה",120,6-10
 קטן מ-15 ,רמת ישי,16,16,"נדרשת הידברות, הסברה ואכיפה",104,1-5
