CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.007942238267148015,2020-03-02T00:00:00.000Z,1,5632,-174,0,1385
0,0,10,0,0,10,10,0.007220216606498195,2020-03-03T00:00:00.000Z,0,7857,-171,0,1385
0,0,12,0,0,12,11,0.008664259927797834,2020-03-04T00:00:00.000Z,0,7012,-173,0,1385
0,0,12,1,0,13,13,0.009386281588447653,2020-03-05T00:00:00.000Z,1,7012,-173,0,1385
1,0,14,2,0,16,16,0.01155234657039711,2020-03-06T00:00:00.000Z,1,5177,-172,0,1385
2,0,17,3,0,20,20,0.01444043321299639,2020-03-07T00:00:00.000Z,1,4861,-172,0,1385
4,0,21,5,0,26,26,0.01877256317689531,2020-03-08T00:00:00.000Z,2,7330,-169,0,1385
5,0,33,6,0,39,39,0.02815884476534296,2020-03-09T00:00:00.000Z,7,6205,-178,0,1385
5,0,53,6,0,59,59,0.04259927797833935,2020-03-10T00:00:00.000Z,2,6021,-165,0,1385
6,0,73,7,1,81,81,0.05848375451263538,2020-03-11T00:00:00.000Z,10,5981,-167,0,1385
6,0,95,7,1,103,101,0.07436823104693141,2020-03-12T00:00:00.000Z,6,5983,-166,0,1385
6,0,112,7,4,123,122,0.0888086642599278,2020-03-13T00:00:00.000Z,10,4121,-152,0,1385
4,0,152,6,4,162,161,0.1169675090252708,2020-03-14T00:00:00.000Z,20,3692,-162,0,1385
6,0,187,9,6,202,200,0.1458483754512635,2020-03-15T00:00:00.000Z,37,5490,-163,0,1385
7,0,205,11,5,221,215,0.1595667870036101,2020-03-16T00:00:00.000Z,27,4759,-105,0,1385
7,0,238,12,6,256,256,0.1848375451263538,2020-03-17T00:00:00.000Z,46,4338,-57,0,1385
7,0,279,16,11,306,269,0.2209386281588448,2020-03-18T00:00:00.000Z,54,3920,43,0,1385
12,0,263,21,11,295,264,0.2129963898916968,2020-03-19T00:00:00.000Z,31,4053,173,0,1385
12,1,252,23,14,289,251,0.2086642599277978,2020-03-20T00:00:00.000Z,30,3207,350,0,1385
15,0,229,27,21,277,274,0.2,2020-03-21T00:00:00.000Z,35,2905,533,0,1385
22,0,255,37,32,324,305,0.2339350180505415,2020-03-22T00:00:00.000Z,54,4523,749,0,1385
24,0,274,42,36,352,323,0.2541516245487365,2020-03-23T00:00:00.000Z,58,4053,1069,0,1385
26,3,302,45,48,395,343,0.2851985559566787,2020-03-24T00:00:00.000Z,82,3963,1462,0,1385
28,1,311,49,53,413,397,0.2981949458483755,2020-03-25T00:00:00.000Z,81,3666,1820,0,1385
31,5,345,54,65,464,413,0.3350180505415162,2020-03-26T00:00:00.000Z,83,3925,2302,0,1385
37,2,381,65,69,515,468,0.3718411552346571,2020-03-27T00:00:00.000Z,110,3267,2670,0,1385
41,1,363,69,81,513,485,0.3703971119133574,2020-03-28T00:00:00.000Z,53,2834,3109,0,1385
50,3,377,79,88,544,516,0.3927797833935018,2020-03-29T00:00:00.000Z,70,4289,3573,0,1385
55,1,427,88,104,619,570,0.4469314079422383,2020-03-30T00:00:00.000Z,121,3886,4033,0,1385
64,4,456,98,114,668,628,0.4823104693140795,2020-03-31T00:00:00.000Z,111,4005,4648,0,1385
72,8,515,111,143,769,728,0.5552346570397112,2020-04-01T00:00:00.000Z,147,4088,4496,689,1385
79,10,555,113,145,813,727,0.5870036101083033,2020-04-02T00:00:00.000Z,115,4284,5082,720,1385
93,5,515,130,159,804,719,0.5805054151624549,2020-04-03T00:00:00.000Z,97,3494,5592,717,1385
107,7,481,139,171,791,752,0.5711191335740072,2020-04-04T00:00:00.000Z,73,3155,5921,718,1385
106,6,498,135,194,827,743,0.5971119133574008,2020-04-05T00:00:00.000Z,100,4495,6428,693,1385
110,7,458,147,209,814,703,0.5877256317689531,2020-04-06T00:00:00.000Z,93,4088,6706,796,1385
106,7,388,159,201,748,656,0.540072202166065,2020-04-07T00:00:00.000Z,72,4313,6971,819,1385
115,9,336,166,193,695,622,0.5018050541516246,2020-04-08T00:00:00.000Z,57,3511,7146,859,1385
117,9,312,166,187,665,634,0.48014440433213,2020-04-09T00:00:00.000Z,65,3363,7273,944,1385
128,8,330,170,170,670,598,0.4837545126353791,2020-04-10T00:00:00.000Z,56,4086,7398,1002,1385
130,6,283,182,162,627,595,0.4527075812274368,2020-04-11T00:00:00.000Z,39,3172,7513,1061,1385
130,7,316,177,174,667,620,0.4815884476534296,2020-04-12T00:00:00.000Z,90,4965,7679,1074,1385
137,8,330,192,169,691,629,0.4989169675090253,2020-04-13T00:00:00.000Z,91,4653,7682,1181,1385
134,8,328,178,170,676,631,0.488086642599278,2020-04-14T00:00:00.000Z,75,4376,7646,1229,1385
133,13,319,180,174,673,655,0.4859205776173285,2020-04-15T00:00:00.000Z,69,3492,7610,1238,1385
136,7,360,180,162,702,643,0.5068592057761733,2020-04-16T00:00:00.000Z,51,5388,7431,1366,1385
125,9,337,166,163,666,613,0.4808664259927798,2020-04-17T00:00:00.000Z,48,4188,7398,1348,1385
118,11,329,174,141,644,619,0.4649819494584838,2020-04-18T00:00:00.000Z,42,3825,6981,1661,1385
118,8,317,157,147,621,571,0.4483754512635379,2020-04-19T00:00:00.000Z,40,5788,6951,1707,1385
123,6,323,154,135,612,560,0.4418772563176895,2020-04-20T00:00:00.000Z,49,5097,6707,1723,1385
119,9,254,145,147,546,510,0.3942238267148014,2020-04-21T00:00:00.000Z,27,4921,6572,1738,1385
110,3,260,149,124,533,498,0.3848375451263538,2020-04-22T00:00:00.000Z,36,4822,6444,1739,1385
114,4,249,146,107,502,454,0.3624548736462094,2020-04-23T00:00:00.000Z,32,5353,6510,1605,1385
108,3,209,144,109,462,440,0.3335740072202166,2020-04-24T00:00:00.000Z,26,4411,6116,1751,1385
107,3,201,136,105,442,429,0.3191335740072202,2020-04-25T00:00:00.000Z,8,3643,5839,1762,1385
111,2,207,142,92,441,415,0.3184115523465704,2020-04-26T00:00:00.000Z,33,5757,5725,1737,1385
