actualSick,city,patientDiffPopulationForTenThousands,sickCount,testLast7Days,verifiedLast7Days
5755,ירושלים,62,26278,26254,3521
2882,בני ברק,144,13836,10095,1777
1766,אשדוד,78,6388,10429,1062
1233,תל אביב - יפו,27,6343,12095,658
1169,פתח תקווה,48,4155,7930,713
1104,מודיעין עילית,143,5344,3898,727
1039,באר שבע,53,3049,8106,661
1033,חולון,55,3123,6119,663
1012,בית שמש,80,4442,3876,592
1008,נתניה,46,3330,7440,599
926,אשקלון,65,2571,6762,488
918,חיפה,34,2867,8156,520
866,ראשון לציון,36,2809,6978,575
755,אום אל-פחם,134,1873,2519,425
720,אלעד,151,2872,2072,442
620,נתיבות,161,1619,2760,373
606,חדרה,63,1455,4505,380
587,רחובות,42,2066,4090,399
504,ביתר עילית,82,3111,1523,331
497,נצרת,63,1240,2198,278
484,בת ים,37,2047,3315,309
384,סח'נין,117,895,2407,249
376,רמלה,50,1725,2147,232
374,רמת גן,25,1722,3828,239
356,יבנה,77,910,1728,247
346,טירה,130,1392,1106,141
332,לוד,44,1819,1813,209
331,טמרה,96,520,2035,209
321,שדרות,119,580,3123,183
305,קרית גת,53,1258,2021,187
299,מודיעין-מכבים-רעות,34,1121,2557,197
294,אופקים,92,724,1651,208
287,שפרעם,70,553,1889,162
280,טייבה,64,1381,1627,158
277,הרצליה,30,1054,2720,168
257,עפולה,48,549,1505,188
255,כפר סבא,26,875,3071,155
255,ראש העין,43,1007,1716,156
253,רעננה,34,1020,2036,153
253,באקה אל-גרביה,86,868,1150,143
236,רכסים,190,705,694,135
218,נהריה,36,727,1742,124
215,ג'דיידה-מכר,104,516,869,85
215,טבריה,48,1175,1600,139
206,עכו,40,604,1904,119
202,כפר קרע,105,597,999,111
201,כפר קאסם,83,1242,731,86
200,קלנסווה,87,1224,881,100
199,מג'ד אל-כרום,129,403,755,101
198,ערערה,99,542,910,97
196,קרית אתא,34,698,1976,125
196,עראבה,75,296,1697,139
193,מעלה אדומים,51,613,1999,135
192,פוריידיס,144,351,552,93
191,נס ציונה,42,568,1332,118
185,מגדל העמק,71,398,1033,127
181,מעלה עירון,120,523,464,59
181,כרמיאל,39,476,1781,107
172,גבעת זאב,90,575,894,109
172,אבו סנאן,129,361,627,79
170,דייר אל-אסד,135,439,589,133
169,כפר מנדא,83,437,420,106
169,צפת,47,615,771,127
167,ריינה,100,304,669,83
166,פרדס חנה-כרכור,40,471,1332,116
165,אור יהודה,47,1011,968,124
159,קרית מלאכי,65,874,981,95
157,דבוריה,149,304,892,124
156,בענה,185,263,617,121
152,רהט,23,1359,782,56
150,עין מאהל,110,475,227,70
147,אילת,26,632,1353,85
147,קרית ים,37,314,1574,71
146,הוד השרון,24,555,1446,89
140,ג'ולס,224,226,344,60
139,קרית ביאליק,35,416,1421,97
137,כסרא-סמיע,157,226,493,70
129,יפיע,67,362,547,73
126,טורעאן,86,198,506,76
126,קרית שמונה,57,271,1188,95
125,נוף הגליל,28,340,1440,86
124,באר יעקב,48,413,818,88
124,"בסמ""ה",116,218,571,89
123,קרית מוצקין,28,310,1520,79
116,שבלי - אום אל-גנם,181,155,406,66
114,אור עקיבא,58,318,558,55
112,גדרה,45,327,1088,58
110,ירכא,71,586,586,74
110,דימונה,31,516,1211,69
106,דאלית אל-כרמל,62,398,383,39
105,כאבול,85,176,546,66
102,גבעתיים,18,457,1380,60
101,רמת השרון,22,449,1298,75
99,נשר,45,184,789,57
98,כפר כנא,43,316,650,62
97,אכסאל,65,247,690,73
97,יהוד,33,417,738,74
96,מגאר,42,220,828,44
94,אריאל,51,188,699,56
93,בית שאן,48,348,381,67
93,גן יבנה,41,400,815,47
88,זכרון יעקב,40,249,628,37
86,יקנעם עילית,37,201,637,56
84,מבשרת ציון,36,258,985,47
80,מג'דל שמס,71,128,699,48
79,ירוחם,76,190,935,34
77,טירת כרמל,33,212,522,48
77,קרית אונו,21,408,856,49
76,כפר יונה,33,203,692,56
74,ג'ת,61,406,494,40
72,כפר יאסיף,67,160,611,43
72,אזור,60,220,337,45
70,בית ג'ן,59,337,319,15
69,פקיעין (בוקייעה),117,106,424,45
68,בוקעאתא,102,191,236,37
65,נחף,48,226,309,32
63,אבו גוש,79,162,399,15
63,אעבלין,48,152,367,31
60,מעלות-תרשיחא,27,167,668,36
59,דייר חנא,55,155,736,39
58,גבעת שמואל,23,356,743,36
57,קרית יערים,91,240,485,32
56,ערד,21,264,592,29
56,שוהם,28,289,639,38
55,ג'לג'וליה,54,321,298,27
55,לקיה,36,311,179,1-5
54,ג'סר א-זרקא,36,247,630,33
53,"כפר חב""ד",77,236,156,46
52,עספיא,42,219,300,22
52,מזכרת בתיה,35,185,392,35
51,גני תקווה,26,274,567,36
48,עיילבון,84,76,275,35
48,שעב,66,121,323,37
48,אבן יהודה,36,155,547,41
46,זמר,65,195,191,11-14
44,מזרעה,112,77,297,11-14
44,עילוט,52,307,180,16
44,קרית עקרון,41,105,277,19
43,משהד,49,74,291,36
43,ראמה,52,102,336,25
42,חורפיש,66,120,211,17
40,חצור הגלילית,41,100,337,25
39,מייסר,193,58,122,15
38,קרני שומרון,45,119,349,17
37,קרית טבעון,23,99,380,17
37,כוכב יעקב,41,251,163,27
36,אפרת,32,160,348,27
35,קדימה-צורן,17,154,419,23
35,חריש,24,219,437,19
34,תל שבע,17,85,264,18
33,יאנוח-ג'ת,50,97,380,25
31,מוקייבלה,74,65,125,20
31,יד בנימין,72,101,179,21
30,אורנית,33,83,286,20
29,עומר,37,131,291,15
29,ביר אל-מכסור,29,56,205,22
29,להבים,47,77,282,16
29,תפרח,134,113,86,16
29,בית דגן,44,102,169,20
28,שערי תקווה,50,91,156,11-14
28,נאעורה,116,53,60,11-14
27,עמנואל,64,162,64,15
26,כעביה-טבאש-חג'אג'רה,44,57,169,6-10
25,חשמונאים,83,81,135,15
24,תל מונד,19,109,339,17
24,בנימינה-גבעת עדה,17,102,366,16
24,רבבה,88,67,200,19
23,קרית ארבע,31,77,158,17
23,כסיפה,13,213,165,15
22,טובא-זנגריה,32,26,133,20
22,שייח' דנון,76,67,132,11-14
22,כאוכב אבו אל-היג'א,57,44,229,11-14
22,עתלית,26,69,217,6-10
21,"בני עי""ש",31,61,171,11-14
21,גבע בנימין,39,98,124,11-14
21,זרזיר,25,59,155,11-14
20,כפר ברא,53,203,111,11-14
20,מעיליא,63,52,151,6-10
20,צור הדסה,21,81,403,15
20,מיתר,20,92,291,11-14
20,כוכב יאיר,22,83,299,6-10
20,אבטין,71,41,87,6-10
20,עין נקובא,57,138,104,6-10
18,בסמת טבעון,23,45,167,6-10
17,ג'ש (גוש חלב),54,30,126,11-14
16,אלפי מנשה,20,79,199,11-14
16,קדומים,35,37,139,6-10
16,אליכין,47,39,117,6-10
16,גני מודיעין,49,29,68,11-14
15,ניצן,65,44,109,1-5
15,עין קנייא,63,62,151,6-10
15,סלמה,43,44,146,1-5
15,עלי זהב,41,40,162,6-10
15,שלומי,23,82,199,6-10
 קטן מ-15 ,אעצם (שבט),1, קטן מ-15 ,36,1-5
 קטן מ-15 ,חורה,6,308,124,6-10
 קטן מ-15 ,רמת ישי,11,30,131,1-5
 קטן מ-15 ,מתן,19,29,80,1-5
 קטן מ-15 ,בית יצחק-שער חפר,24,20,37,1-5
 קטן מ-15 ,אלקנה,29,62,102,1-5
 קטן מ-15 ,תקוע,19,25,106,6-10
 קטן מ-15 ,מרכז שפירא,67,51,139,6-10
 קטן מ-15 ,עפרה,16,42,91,1-5
 קטן מ-15 ,אלעזר,24,25,59,1-5
 קטן מ-15 ,סולם,47,21,116,11-14
 קטן מ-15 ,עוזייר,24,53,89,1-5
 קטן מ-15 ,קיסריה,20,42,151,6-10
 קטן מ-15 ,רומת הייב,29, קטן מ-15 ,20,1-5
 קטן מ-15 ,כפר כמא,33,19,108,1-5
 קטן מ-15 ,כפר מצר,33,56,66,6-10
 קטן מ-15 ,כפר האורנים,18,63,89,1-5
 קטן מ-15 ,בועיינה-נוג'ידאת,14,52,244,1-5
 קטן מ-15 ,הושעיה,49,33,46,6-10
 קטן מ-15 ,יקיר,25,73,64,1-5
 קטן מ-15 ,נוקדים,5, קטן מ-15 ,42,1-5
 קטן מ-15 ,מבוא חורון,28,47,40,6-10
 קטן מ-15 ,שגב-שלום,6,33,86,1-5
 קטן מ-15 ,נופית,51,20,142,6-10
 קטן מ-15 ,כפר אדומים,26,34,98,6-10
 קטן מ-15 ,פסוטה,12, קטן מ-15 ,57,1-5
 קטן מ-15 ,מצפה יריחו,16,35,56,1-5
 קטן מ-15 ,בית אריה,10,49,126,1-5
 קטן מ-15 ,לפיד,42,29,74,1-5
 קטן מ-15 ,בת חפר,22,44,122,1-5
 קטן מ-15 ,כפר ורדים,16,40,100,1-5
 קטן מ-15 ,גבעת אבני,20,31,79,1-5
 קטן מ-15 ,אום בטין,2, קטן מ-15 ,12,1-5
 קטן מ-15 ,עץ אפרים,33,35,111,6-10
 קטן מ-15 ,נוף איילון,48,25,76,6-10
 קטן מ-15 ,אבו תלול,5, קטן מ-15 ,6,0
 קטן מ-15 ,מסעודין אל-עזאזמה,1, קטן מ-15 ,46,1-5
 קטן מ-15 ,בית אל,25,61,118,6-10
 קטן מ-15 ,אבו רובייעה (שבט),1, קטן מ-15 ,10,0
 קטן מ-15 ,הר אדר,15,36,132,1-5
 קטן מ-15 ,כוכב השחר,12,30,43,1-5
 קטן מ-15 ,אלון שבות,22,37,87,1-5
 קטן מ-15 ,נווה דניאל,8,23,40,1-5
 קטן מ-15 ,אחוזת ברק,51,21,65,6-10
 קטן מ-15 ,שמשית,30,29,65,1-5
 קטן מ-15 ,צור יצחק,22,32,214,6-10
 קטן מ-15 ,בית חשמונאי,42,23,62,1-5
 קטן מ-15 ,מצפה רמון,14,53,87,1-5
 קטן מ-15 ,יבנאל,26,121,85,6-10
 קטן מ-15 ,קצרין,16,33,140,11-14
 קטן מ-15 ,מסעדה,32,38,381,11-14
 קטן מ-15 ,כפר תבור,27,41,121,6-10
 קטן מ-15 ,גן נר,15, קטן מ-15 ,62,1-5
 קטן מ-15 ,שילה,7,30,51,1-5
 קטן מ-15 ,עלי,34,49,135,6-10
 קטן מ-15 ,טלמון,25,41,144,6-10
 קטן מ-15 ,אבו רוקייק (שבט),2, קטן מ-15 ,24,0
 קטן מ-15 ,סביון,25,71,194,6-10
 קטן מ-15 ,ברכה,44,18,63,6-10
 קטן מ-15 ,פדואל,14,20,89,1-5
 קטן מ-15 ,צופים,34,24,110,6-10
 קטן מ-15 ,גבעת ברנר,47,29,44,1-5
 קטן מ-15 ,פרדסיה,20,40,159,11-14
 קטן מ-15 ,סאג'ור,32,74,168,1-5
 קטן מ-15 ,צור משה,15,16,53,1-5
 קטן מ-15 ,ערערה-בנגב,3,345,110,1-5
 קטן מ-15 ,ראש פינה,7, קטן מ-15 ,48,1-5
0,ביר הדאג',0,0,6,0
0,אל סייד,0, קטן מ-15 ,27,0
0,ע'ג'ר,0, קטן מ-15 ,13,0
0,סייד (שבט),0,0,16,0
0,קצר א-סר,0,0,4,0
0,אבו ג'ווייעד (שבט),0,0,13,0
0,אבו קורינאת (שבט),0,0,14,0
0,הוואשלה (שבט),0, קטן מ-15 ,2,0
0,אטרש (שבט),0,0,11,0
0,קודייראת א-צאנע(שבט),0, קטן מ-15 ,12,0
