name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,95.18987274169922,105
יוספטל,,64.61538696289062,9
שמיר,,68.46240234375,77
וולפסון,,70.71742248535156,26
זיו צפת,,75.21614074707031,47
הלל יפה,,92.42718505859375,42
נהריה,,82.57261657714844,29
ברזילי,,79.33333587646484,49
פוריה,,63.94366073608398,37
סוראסקי,,104.8676376342773,126
בני ציון,,80.6004638671875,52
רבין ק. בילינסון,,87.90419006347656,193
סורוקה,,67.6802749633789,92
מאיר,,71.72236633300781,106
קפלן,,80.14440155029297,63
"רמב""ם",,91.3402099609375,122
הכרמל,,79.55010223388672,81
השרון ק. גולדה,,68.04978942871094,51
הדסה עין כרם,,,186
הסקוטי,,117.2932357788086,26
סנט וינסנט,,50,7
המשפחה הקדושה,,,0
סנט ג'וזף,,,6
שערי צדק,,107.7395553588867,254
אל מקאסד,,,0
לניאדו,,107.799446105957,95
אוגוסטה ויקטוריה,,,3
מעייני הישועה,,117.0886077880859,48
אסותא אשדוד,,,11
שניידר,,,0
המרכזי בעמק,,70.86206817626953,108
