Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
2020-12-19T00:00:00.000Z,43,60,0,0,0,0
2020-12-20T00:00:00.000Z,7360,7420,0.08,0,0,0
2020-12-21T00:00:00.000Z,24881,32301,0.35,0,0,0
2020-12-22T00:00:00.000Z,44634,76935,0.83,0,0,0
2020-12-23T00:00:00.000Z,62967,139902,1.51,0,0,0
2020-12-24T00:00:00.000Z,73560,213462,2.3,0,0,0
2020-12-25T00:00:00.000Z,38745,252207,2.72,0,0,0
2020-12-26T00:00:00.000Z,32855,285062,3.08,0,0,0
2020-12-27T00:00:00.000Z,105135,390197,4.21,0,0,0
2020-12-28T00:00:00.000Z,135785,525982,5.68,0,0,0
2020-12-29T00:00:00.000Z,157323,683305,7.38,0,0,0
2020-12-30T00:00:00.000Z,154224,837529,9.04,0,0,0
2020-12-31T00:00:00.000Z,159544,997073,10.76,0,0,0
2021-01-01T00:00:00.000Z,72103,1069176,11.54,0,0,0
2021-01-02T00:00:00.000Z,72380,1141556,12.32,0,0,0
2021-01-03T00:00:00.000Z,150964,1292520,13.95,0,0,0
2021-01-04T00:00:00.000Z,152952,1445472,15.6,2,2,0
2021-01-05T00:00:00.000Z,126669,1572141,16.97,0,2,0
2021-01-06T00:00:00.000Z,104724,1676865,18.1,0,2,0
2021-01-07T00:00:00.000Z,117370,1794235,19.37,3,5,0
2021-01-08T00:00:00.000Z,67123,1861358,20.09,3,8,0
2021-01-09T00:00:00.000Z,44977,1906335,20.58,22,30,0
2021-01-10T00:00:00.000Z,38122,1944457,20.99,5978,6008,0.06
2021-01-11T00:00:00.000Z,21425,1965882,21.22,19227,25235,0.27
2021-01-12T00:00:00.000Z,24264,1990146,21.48,35625,60860,0.66
2021-01-13T00:00:00.000Z,52410,2042556,22.05,56874,117734,1.27
2021-01-14T00:00:00.000Z,56741,2099297,22.66,68856,186590,2.01
2021-01-15T00:00:00.000Z,30994,2130291,23,36117,222707,2.4
2021-01-16T00:00:00.000Z,29691,2159982,23.32,26180,248887,2.69
2021-01-17T00:00:00.000Z,68370,2228352,24.05,84516,333403,3.6
2021-01-18T00:00:00.000Z,69505,2297857,24.8,119906,453309,4.89
2021-01-19T00:00:00.000Z,72566,2370423,25.59,137221,590530,6.37
2021-01-20T00:00:00.000Z,76480,2446903,26.41,143075,733605,7.92
2021-01-21T00:00:00.000Z,69492,2516395,27.16,163495,897100,9.68
2021-01-22T00:00:00.000Z,37604,2553999,27.57,70780,967880,10.45
2021-01-23T00:00:00.000Z,39796,2593795,28,53379,1021259,11.02
2021-01-24T00:00:00.000Z,68881,2662676,28.74,140016,1161275,12.54
2021-01-25T00:00:00.000Z,80663,2743339,29.61,138864,1300139,14.03
2021-01-26T00:00:00.000Z,78423,2821762,30.46,125725,1425864,15.39
2021-01-27T00:00:00.000Z,77547,2899309,31.3,124383,1550247,16.73
2021-01-28T00:00:00.000Z,79301,2978610,32.15,129966,1680213,18.14
2021-01-29T00:00:00.000Z,36473,3015083,32.55,64483,1744696,18.83
2021-01-30T00:00:00.000Z,34225,3049308,32.92,42602,1787298,19.29
2021-01-31T00:00:00.000Z,73054,3122362,33.7,59213,1846511,19.93
2021-02-01T00:00:00.000Z,82069,3204431,34.59,35159,1881670,20.31
2021-02-02T00:00:00.000Z,69632,3274063,35.34,30855,1912525,20.64
2021-02-03T00:00:00.000Z,59902,3333965,35.99,50961,1963486,21.19
2021-02-04T00:00:00.000Z,72054,3406019,36.77,57447,2020933,21.81
2021-02-05T00:00:00.000Z,33676,3439695,37.13,28601,2049534,22.12
2021-02-06T00:00:00.000Z,21490,3461185,37.36,22095,2071629,22.36
2021-02-07T00:00:00.000Z,54040,3515225,37.94,68097,2139726,23.1
2021-02-08T00:00:00.000Z,58607,3573832,38.58,64762,2204488,23.8
2021-02-09T00:00:00.000Z,66157,3639989,39.29,66803,2271291,24.52
2021-02-10T00:00:00.000Z,70142,3710131,40.05,71712,2343003,25.29
2021-02-11T00:00:00.000Z,80263,3790394,40.91,71128,2414131,26.06
2021-02-12T00:00:00.000Z,38897,3829291,41.33,37253,2451384,26.46
2021-02-13T00:00:00.000Z,27351,3856642,41.63,30266,2481650,26.79
2021-02-14T00:00:00.000Z,74275,3930917,42.43,68660,2550310,27.53
2021-02-15T00:00:00.000Z,81070,4011987,43.31,75236,2625546,28.34
2021-02-16T00:00:00.000Z,83121,4095108,44.2,77002,2702548,29.17
2021-02-17T00:00:00.000Z,61530,4156638,44.87,74079,2776627,29.97
2021-02-18T00:00:00.000Z,68722,4225360,45.61,78990,2855617,30.82
2021-02-19T00:00:00.000Z,39438,4264798,46.04,37798,2893415,31.23
2021-02-20T00:00:00.000Z,31483,4296281,46.38,28348,2921763,31.54
2021-02-21T00:00:00.000Z,78966,4375247,47.23,77896,2999659,32.38
2021-02-22T00:00:00.000Z,35443,4410690,47.61,35247,3034906,32.76
