date,amount,total
2020-03-02T00:00:00.000Z,0,0
2020-03-03T00:00:00.000Z,0,0
2020-03-04T00:00:00.000Z,0,0
2020-03-05T00:00:00.000Z,0,0
2020-03-06T00:00:00.000Z,0,0
2020-03-07T00:00:00.000Z,0,0
2020-03-08T00:00:00.000Z,0,0
2020-03-09T00:00:00.000Z,0,0
2020-03-10T00:00:00.000Z,0,0
2020-03-11T00:00:00.000Z,0,0
2020-03-12T00:00:00.000Z,0,0
2020-03-13T00:00:00.000Z,0,0
2020-03-14T00:00:00.000Z,0,0
2020-03-15T00:00:00.000Z,0,0
2020-03-16T00:00:00.000Z,0,0
2020-03-17T00:00:00.000Z,0,0
2020-03-18T00:00:00.000Z,0,0
2020-03-19T00:00:00.000Z,0,0
2020-03-20T00:00:00.000Z,1,1
2020-03-21T00:00:00.000Z,0,1
2020-03-22T00:00:00.000Z,0,1
2020-03-23T00:00:00.000Z,0,1
2020-03-24T00:00:00.000Z,3,4
2020-03-25T00:00:00.000Z,1,5
2020-03-26T00:00:00.000Z,5,10
2020-03-27T00:00:00.000Z,2,12
2020-03-28T00:00:00.000Z,1,13
2020-03-29T00:00:00.000Z,3,16
2020-03-30T00:00:00.000Z,1,17
2020-03-31T00:00:00.000Z,4,21
2020-04-01T00:00:00.000Z,8,29
2020-04-02T00:00:00.000Z,9,38
2020-04-03T00:00:00.000Z,5,43
2020-04-04T00:00:00.000Z,6,49
2020-04-05T00:00:00.000Z,7,56
2020-04-06T00:00:00.000Z,8,64
2020-04-07T00:00:00.000Z,8,72
2020-04-08T00:00:00.000Z,8,80
2020-04-09T00:00:00.000Z,9,89
2020-04-10T00:00:00.000Z,8,97
2020-04-11T00:00:00.000Z,6,103
2020-04-12T00:00:00.000Z,6,109
2020-04-13T00:00:00.000Z,9,118
2020-04-14T00:00:00.000Z,8,126
2020-04-15T00:00:00.000Z,13,139
2020-04-16T00:00:00.000Z,7,146
2020-04-17T00:00:00.000Z,9,155
2020-04-18T00:00:00.000Z,11,166
2020-04-19T00:00:00.000Z,8,174
2020-04-20T00:00:00.000Z,6,180
2020-04-21T00:00:00.000Z,9,189
2020-04-22T00:00:00.000Z,3,192
2020-04-23T00:00:00.000Z,4,196
2020-04-24T00:00:00.000Z,3,199
2020-04-25T00:00:00.000Z,3,202
2020-04-26T00:00:00.000Z,2,204
2020-04-27T00:00:00.000Z,4,208
2020-04-28T00:00:00.000Z,5,213
2020-04-29T00:00:00.000Z,6,219
2020-04-30T00:00:00.000Z,6,225
2020-05-01T00:00:00.000Z,4,229
2020-05-02T00:00:00.000Z,3,232
2020-05-03T00:00:00.000Z,3,235
2020-05-04T00:00:00.000Z,3,238
2020-05-05T00:00:00.000Z,2,240
2020-05-06T00:00:00.000Z,1,241
2020-05-07T00:00:00.000Z,1,242
2020-05-08T00:00:00.000Z,6,248
2020-05-09T00:00:00.000Z,3,251
2020-05-10T00:00:00.000Z,4,255
2020-05-11T00:00:00.000Z,5,260
2020-05-12T00:00:00.000Z,3,263
2020-05-13T00:00:00.000Z,3,266
2020-05-14T00:00:00.000Z,2,268
2020-05-15T00:00:00.000Z,0,268
2020-05-16T00:00:00.000Z,3,271
2020-05-17T00:00:00.000Z,4,275
2020-05-18T00:00:00.000Z,3,278
2020-05-19T00:00:00.000Z,2,280
2020-05-20T00:00:00.000Z,1,281
2020-05-21T00:00:00.000Z,0,281
2020-05-22T00:00:00.000Z,0,281
2020-05-23T00:00:00.000Z,0,281
2020-05-24T00:00:00.000Z,1,282
2020-05-25T00:00:00.000Z,2,284
2020-05-26T00:00:00.000Z,0,284
2020-05-27T00:00:00.000Z,2,286
2020-05-28T00:00:00.000Z,1,287
2020-05-29T00:00:00.000Z,0,287
2020-05-30T00:00:00.000Z,0,287
2020-05-31T00:00:00.000Z,0,287
2020-06-01T00:00:00.000Z,3,290
2020-06-02T00:00:00.000Z,2,292
2020-06-03T00:00:00.000Z,1,293
2020-06-04T00:00:00.000Z,0,293
2020-06-05T00:00:00.000Z,1,294
2020-06-06T00:00:00.000Z,4,298
2020-06-07T00:00:00.000Z,2,300
2020-06-08T00:00:00.000Z,0,300
2020-06-09T00:00:00.000Z,1,301
2020-06-10T00:00:00.000Z,1,302
2020-06-11T00:00:00.000Z,0,302
2020-06-12T00:00:00.000Z,0,302
2020-06-13T00:00:00.000Z,1,303
2020-06-14T00:00:00.000Z,2,305
2020-06-15T00:00:00.000Z,0,305
2020-06-16T00:00:00.000Z,1,306
2020-06-17T00:00:00.000Z,0,306
2020-06-18T00:00:00.000Z,0,306
2020-06-19T00:00:00.000Z,1,307
2020-06-20T00:00:00.000Z,1,308
2020-06-21T00:00:00.000Z,0,308
2020-06-22T00:00:00.000Z,1,309
2020-06-23T00:00:00.000Z,2,311
2020-06-24T00:00:00.000Z,3,314
2020-06-25T00:00:00.000Z,4,318
2020-06-26T00:00:00.000Z,3,321
2020-06-27T00:00:00.000Z,3,324
2020-06-28T00:00:00.000Z,2,326
2020-06-29T00:00:00.000Z,0,326
2020-06-30T00:00:00.000Z,1,327
2020-07-01T00:00:00.000Z,3,330
2020-07-02T00:00:00.000Z,1,331
2020-07-03T00:00:00.000Z,3,334
2020-07-04T00:00:00.000Z,5,339
2020-07-05T00:00:00.000Z,2,341
2020-07-06T00:00:00.000Z,8,349
2020-07-07T00:00:00.000Z,5,354
2020-07-08T00:00:00.000Z,5,359
2020-07-09T00:00:00.000Z,5,364
2020-07-10T00:00:00.000Z,4,368
2020-07-11T00:00:00.000Z,5,373
2020-07-12T00:00:00.000Z,7,380
2020-07-13T00:00:00.000Z,4,384
2020-07-14T00:00:00.000Z,7,391
2020-07-15T00:00:00.000Z,6,397
2020-07-16T00:00:00.000Z,9,406
2020-07-17T00:00:00.000Z,12,418
2020-07-18T00:00:00.000Z,8,426
2020-07-19T00:00:00.000Z,10,436
2020-07-20T00:00:00.000Z,12,448
2020-07-21T00:00:00.000Z,9,457
2020-07-22T00:00:00.000Z,6,463
2020-07-23T00:00:00.000Z,16,479
2020-07-24T00:00:00.000Z,8,487
2020-07-25T00:00:00.000Z,7,494
2020-07-26T00:00:00.000Z,11,505
2020-07-27T00:00:00.000Z,7,512
2020-07-28T00:00:00.000Z,8,520
2020-07-29T00:00:00.000Z,15,535
2020-07-30T00:00:00.000Z,15,550
2020-07-31T00:00:00.000Z,14,564
2020-08-01T00:00:00.000Z,14,578
2020-08-02T00:00:00.000Z,11,589
2020-08-03T00:00:00.000Z,15,604
2020-08-04T00:00:00.000Z,11,615
2020-08-05T00:00:00.000Z,10,625
2020-08-06T00:00:00.000Z,9,634
2020-08-07T00:00:00.000Z,12,646
2020-08-08T00:00:00.000Z,13,659
2020-08-09T00:00:00.000Z,7,666
2020-08-10T00:00:00.000Z,15,681
2020-08-11T00:00:00.000Z,11,692
2020-08-12T00:00:00.000Z,15,707
2020-08-13T00:00:00.000Z,16,723
2020-08-14T00:00:00.000Z,12,735
2020-08-15T00:00:00.000Z,10,745
2020-08-16T00:00:00.000Z,19,764
2020-08-17T00:00:00.000Z,4,768
2020-08-18T00:00:00.000Z,14,782
2020-08-19T00:00:00.000Z,12,794
2020-08-20T00:00:00.000Z,12,806
