city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,130927,53,37,11908,1
קרית אונו,1784, קטן מ-15 ,  1-5  ,606,0
מזכרת בתיה,755, קטן מ-15 ,  1-5  ,180,1
מג'ד אל-כרום,2203, קטן מ-15 ,  0  ,103,1
טירת כרמל,1395, קטן מ-15 ,  0  ,209,0
רמת השרון,1922, קטן מ-15 ,  1-5  ,1308,0
באקה אל-גרביה,2770, קטן מ-15 ,  0  ,188,1
פתח תקווה,21762, קטן מ-15 ,  1-5  ,3347,0
בנימינה-גבעת עדה,617, קטן מ-15 ,  0  ,248,1
"כפר חב""ד",1365, קטן מ-15 ,  1-5  ,173,1
תל שבע,607, קטן מ-15 ,  1-5  ,162,1
טורעאן,1305, קטן מ-15 ,  0  ,136,1
אפרת,1062, קטן מ-15 ,  0  ,307,1
אשדוד,25658, קטן מ-15 ,  1-5  ,3154,0
אבו גוש,1293, קטן מ-15 ,  1-5  ,448,1
כפר כמא,164, קטן מ-15 ,  1-5  ,33,3
עיילבון,607, קטן מ-15 ,  0  ,60,2
עילוט,668, קטן מ-15 ,  0  ,46,1
מייסר,124, קטן מ-15 ,  0  ,12,10
יפיע,2223, קטן מ-15 ,  1-5  ,137,1
מודיעין-מכבים-רעות,4833, קטן מ-15 ,  1-5  ,1592,0
תל אביב - יפו,26433, קטן מ-15 ,  6-10  ,15727,0
ראשון לציון,14916, קטן מ-15 ,  6-10  ,4238,0
נוף הגליל,2869, קטן מ-15 ,  0  ,578,0
עוזייר,165, קטן מ-15 ,  0  ,8,3
אום אל-פחם,6183, קטן מ-15 ,  1-5  ,272,1
בת ים,9710, קטן מ-15 ,  1-5  ,2235,0
חולון,14670, קטן מ-15 ,  1-5  ,2820,0
אשקלון,11882, קטן מ-15 ,  1-5  ,1888,0
נתניה,17078, קטן מ-15 ,  1-5  ,4522,0
סח'נין,4375, קטן מ-15 ,  0  ,239,0
באר שבע,15272, קטן מ-15 ,  1-5  ,3494,0
בית שמש,20290, קטן מ-15 ,  1-5  ,1800,0
הרצליה,4279, קטן מ-15 ,  1-5  ,2751,0
קרית אתא,4689, קטן מ-15 ,  0  ,586,0
כפר סבא,4135, קטן מ-15 ,  1-5  ,2271,0
רחובות,11319, קטן מ-15 ,  1-5  ,1594,0
רעננה,3889, קטן מ-15 ,  6-10  ,2354,1
חריש,1541, קטן מ-15 ,  1-5  ,191,1
דימונה,2509, קטן מ-15 ,  1-5  ,559,0
חיפה,16688, קטן מ-15 ,  0  ,4512,0
לוד,8694, קטן מ-15 ,  0  ,1904,1
נצרת,9047, קטן מ-15 ,  1-5  ,965,0
ערד,2468, קטן מ-15 ,  0  ,484,1
אילת,2527, קטן מ-15 ,  1-5  ,1027,0
מעלה אדומים,3842, קטן מ-15 ,  0  ,377,0
עפולה,3797, קטן מ-15 ,  1-5  ,513,0
רמלה,9552, קטן מ-15 ,  1-5  ,1162,0
קרית גת,7328, קטן מ-15 ,  0  ,493,0
צור יצחק,228,0,  0  ,74,0
באר יעקב,2264,0,  0  ,350,0
ראש העין,5441,0,  0  ,854,0
תפרח,713,0,  0  ,7,0
תקוע,286,0,  0  ,68,0
אלעזר,192,0,  0  ,40,0
פקיעין (בוקייעה),1007,0,  0  ,35,0
פסגות,195,0,  0  ,9,0
עלי זהב,275,0,  0  ,78,0
צופים,133,0,  0  ,31,0
עתלית,354,0,  0  ,124,0
צור משה,113,0,  0  ,45,0
אכסאל,1500,0,  0  ,111,0
בענה,986,0,  0  ,36,0
ג'ולס,669,0,  0  ,33,0
ירכא,2130,0,  0  ,86,0
כפר כנא,2439,0,  0  ,181,0
נחף,1224,0,  0  ,38,0
עראבה,2328,0,  0  ,154,0
עספיא,1404,0,  0  ,143,0
שעב,672,0,  0  ,51,0
ראמה,950,0,  0  ,50,0
אופקים,4313,0,  0  ,360,0
ג'סר א-זרקא,979,0,  0  ,183,0
נתיבות,7039,0,  0  ,297,0
ניצן,229,0,  0  ,19,0
גבעת שמואל,1726,0,  0  ,426,0
מגאר,2153,0,  0  ,112,0
אלקנה,297,0,  0  ,68,0
אריאל,1070,0,  0  ,279,0
בית אל,534,0,  0  ,40,0
עפרה,282,0,  0  ,28,0
אורנית,371,0,  0  ,117,0
חשמונאים,464,0,  0  ,95,0
ראש פינה,155,0,  0  ,43,0
אליכין,248,0,  0  ,30,0
יבנאל,312,0,  0  ,28,0
תל מונד,494,0,  0  ,264,0
כפר יונה,1427,0,  0  ,309,0
פרדסיה,264,0,  0  ,131,0
אבו סנאן,1353,0,  0  ,132,0
דייר חנא,1472,0,  0  ,107,0
כאבול,1297,0,  0  ,87,0
בסמת טבעון,492,0,  0  ,31,0
כפר מנדא,1690,0,  0  ,94,0
כפר מצר,315,0,  0  ,15,0
מזרעה,305,0,  0  ,49,0
מעיליא,268,0,  0  ,56,0
אעבלין,1206,0,  0  ,88,0
קודייראת א-צאנע(שבט),18,0,  0  ,5,0
עין מאהל,1651,0,  0  ,81,0
פסוטה,295,0,  0  ,28,0
אזור,1131,0,  0  ,199,0
סביון,225,0,  0  ,191,0
כפר ברא,387,0,  0  ,23,0
קלנסווה,2503,0,  0  ,224,0
כפר קרע,1679,0,  0  ,125,0
שלומי,418,0,  0  ,65,0
רכסים,3124,0,  0  ,28,0
כרמיאל,2473,0,  0  ,493,0
זרזיר,498,0,  0  ,52,0
כסיפה,928,0,  0  ,71,0
לקיה,824,0,  0  ,149,0
קיסריה,243,0,  0  ,225,0
הושעיה,149,0,  0  ,12,0
מיתר,372,0,  0  ,141,0
להבים,269,0,  0  ,125,0
זמר,592,0,  0  ,44,0
חורה,879,0,  0  ,90,0
שוהם,1100,0,  0  ,377,0
אלעד,11576,0,  0  ,240,0
מתן,162,0,  0  ,71,0
"בסמ""ה",921,0,  0  ,47,0
בית אריה,242,0,  0  ,81,0
עמנואל,676,0,  0  ,15,0
אבו רובייעה (שבט),55,0,  0  ,16,0
נאעורה,179,0,  0  ,16,0
סאג'ור,508,0,  0  ,25,0
סולם,267,0,  0  ,18,0
ביר אל-מכסור,597,0,  0  ,55,0
אבטין,214,0,  0  ,25,0
עומר,281,0,  0  ,166,0
שדרות,2893,0,  0  ,272,0
משהד,799,0,  0  ,41,0
ריינה,1709,0,  0  ,146,0
אעצם (שבט),86,0,  0  ,27,0
אטרש (שבט),55,0,  0  ,14,0
רומת הייב,118,0,  0  ,13,0
קרית יערים,1526,0,  0  ,47,0
נוף איילון,233,0,  0  ,24,0
כאוכב אבו אל-היג'א,462,0,  0  ,46,0
שבלי - אום אל-גנם,566,0,  0  ,51,0
טובא-זנגריה,493,0,  0  ,27,0
מבשרת ציון,1919,0,  0  ,367,0
מעלות-תרשיחא,1587,0,  0  ,280,0
ג'דיידה-מכר,2042,0,  0  ,128,0
חצור הגלילית,1398,0,  0  ,69,0
כוכב השחר,290,0,  0  ,20,0
אלון שבות,379,0,  0  ,58,0
שערי תקווה,366,0,  0  ,70,0
נווה דניאל,303,0,  0  ,59,0
ביתר עילית,12880,0,  0  ,291,0
אבני חפץ,321,0,  0  ,10,0
קרית טבעון,568,0,  0  ,260,0
מצפה רמון,279,0,  0  ,55,0
אבן יהודה,653,0,  0  ,462,0
קדימה-צורן,1161,0,  0  ,350,0
קרית עקרון,896,0,  0  ,79,0
בועיינה-נוג'ידאת,918,0,  0  ,57,0
כפר יאסיף,965,0,  0  ,75,0
עין נקובא,573,0,  0  ,25,0
יד בנימין,671,0,  0  ,41,0
ג'לג'וליה,973,0,  0  ,174,0
מגדל העמק,2107,0,  0  ,255,0
אבו רוקייק (שבט),88,0,  0  ,24,0
אבו ג'ווייעד (שבט),65,0,  0  ,160,0
אבו קורינאת (שבט),59,0,  0  ,14,0
קרית מלאכי,4100,0,  0  ,193,0
גני תקווה,1331,0,  0  ,300,0
ערערה-בנגב,1019,0,  0  ,224,0
כוכב יאיר,336,0,  0  ,256,0
כפר ורדים,234,0,  0  ,128,0
גבעת אבני,113,0,  0  ,36,0
כסרא-סמיע,972,0,  0  ,18,0
מעלה עירון,1896,0,  0  ,59,0
אור יהודה,4380,0,  0  ,399,0
קרית ארבע,859,0,  0  ,51,0
כפר האורנים,119,0,  0  ,39,0
