name,value
ריפוי בעיסוק,0
מעבדה,0
פראמדיקים,0
מעבדה,0
קלינאות תקשורת,0
מערך לוגיסטי,0
חובשי רפואת חירום,0
מערך לוגיסטי,0
חובשי רפואת חירום,0
ריפוי בעיסוק,0
פראמדיקים,0
קלינאות תקשורת,0
קלינאות תקשורת,0
חובשי רפואת חירום,0
מערך לוגיסטי,0
ריפוי בעיסוק,0
פראמדיקים,0
מעבדה,0
כוח עזר,1
רוקחות,1
שירות סוציאלי,1
שירות סוציאלי,1
פסיכולוגיה,1
פסיכולוגיה,1
רוקחות,1
שירות סוציאלי,1
פסיכולוגיה,1
רוקחות,1
כוח עזר,1
פיזיותרפיה,1
פיזיותרפיה,1
כוח עזר,1
פיזיותרפיה,1
סקטורים אחרים,5
סקטורים אחרים,5
סקטורים אחרים,5
מינהל ומשק,7
מינהל ומשק,7
מינהל ומשק,7
