name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
טירת כרמל,1.7,ירוק,0.8,0.0054200542005,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,67.23080090590899,63.18303479514103,
בית יצחק-שער חפר,4.9,ירוק,37.3,0.0470588235294,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,76.81902985074626,70.80223880597015,
קרני שומרון,4.4,ירוק,12.6,0.015444015444,0.2,16,ירוק,2021-07-11T00:00:00.000Z,59.61862621154657,53.00252844500633,16.9
מעיליא,2.6,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,62.557781201849,58.39753466872111,
מסעדה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,64.74034620505992,56.80426098535286,0.0
בענה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,51.50219688873056,45.267782923643274,0.0
תל מונד,3.3,ירוק,3.0,0.0060882800608,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,77.28994874080678,70.33652774682416,
פקיעין (בוקייעה),2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,58.87991927346115,53.75042045072318,0.0
נופית,2.8,ירוק,3.8,0.0079365079365,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,83.34609494640122,76.30168453292497,
עילוט,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,49.044212501465935,43.83722293889997,0.0
דבוריה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,56.852649316607376,50.57105410971728,0.0
ג'ת,1.9,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,56.60300359125041,50.51420176297747,
לפיד,4,ירוק,4.3,0.0074074074074,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,82.55863539445629,75.22388059701493,
שתולים,2.3,ירוק,4.8,0.03125,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,65.12183468705209,58.14620162446249,
חיפה,4.3,ירוק,2.0,0.0073164358505,1,70,ירוק,2021-07-11T00:00:00.000Z,69.1758397928283,64.73098206547104,2.5
ג'דיידה-מכר,3.5,ירוק,3.8,0.0330578512396,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,57.62505274014346,51.16965918147297,
טובא-זנגריה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,56.62843037607086,51.938434732103964,0.0
ירוחם,2.3,ירוק,1.9,0.0122699386503,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,59.56928838951311,53.51123595505618,
שדרות,3.1,ירוק,2.4,0.0168269230769,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,56.83587667393335,52.046783625730995,
מעלה עירון,2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,49.27366295355352,44.15347534362582,0.0
מבשרת ציון,2.2,ירוק,0.8,0.0023041474654,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,73.56963896989363,67.26906805766623,
תקוע,2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,45.43935052531041,40.32951289398281,0.0
יבנה,4.7,ירוק,5.2,0.0146561443066,1.6,29,ירוק,2021-07-11T00:00:00.000Z,62.386703912859986,57.014811390904164,5.8
עלי זהב,5,ירוק,18.3,0.0299145299145,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,46.71723777138373,39.81166623070887,
אריאל,1.9,ירוק,0.5,0.0018903591682,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,62.377977352596645,57.736235845372896,
הר אדר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,82.13326824505735,73.29753478154747,0.0
הושעיה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,74.19818094782192,63.810435615126856,0.0
בית ג'ן,1.9,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,58.082011668994994,51.06417947242995,0.0
אלקנה,3,ירוק,2.5,0.0065789473684,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,69.0578428896186,61.454912856782016,
