age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,174443,39019,404626,86,235,1883,49.3,602.3,465.4,0,0,0,0,0,0
16-19,425992,24229,133324,1084,53,556,254.5,218.7,417,0,0,0,0,0,0
20-29,988836,41911,269614,3008,80,1040,304.2,190.9,385.7,0,0,2,0,0,0.7
30-39,966839,32727,197460,3224,53,937,333.5,161.9,474.5,0,0,8,0,0,4.1
40-49,925730,25040,147786,3316,32,715,358.2,127.8,483.8,5,0,18,0.5,0,12.2
50-59,746615,16865,86486,2352,30,451,315,177.9,521.5,14,2,17,1.9,11.9,19.7
60-69,664515,10448,66676,2091,13,282,314.7,124.4,422.9,42,1,33,6.3,9.6,49.5
70-79,463560,5781,21443,1399,15,141,301.8,259.5,657.6,75,2,16,16.2,34.6,74.6
80-89,208519,3897,13122,661,9,99,317,230.9,754.5,75,2,31,36,51.3,236.2
90+,46498,1750,3248,186,6,33,400,342.9,1016,21,2,7,45.2,114.3,215.5
