age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,193288,58613,366187,245,493,3826,126.8,841.1,1044.8,0,0,2,0,0,0.5
16-19,432064,29070,122411,2093,129,1237,484.4,443.8,1010.5,0,0,1,0,0,0.8
20-29,993897,43558,262906,7134,228,2466,717.8,523.4,938,2,1,6,0.2,2.3,2.3
30-39,970824,34764,191438,7384,153,2195,760.6,440.1,1146.6,5,0,17,0.5,0,8.9
40-49,928845,26726,142985,6760,95,1477,727.8,355.5,1033,12,0,42,1.3,0,29.4
50-59,749480,17865,82621,4689,71,903,625.6,397.4,1092.9,44,0,46,5.9,0,55.7
60-69,666822,10713,64104,3042,34,610,456.2,317.4,951.6,65,2,72,9.7,18.7,112.3
70-79,465029,5863,19892,1844,23,357,396.5,392.3,1794.7,90,6,54,19.4,102.3,271.5
80-89,209246,3912,12380,1058,15,186,505.6,383.4,1502.4,120,2,51,57.3,51.1,412
90+,46673,1762,3061,292,9,71,625.6,510.8,2319.5,19,1,15,40.7,56.8,490
