age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,284038,190851,618088,46,30.9,36,0
16-19,471398,405907,583545,80.8,69.6,1730,0.3
20-29,1044020,947680,1300361,80.3,72.9,23564,1.8
30-39,1012108,938212,1197026,84.6,78.4,162230,13.6
40-49,961258,898379,1098556,87.5,81.8,325271,29.6
50-59,770537,726054,849966,90.7,85.4,406860,47.9
60-69,679204,650958,741639,91.6,87.8,482500,65.1
70-79,471840,459297,490784,96.1,93.6,392055,79.9
80-89,213574,207463,225538,94.7,92,170909,75.8
90+,48547,46678,51496,94.3,90.6,36342,70.6
