age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized,Active_amount_boost_vaccinated,Serious_amount_boost_vaccinated,Active_boost_vaccinated_normalized,Serious_boost_vaccinated_normalized,boost_vaccinated_amount_cum
12-15,224357,80524,313207,540,1362,5198,240.7,1691.4,1659.6,0,0,4,0,0,1.3,,,,,
16-19,442758,38216,102571,3731,266,2179,842.7,696,2124.4,0,0,2,0,0,1.9,,,,,
20-29,1001969,50045,248347,10150,381,3730,1013,761.3,1501.9,0,0,8,0,0,3.2,,,,,
30-39,977914,40426,178686,9366,286,3311,957.8,707.5,1853,6,1,30,0.6,2.5,16.8,,,,,
40-49,935063,30527,132966,7251,156,2258,775.5,511,1698.2,18,0,55,1.9,0,41.4,,,,,
50-59,753727,19203,77036,3654,105,1229,484.8,546.8,1595.4,36,3,60,4.8,15.6,77.9,,,,,
60-69,669356,11046,61237,1988,64,827,297,579.4,1350.5,62,3,94,9.3,27.2,153.5,,,,,
70-79,466468,6031,18285,1140,28,407,244.4,464.3,2225.9,83,0,77,17.8,0,421.1,,,,,
80-89,209870,3972,11696,770,24,238,366.9,604.2,2034.9,57,3,37,27.2,75.5,316.3,,,,,
90+,46813,1801,2882,225,17,70,480.6,943.9,2428.9,18,2,17,38.5,111,589.9,,,,,
