age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,310822,212935,635971,48.9,33.5,179,0
16-19,484064,413708,591331,81.9,70,73403,12.4
20-29,1055045,954811,1319364,80,72.4,262930,19.9
30-39,1020460,943120,1207243,84.5,78.1,333934,27.7
40-49,967092,902576,1110965,87,81.2,455891,41
50-59,773804,728974,874608,88.5,83.3,469692,53.7
60-69,680847,652787,747217,91.1,87.4,510300,68.3
70-79,472764,460394,526929,89.7,87.4,405768,77
80-89,213955,207860,238729,89.6,87.1,177126,74.2
90+,48646,46762,58687,82.9,79.7,37913,64.6
