section,male,female,period,order_period
0-9,"{'amount': 109775, 'percentage': 10.9}","{'amount': 107468, 'percentage': 10.7}",שנה,2
0-9,"{'amount': 125213, 'percentage': 9.7}","{'amount': 122573, 'percentage': 9.5}",מתחילת קורונה,1
0-9,"{'amount': 25852, 'percentage': 16}","{'amount': 25933, 'percentage': 16.1}",חודש אחרון,5
0-9,"{'amount': 60578, 'percentage': 13.5}","{'amount': 60190, 'percentage': 13.4}",3 חודשים,4
0-9,"{'amount': 61351, 'percentage': 13.4}","{'amount': 61015, 'percentage': 13.3}",6 חודשים,3
10-19,"{'amount': 44690, 'percentage': 9.8}","{'amount': 51494, 'percentage': 11.2}",6 חודשים,3
10-19,"{'amount': 16986, 'percentage': 10.5}","{'amount': 20098, 'percentage': 12.4}",חודש אחרון,5
10-19,"{'amount': 136397, 'percentage': 10.6}","{'amount': 139632, 'percentage': 10.9}",מתחילת קורונה,1
10-19,"{'amount': 43447, 'percentage': 9.7}","{'amount': 49953, 'percentage': 11.1}",3 חודשים,4
10-19,"{'amount': 101213, 'percentage': 10.1}","{'amount': 113548, 'percentage': 11.3}",שנה,2
20-29,"{'amount': 26991, 'percentage': 6}","{'amount': 35874, 'percentage': 8}",3 חודשים,4
20-29,"{'amount': 8476, 'percentage': 5.2}","{'amount': 12272, 'percentage': 7.6}",חודש אחרון,5
20-29,"{'amount': 71064, 'percentage': 7.1}","{'amount': 91216, 'percentage': 9.1}",שנה,2
20-29,"{'amount': 99233, 'percentage': 7.7}","{'amount': 118819, 'percentage': 9.2}",מתחילת קורונה,1
20-29,"{'amount': 27374, 'percentage': 6}","{'amount': 36264, 'percentage': 7.9}",6 חודשים,3
30-39,"{'amount': 80797, 'percentage': 6.3}","{'amount': 98975, 'percentage': 7.7}",מתחילת קורונה,1
30-39,"{'amount': 61834, 'percentage': 6.1}","{'amount': 79413, 'percentage': 7.9}",שנה,2
30-39,"{'amount': 8849, 'percentage': 5.5}","{'amount': 13960, 'percentage': 8.6}",חודש אחרון,5
30-39,"{'amount': 26596, 'percentage': 5.9}","{'amount': 37543, 'percentage': 8.4}",3 חודשים,4
30-39,"{'amount': 26985, 'percentage': 5.9}","{'amount': 38032, 'percentage': 8.3}",6 חודשים,3
40-49,"{'amount': 21952, 'percentage': 4.8}","{'amount': 27940, 'percentage': 6.1}",6 חודשים,3
40-49,"{'amount': 21487, 'percentage': 4.8}","{'amount': 27332, 'percentage': 6.1}",3 חודשים,4
40-49,"{'amount': 6552, 'percentage': 4.1}","{'amount': 8578, 'percentage': 5.3}",חודש אחרון,5
40-49,"{'amount': 50481, 'percentage': 5}","{'amount': 62218, 'percentage': 6.2}",שנה,2
40-49,"{'amount': 66993, 'percentage': 5.2}","{'amount': 80627, 'percentage': 6.3}",מתחילת קורונה,1
50-59,"{'amount': 11976, 'percentage': 2.7}","{'amount': 15313, 'percentage': 3.4}",3 חודשים,4
50-59,"{'amount': 2996, 'percentage': 1.9}","{'amount': 4075, 'percentage': 2.5}",חודש אחרון,5
50-59,"{'amount': 32918, 'percentage': 3.3}","{'amount': 39539, 'percentage': 3.9}",שנה,2
50-59,"{'amount': 45750, 'percentage': 3.6}","{'amount': 53388, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 12294, 'percentage': 2.7}","{'amount': 15689, 'percentage': 3.4}",6 חודשים,3
60-69,"{'amount': 7947, 'percentage': 1.7}","{'amount': 9535, 'percentage': 2.1}",6 חודשים,3
60-69,"{'amount': 7648, 'percentage': 1.7}","{'amount': 9210, 'percentage': 2.1}",3 חודשים,4
60-69,"{'amount': 1666, 'percentage': 1}","{'amount': 2189, 'percentage': 1.4}",חודש אחרון,5
60-69,"{'amount': 30686, 'percentage': 2.4}","{'amount': 32732, 'percentage': 2.5}",מתחילת קורונה,1
60-69,"{'amount': 21352, 'percentage': 2.1}","{'amount': 24120, 'percentage': 2.4}",שנה,2
70-79,"{'amount': 4321, 'percentage': 0.9}","{'amount': 5114, 'percentage': 1.1}",6 חודשים,3
70-79,"{'amount': 789, 'percentage': 0.5}","{'amount': 1011, 'percentage': 0.6}",חודש אחרון,5
70-79,"{'amount': 15550, 'percentage': 1.2}","{'amount': 16844, 'percentage': 1.3}",מתחילת קורונה,1
70-79,"{'amount': 11051, 'percentage': 1.1}","{'amount': 12645, 'percentage': 1.3}",שנה,2
70-79,"{'amount': 4127, 'percentage': 0.9}","{'amount': 4893, 'percentage': 1.1}",3 חודשים,4
80-89,"{'amount': 7024, 'percentage': 0.5}","{'amount': 9628, 'percentage': 0.7}",מתחילת קורונה,1
80-89,"{'amount': 1983, 'percentage': 0.4}","{'amount': 2561, 'percentage': 0.6}",6 חודשים,3
80-89,"{'amount': 384, 'percentage': 0.2}","{'amount': 554, 'percentage': 0.3}",חודש אחרון,5
80-89,"{'amount': 1907, 'percentage': 0.4}","{'amount': 2479, 'percentage': 0.6}",3 חודשים,4
80-89,"{'amount': 5099, 'percentage': 0.5}","{'amount': 7185, 'percentage': 0.7}",שנה,2
90+,"{'amount': 1717, 'percentage': 0.1}","{'amount': 3528, 'percentage': 0.3}",מתחילת קורונה,1
90+,"{'amount': 432, 'percentage': 0.1}","{'amount': 794, 'percentage': 0.2}",6 חודשים,3
90+,"{'amount': 423, 'percentage': 0.1}","{'amount': 761, 'percentage': 0.2}",3 חודשים,4
90+,"{'amount': 101, 'percentage': 0.1}","{'amount': 169, 'percentage': 0.1}",חודש אחרון,5
90+,"{'amount': 1278, 'percentage': 0.1}","{'amount': 2512, 'percentage': 0.2}",שנה,2
