priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
year,דומיניקה,כתום,2,44,0,0,
year,טובלו,כתום,2,3,0,0,
year,ניגריה,כתום,2,840,5,0.6,
year,מלאווי,כתום,2,213,0,0,
year,בורונדי,כתום,2,10,0,0,
year,אוזבקיסטן,כתום,2,2735,105,3.84,
year,פרו,כתום,2,893,18,2.02,
year,סלובקיה,כתום,2,1516,4,0.26,
year,תאילנד,כתום,2,7176,17,0.24,
year,ארצות הברית,כתום,2,301657,1840,0.61,
year,איטליה,צהוב,3,61290,149,0.24,
year,קמבודיה,כתום,2,18,0,0,
year,קולומביה,כתום,2,906,7,0.77,
year,הונגריה,כתום,2,40505,221,0.55,
year,מקאו,כתום,2,19,0,0,
year,תורכיה,כתום,2,103675,1434,1.38,
year,אפגניסטן,כתום,2,7,0,0,
year,ליבריה,כתום,2,24,0,0,
year,פינלנד,כתום,2,2693,8,0.3,
year,מרוקו,כתום,2,2844,60,2.11,
year,רוסיה,כתום,2,29819,365,1.22,
year,קרואטיה,כתום,2,2568,39,1.52,
year,אוסטריה,צהוב,3,63203,239,0.38,
year,עירק,כתום,2,105,1,0.95,
year,סרביה,כתום,2,5160,44,0.85,
year,לוב,כתום,2,4,0,0,
year,קונגו,כתום,2,36,2,5.56,
year,זימבאבווה,כתום,2,101,0,0,
year,ארגנטינה,כתום,2,1302,6,0.46,
year,קירג'זסטאן,כתום,2,543,33,6.08,
year,קמרון,כתום,2,101,4,3.96,
year,מאוריציוס,כתום,2,50,0,0,
year,בנגלדש,כתום,2,3,0,0,
year,פרגוואי,כתום,2,157,1,0.64,
year,אנגולה,כתום,2,224,1,0.45,
year,איי נורפולק,כתום,2,5,0,0,
year,טיוואן,צהוב,3,189,0,0,
year,פלאו,כתום,2,1,0,0,
year,גבון,כתום,2,31,0,0,
year,נמיביה,כתום,2,119,0,0,
year,מצרים,כתום,2,125347,619,0.49,
year,פולין,כתום,2,22970,98,0.43,
year,גווטאמלה,כתום,2,317,12,3.79,
year,בילורוסיה,כתום,2,8994,89,0.99,
year,יוון,כתום,2,206464,1070,0.52,
year,ברזיל,כתום,2,983,7,0.71,
year,אנדורה,כתום,2,19,0,0,
year,אינדונזיה,כתום,2,51,0,0,
year,נורבגיה,כתום,2,589,3,0.51,
year,סנגל,כתום,2,75,0,0,
year,מקדוניה,כתום,2,173,2,1.16,
year,ניגר,כתום,2,12,0,0,
year,סלובניה,כתום,2,1571,7,0.45,
year,קזחסטאן,כתום,2,819,27,3.3,
year,בוטסואנה,כתום,2,134,0,0,
year,צכיה,צהוב,3,35878,202,0.56,
year,פאפואה,כתום,2,13,0,0,
year,איי סיישל,כתום,2,5664,10,0.18,
year,גואם,כתום,2,1,0,0,
year,סינגפור,כתום,2,495,2,0.4,
year,קוסובו,צהוב,3,68,0,0,
year,אריתראה,כתום,2,4,0,0,
year,אלבניה,כתום,2,1691,7,0.41,
year,אירלנד,כתום,2,1175,0,0,
year,איי קוק,כתום,2,3,0,0,
year,כווית,כתום,2,7,0,0,
year,אתיופיה,כתום,2,3972,46,1.16,
year,האיטי,כתום,2,4,0,0,
year,בנין (דהומי),כתום,2,5,0,0,
UpToNow,צרפת,צהוב,3,97490,429,0.44,
UpToNow,סווזילנד,כתום,2,10,0,0,
UpToNow,מזרח טימור,כתום,2,2,0,0,
UpToNow,מונטנגרו,כתום,2,10920,74,0.68,
UpToNow,דרום סודאן,כתום,2,44,0,0,
UpToNow,לבנון,כתום,2,163,0,0,
UpToNow,ברבדוס,כתום,2,10,0,0,
UpToNow,ליטא,כתום,2,4067,12,0.3,
UpToNow,שוודיה,כתום,2,2266,7,0.31,
UpToNow,בולגריה,כתום,2,34428,489,1.42,
UpToNow,סין,צהוב,3,2428,3,0.12,
UpToNow,דנמרק,כתום,2,4528,14,0.31,
UpToNow,קובה,כתום,2,46,1,2.17,
UpToNow,קטר,כתום,2,121,0,0,
UpToNow,סודן,כתום,2,7,0,0,
UpToNow,גינאה,כתום,2,30,2,6.67,
UpToNow,סן מרינו,כתום,2,9,0,0,
UpToNow,אוקראינה,כתום,2,85535,3789,4.43,
UpToNow,סמואה,כתום,2,1,0,0,
UpToNow,גמייקה,כתום,2,41,1,2.44,
UpToNow,תוניסיה,כתום,2,157,11,7.01,
UpToNow,הודו,כתום,2,2620,15,0.57,
UpToNow,ערב הסעודית,כתום,2,187,1,0.53,
UpToNow,עומן,כתום,2,11,0,0,
