date,amount,coronaEvents,vaccinated_amount_cum_perc
,7,,0
2020-02-12T00:00:00.000Z,0,,0
2020-02-13T00:00:00.000Z,0,,0
2020-02-14T00:00:00.000Z,0,,0
2020-02-15T00:00:00.000Z,0,,0
2020-02-16T00:00:00.000Z,0,,0
2020-02-17T00:00:00.000Z,0,,0
2020-02-18T00:00:00.000Z,0,,0
2020-02-19T00:00:00.000Z,0,,0
2020-02-20T00:00:00.000Z,0,,0
2020-02-21T00:00:00.000Z,1,,0
2020-02-22T00:00:00.000Z,0,,0
2020-02-23T00:00:00.000Z,0,,0
2020-02-24T00:00:00.000Z,1,,0
2020-02-25T00:00:00.000Z,0,,0
2020-02-26T00:00:00.000Z,0,,0
2020-02-27T00:00:00.000Z,1,,0
2020-02-28T00:00:00.000Z,3,,0
2020-02-29T00:00:00.000Z,0,,0
2020-03-01T00:00:00.000Z,1,,0
2020-03-02T00:00:00.000Z,5,,0
2020-03-03T00:00:00.000Z,3,,0
2020-03-04T00:00:00.000Z,0,,0
2020-03-05T00:00:00.000Z,9,,0
2020-03-06T00:00:00.000Z,4,,0
2020-03-07T00:00:00.000Z,4,,0
2020-03-08T00:00:00.000Z,9,,0
2020-03-09T00:00:00.000Z,4,,0
2020-03-10T00:00:00.000Z,33,,0
2020-03-11T00:00:00.000Z,18,,0
2020-03-12T00:00:00.000Z,22,,0
2020-03-13T00:00:00.000Z,34,,0
2020-03-14T00:00:00.000Z,29,סגר ראשון ,0
2020-03-15T00:00:00.000Z,40,,0
2020-03-16T00:00:00.000Z,73,,0
2020-03-17T00:00:00.000Z,93,,0
2020-03-18T00:00:00.000Z,123,,0
2020-03-19T00:00:00.000Z,135,,0
2020-03-20T00:00:00.000Z,168,,0
2020-03-21T00:00:00.000Z,209,,0
2020-03-22T00:00:00.000Z,251,,0
2020-03-23T00:00:00.000Z,347,,0
2020-03-24T00:00:00.000Z,423,,0
2020-03-25T00:00:00.000Z,415,,0
2020-03-26T00:00:00.000Z,517,,0
2020-03-27T00:00:00.000Z,426,,0
2020-03-28T00:00:00.000Z,475,,0
2020-03-29T00:00:00.000Z,525,,0
2020-03-30T00:00:00.000Z,539,,0
2020-03-31T00:00:00.000Z,726,,0
2020-04-01T00:00:00.000Z,690,,0
2020-04-02T00:00:00.000Z,711,,0
2020-04-03T00:00:00.000Z,594,,0
2020-04-04T00:00:00.000Z,425,,0
2020-04-05T00:00:00.000Z,579,,0
2020-04-06T00:00:00.000Z,444,,0
2020-04-07T00:00:00.000Z,372,,0
2020-04-08T00:00:00.000Z,334,,0
2020-04-09T00:00:00.000Z,333,,0
2020-04-10T00:00:00.000Z,353,,0
2020-04-11T00:00:00.000Z,337,,0
2020-04-12T00:00:00.000Z,542,,0
2020-04-13T00:00:00.000Z,430,,0
2020-04-14T00:00:00.000Z,393,,0
2020-04-15T00:00:00.000Z,309,,0
2020-04-16T00:00:00.000Z,291,,0
2020-04-17T00:00:00.000Z,290,,0
2020-04-18T00:00:00.000Z,287,,0
2020-04-19T00:00:00.000Z,272,פתיחת משק חלקית לאחר סגר ראשון,0
2020-04-20T00:00:00.000Z,294,,0
2020-04-21T00:00:00.000Z,278,,0
2020-04-22T00:00:00.000Z,223,,0
2020-04-23T00:00:00.000Z,275,,0
2020-04-24T00:00:00.000Z,246,,0
2020-04-25T00:00:00.000Z,158,,0
2020-04-26T00:00:00.000Z,79,,0
2020-04-27T00:00:00.000Z,124,,0
2020-04-28T00:00:00.000Z,160,,0
2020-04-29T00:00:00.000Z,82,,0
2020-04-30T00:00:00.000Z,142,,0
2020-05-01T00:00:00.000Z,115,,0
2020-05-02T00:00:00.000Z,56,,0
2020-05-03T00:00:00.000Z,27,,0
2020-05-04T00:00:00.000Z,55,,0
2020-05-05T00:00:00.000Z,33,,0
2020-05-06T00:00:00.000Z,64,,0
2020-05-07T00:00:00.000Z,61,,0
2020-05-08T00:00:00.000Z,33,,0
2020-05-09T00:00:00.000Z,20,,0
2020-05-10T00:00:00.000Z,27,,0
2020-05-11T00:00:00.000Z,38,,0
2020-05-12T00:00:00.000Z,22,,0
2020-05-13T00:00:00.000Z,39,,0
2020-05-14T00:00:00.000Z,22,,0
2020-05-15T00:00:00.000Z,11,,0
2020-05-16T00:00:00.000Z,5,,0
2020-05-17T00:00:00.000Z,15,,0
2020-05-18T00:00:00.000Z,26,,0
2020-05-19T00:00:00.000Z,22,,0
2020-05-20T00:00:00.000Z,15,,0
2020-05-21T00:00:00.000Z,16,,0
2020-05-22T00:00:00.000Z,19,,0
2020-05-23T00:00:00.000Z,5,,0
2020-05-24T00:00:00.000Z,13,,0
2020-05-25T00:00:00.000Z,22,,0
2020-05-26T00:00:00.000Z,49,,0
2020-05-27T00:00:00.000Z,40,פתיחת משק מלאה לאחר סגר ראשון,0
2020-05-28T00:00:00.000Z,76,,0
2020-05-29T00:00:00.000Z,112,,0
2020-05-30T00:00:00.000Z,28,,0
2020-05-31T00:00:00.000Z,87,,0
2020-06-01T00:00:00.000Z,100,,0
2020-06-02T00:00:00.000Z,121,,0
2020-06-03T00:00:00.000Z,97,,0
2020-06-04T00:00:00.000Z,140,,0
2020-06-05T00:00:00.000Z,127,,0
2020-06-06T00:00:00.000Z,78,,0
2020-06-07T00:00:00.000Z,134,,0
2020-06-08T00:00:00.000Z,175,,0
2020-06-09T00:00:00.000Z,174,,0
2020-06-10T00:00:00.000Z,238,,0
2020-06-11T00:00:00.000Z,190,,0
2020-06-12T00:00:00.000Z,183,,0
2020-06-13T00:00:00.000Z,143,,0
2020-06-14T00:00:00.000Z,133,,0
2020-06-15T00:00:00.000Z,198,,0
2020-06-16T00:00:00.000Z,295,,0
2020-06-17T00:00:00.000Z,269,,0
2020-06-18T00:00:00.000Z,300,,0
2020-06-19T00:00:00.000Z,309,,0
2020-06-20T00:00:00.000Z,160,,0
2020-06-21T00:00:00.000Z,173,,0
2020-06-22T00:00:00.000Z,342,,0
2020-06-23T00:00:00.000Z,450,,0
2020-06-24T00:00:00.000Z,482,,0
2020-06-25T00:00:00.000Z,510,,0
2020-06-26T00:00:00.000Z,459,,0
2020-06-27T00:00:00.000Z,392,,0
2020-06-28T00:00:00.000Z,381,,0
2020-06-29T00:00:00.000Z,748,,0
2020-06-30T00:00:00.000Z,780,,0
2020-07-01T00:00:00.000Z,952,,0
