Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc,Vaccinated_validity_perc,vaccinated_expired_perc,not_vaccinated_perc
2020-12-19T00:00:00.000Z,45,64,0,0,1,0,0,0,0,0,0,0
2020-12-20T00:00:00.000Z,7383,7447,0.08,0,1,0,0,0,0,0,0,0
2020-12-21T00:00:00.000Z,24904,32351,0.35,0,1,0,0,0,0,0,0,0
2020-12-22T00:00:00.000Z,44631,76982,0.83,0,1,0,0,0,0,0,0,0
2020-12-23T00:00:00.000Z,62881,139863,1.5,0,1,0,0,0,0,0,0,0
2020-12-24T00:00:00.000Z,73382,213245,2.29,0,1,0,0,0,0,0,0,0
2020-12-25T00:00:00.000Z,38484,251729,2.71,0,1,0,0,0,0,0,0,0
2020-12-26T00:00:00.000Z,32600,284329,3.06,0,1,0,0,0,0,0,0,0
2020-12-27T00:00:00.000Z,104483,388812,4.18,0,1,0,0,0,0,0,0,0
2020-12-28T00:00:00.000Z,134936,523748,5.63,0,1,0,0,0,0,0,0,0
2020-12-29T00:00:00.000Z,156182,679930,7.31,0,1,0,0,0,0,0,0,0
2020-12-30T00:00:00.000Z,153004,832934,8.96,0,1,0,0,0,0,0,0,0
2020-12-31T00:00:00.000Z,158437,991371,10.66,0,1,0,0,0,0,0,0,0
2021-01-01T00:00:00.000Z,71346,1062717,11.43,0,1,0,0,0,0,0,0,0
2021-01-02T00:00:00.000Z,71680,1134397,12.2,0,1,0,0,0,0,0,0,0
2021-01-03T00:00:00.000Z,149617,1284014,13.81,0,1,0,0,0,0,0,0,0
2021-01-04T00:00:00.000Z,152054,1436068,15.44,1,2,0,0,0,0,0,0,0
2021-01-05T00:00:00.000Z,125058,1561126,16.79,0,2,0,0,0,0,0,0,0
2021-01-06T00:00:00.000Z,103231,1664357,17.9,2,4,0,0,0,0,0,0,0
2021-01-07T00:00:00.000Z,115962,1780319,19.14,5,9,0,0,0,0,0,0,0
2021-01-08T00:00:00.000Z,66397,1846716,19.86,3,12,0,0,0,0,0,0,0
2021-01-09T00:00:00.000Z,44496,1891212,20.34,23,35,0,0,0,0,0,0,0
2021-01-10T00:00:00.000Z,37585,1928797,20.74,5991,6026,0.06,0,0,0,0,0,0
2021-01-11T00:00:00.000Z,21092,1949889,20.97,19248,25274,0.27,0,0,0,0,0,0
2021-01-12T00:00:00.000Z,23987,1973876,21.23,35649,60923,0.66,0,0,0,0,0,0
2021-01-13T00:00:00.000Z,51984,2025860,21.79,56851,117774,1.27,0,0,0,0,0,0
2021-01-14T00:00:00.000Z,56386,2082246,22.39,68803,186577,2.01,0,0,0,0,0,0
2021-01-15T00:00:00.000Z,30689,2112935,22.72,35909,222486,2.39,0,0,0,0,0,0
2021-01-16T00:00:00.000Z,29414,2142349,23.04,25998,248484,2.67,0,0,0,0,0,0
2021-01-17T00:00:00.000Z,68351,2210700,23.77,84541,333025,3.58,0,0,0,0.36,0,99.64
2021-01-18T00:00:00.000Z,69656,2280356,24.52,120348,453373,4.88,0,0,0,0.64,0,99.36
2021-01-19T00:00:00.000Z,72735,2353091,25.3,137721,591094,6.36,0,0,0,1.16,0,98.84
