age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,362705,297309,635971,57,46.7,529,0.1,58.13,41.86,0.01
16-19,514930,446816,591331,87.1,75.6,196060,33.2,62.57,21.34,16.09
20-29,1105266,986235,1319364,83.8,74.8,632527,47.9,65,16.5,18.49
30-39,1056602,967946,1207243,87.5,80.2,643449,53.3,68.77,13.11,18.11
40-49,993331,922467,1110965,89.4,83,686736,61.8,75.22,10.9,13.89
50-59,789412,742829,874608,90.3,84.9,601682,68.8,79.71,9.36,10.92
60-69,688586,661880,747217,92.2,88.6,574529,76.9,85.17,7.89,6.94
70-79,476334,465650,526929,90.4,88.4,436375,82.8,87.48,7.24,5.28
80-89,215591,210012,238729,90.3,88,190960,80,84.66,7.99,7.35
90+,49051,47245,58687,83.6,80.5,41749,71.1,74.65,12.56,12.79
