section,male,female,period,order_period
0-9,"{'amount': 42, 'percentage': 0.3}","{'amount': 32, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 54, 'percentage': 0.2}","{'amount': 37, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 4, 'percentage': 0.8}","{'amount': 4, 'percentage': 0.8}",חודש אחרון,5
0-9,"{'amount': 24, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.3}",3 חודשים,4
0-9,"{'amount': 26, 'percentage': 0.5}","{'amount': 18, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 14, 'percentage': 0.3}","{'amount': 19, 'percentage': 0.4}",6 חודשים,3
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",חודש אחרון,5
10-19,"{'amount': 44, 'percentage': 0.2}","{'amount': 57, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 13, 'percentage': 0.3}","{'amount': 14, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 33, 'percentage': 0.2}","{'amount': 42, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 46, 'percentage': 1}","{'amount': 65, 'percentage': 1.5}",3 חודשים,4
20-29,"{'amount': 7, 'percentage': 1.5}","{'amount': 9, 'percentage': 1.9}",חודש אחרון,5
20-29,"{'amount': 148, 'percentage': 1}","{'amount': 170, 'percentage': 1.1}",שנה,2
20-29,"{'amount': 182, 'percentage': 0.8}","{'amount': 228, 'percentage': 1}",מתחילת קורונה,1
20-29,"{'amount': 50, 'percentage': 0.9}","{'amount': 67, 'percentage': 1.3}",6 חודשים,3
30-39,"{'amount': 547, 'percentage': 2.5}","{'amount': 494, 'percentage': 2.2}",מתחילת קורונה,1
30-39,"{'amount': 401, 'percentage': 2.6}","{'amount': 387, 'percentage': 2.5}",שנה,2
30-39,"{'amount': 17, 'percentage': 3.6}","{'amount': 16, 'percentage': 3.4}",חודש אחרון,5
30-39,"{'amount': 148, 'percentage': 3.4}","{'amount': 132, 'percentage': 3}",3 חודשים,4
30-39,"{'amount': 163, 'percentage': 3}","{'amount': 151, 'percentage': 2.8}",6 חודשים,3
40-49,"{'amount': 327, 'percentage': 6.1}","{'amount': 232, 'percentage': 4.3}",6 חודשים,3
40-49,"{'amount': 289, 'percentage': 6.6}","{'amount': 215, 'percentage': 4.9}",3 חודשים,4
40-49,"{'amount': 23, 'percentage': 4.8}","{'amount': 23, 'percentage': 4.8}",חודש אחרון,5
40-49,"{'amount': 914, 'percentage': 6}","{'amount': 631, 'percentage': 4.1}",שנה,2
40-49,"{'amount': 1229, 'percentage': 5.5}","{'amount': 807, 'percentage': 3.6}",מתחילת קורונה,1
50-59,"{'amount': 375, 'percentage': 8.5}","{'amount': 273, 'percentage': 6.2}",3 חודשים,4
50-59,"{'amount': 49, 'percentage': 10.3}","{'amount': 39, 'percentage': 8.2}",חודש אחרון,5
50-59,"{'amount': 1350, 'percentage': 8.8}","{'amount': 926, 'percentage': 6.1}",שנה,2
50-59,"{'amount': 1939, 'percentage': 8.8}","{'amount': 1301, 'percentage': 5.9}",מתחילת קורונה,1
50-59,"{'amount': 427, 'percentage': 8}","{'amount': 318, 'percentage': 5.9}",6 חודשים,3
60-69,"{'amount': 579, 'percentage': 10.8}","{'amount': 443, 'percentage': 8.3}",6 חודשים,3
60-69,"{'amount': 474, 'percentage': 10.8}","{'amount': 376, 'percentage': 8.5}",3 חודשים,4
60-69,"{'amount': 60, 'percentage': 12.6}","{'amount': 51, 'percentage': 10.7}",חודש אחרון,5
60-69,"{'amount': 2679, 'percentage': 12.1}","{'amount': 1775, 'percentage': 8}",מתחילת קורונה,1
60-69,"{'amount': 1704, 'percentage': 11.1}","{'amount': 1239, 'percentage': 8.1}",שנה,2
70-79,"{'amount': 608, 'percentage': 11.3}","{'amount': 496, 'percentage': 9.3}",6 חודשים,3
70-79,"{'amount': 40, 'percentage': 8.4}","{'amount': 46, 'percentage': 9.7}",חודש אחרון,5
70-79,"{'amount': 2830, 'percentage': 12.8}","{'amount': 2060, 'percentage': 9.3}",מתחילת קורונה,1
70-79,"{'amount': 1812, 'percentage': 11.9}","{'amount': 1452, 'percentage': 9.5}",שנה,2
70-79,"{'amount': 463, 'percentage': 10.5}","{'amount': 401, 'percentage': 9.1}",3 חודשים,4
80-89,"{'amount': 2088, 'percentage': 9.4}","{'amount': 2135, 'percentage': 9.6}",מתחילת קורונה,1
80-89,"{'amount': 520, 'percentage': 9.7}","{'amount': 519, 'percentage': 9.7}",6 חודשים,3
80-89,"{'amount': 27, 'percentage': 5.7}","{'amount': 31, 'percentage': 6.5}",חודש אחרון,5
80-89,"{'amount': 384, 'percentage': 8.7}","{'amount': 406, 'percentage': 9.2}",3 חודשים,4
80-89,"{'amount': 1404, 'percentage': 9.2}","{'amount': 1485, 'percentage': 9.7}",שנה,2
90+,"{'amount': 650, 'percentage': 2.9}","{'amount': 1016, 'percentage': 4.6}",מתחילת קורונה,1
90+,"{'amount': 132, 'percentage': 2.5}","{'amount': 251, 'percentage': 4.7}",6 חודשים,3
90+,"{'amount': 99, 'percentage': 2.2}","{'amount': 193, 'percentage': 4.4}",3 חודשים,4
90+,"{'amount': 11, 'percentage': 2.3}","{'amount': 17, 'percentage': 3.6}",חודש אחרון,5
90+,"{'amount': 444, 'percentage': 2.9}","{'amount': 671, 'percentage': 4.4}",שנה,2
