age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,370995,302775,675,58.3,47.6,0.1,58.32,41.66,0.01
16-19,517468,449875,204777,87.5,76.1,34.6,63.73,21.01,15.26
20-29,1110219,991331,650805,84.1,75.1,49.3,66.05,15.98,17.97
30-39,1059972,971314,658665,87.8,80.5,54.6,69.57,12.78,17.65
40-49,995528,924994,696637,89.6,83.3,62.7,75.83,10.65,13.52
50-59,790719,744542,607396,90.4,85.1,69.4,80.23,9.05,10.72
60-69,689380,662985,577704,92.3,88.7,77.3,85.41,7.73,6.86
70-79,476757,466241,438049,90.5,88.5,83.1,87.96,6.81,5.23
80-89,215774,210329,191707,90.4,88.1,80.3,85.04,7.64,7.32
90+,49104,47312,41980,83.7,80.6,71.5,75.25,11.83,12.92
